MoonRise,Az,Phase,Paksha,days,Fullmoon,Newmoon,Eclipse
-01497-09-23,100.538,99.647,Shukla,22745.0,1,0,0.0
-01497-09-24,92.9878,97.25200000000001,Krishna,22744.0,0,0,0.0
-01497-09-25,84.5146,91.9,Krishna,22743.0,0,0,0.0
-01497-09-26,77.3436,84.01799999999999,Krishna,22742.0,0,0,0.0
-01497-09-27,71.7683,74.251,Krishna,22741.0,0,0,0.0
-01497-09-28,66.1637,63.485,Krishna,22740.0,0,0,0.0
-01497-09-29,62.6433,52.285,Krishna,22739.0,0,0,0.0
-01497-09-30,61.4117,41.251999999999995,Krishna,22738.0,0,0,0.0
-01497-10-01,61.6474,30.951999999999998,Krishna,22737.0,0,0,0.0
-01497-10-02,63.3852,21.761,Krishna,22736.0,0,0,0.0
-01497-10-03,66.5452,13.964,Krishna,22735.0,0,0,0.0
-01497-10-04,69.9529,7.809,Krishna,22734.0,0,0,0.0
-01497-10-05,75.3576,3.3789999999999996,Krishna,22733.0,0,0,0.0
-01497-10-07,81.4929,0.8220000000000001,Krishna,22731.0,0,0,0.0
-01497-10-08,87.0616,0.188,Krishna,22730.0,0,1,0.0
-01497-10-09,92.7903,1.456,Shukla,22729.0,0,0,0.0
-01497-10-10,99.4277,4.593999999999999,Shukla,22728.0,0,0,0.0
-01497-10-11,104.648,9.464,Shukla,22727.0,0,0,0.0
-01497-10-12,110.2191,15.974,Shukla,22726.0,0,0,0.0
-01497-10-13,114.8363,23.915,Shukla,22725.0,0,0,0.0
-01497-10-14,118.2381,33.059,Shukla,22724.0,0,0,0.0
-01497-10-15,120.2185,43.135,Shukla,22723.0,0,0,0.0
-01497-10-16,120.6628,53.806999999999995,Shukla,22722.0,0,0,0.0
-01497-10-17,118.5799,64.59899999999999,Shukla,22721.0,0,0,0.0
-01497-10-18,115.0844,75.039,Shukla,22720.0,0,0,0.0
-01497-10-19,110.3572,84.485,Shukla,22719.0,0,0,0.0
-01497-10-20,103.6931,92.17200000000001,Shukla,22718.0,0,0,0.0
-01497-10-21,97.301,97.469,Shukla,22717.0,0,0,0.0
-01497-10-22,88.6643,99.75399999999999,Shukla,22716.0,1,0,0.0
-01497-10-23,80.9983,98.833,Krishna,22715.0,0,0,0.0
-01497-10-24,74.67,94.758,Krishna,22714.0,0,0,0.0
-01497-10-25,68.1708,88.037,Krishna,22713.0,0,0,0.0
-01497-10-26,63.7147,79.255,Krishna,22712.0,0,0,0.0
-01497-10-27,61.5954,69.12,Krishna,22711.0,0,0,0.0
-01497-10-28,61.0587,58.387,Krishna,22710.0,0,0,0.0
-01497-10-29,62.1651,47.636,Krishna,22709.0,0,0,0.0
-01497-10-30,64.8331,37.324,Krishna,22708.0,0,0,0.0
-01497-10-31,68.8704,27.803,Krishna,22707.0,0,0,0.0
-01497-11-01,74.018,19.352,Krishna,22706.0,0,0,0.0
-01497-11-02,78.9841,12.242,Krishna,22705.0,0,0,0.0
-01497-11-03,85.4951,6.587000000000001,Krishna,22704.0,0,0,0.0
-01497-11-04,91.2464,2.6260000000000003,Krishna,22703.0,0,0,0.0
-01497-11-06,96.9709,0.46,Krishna,22701.0,0,1,0.0
-01497-11-07,103.4141,0.18899999999999997,Krishna,22700.0,0,1,0.0
-01497-11-08,108.2384,1.865,Shukla,22699.0,0,0,0.0
-01497-11-09,113.2072,5.49,Shukla,22698.0,0,0,0.0
-01497-11-10,117.0336,10.98,Shukla,22697.0,0,0,0.0
-01497-11-11,119.5135,18.19,Shukla,22696.0,0,0,0.0
-01497-11-12,120.5386,26.912,Shukla,22695.0,0,0,0.0
-01497-11-13,120.1156,36.87,Shukla,22694.0,0,0,0.0
-01497-11-14,117.3601,47.656000000000006,Shukla,22693.0,0,0,0.0
-01497-11-15,113.4368,58.878,Shukla,22692.0,0,0,0.0
-01497-11-16,107.5566,69.925,Shukla,22691.0,0,0,0.0
-01497-11-17,100.9044,80.19800000000001,Shukla,22690.0,0,0,0.0
-01497-11-18,93.6995,88.963,Shukla,22689.0,0,0,0.0
-01497-11-19,85.2628,95.462,Shukla,22688.0,0,0,0.0
-01497-11-20,77.8045,99.195,Shukla,22687.0,0,0,0.0
-01497-11-21,71.6856,99.79799999999999,Shukla,22686.0,1,0,0.0
-01497-11-22,66.3723,97.271,Krishna,22685.0,0,0,0.0
-01497-11-23,62.2692,91.98100000000001,Krishna,22684.0,0,0,0.0
-01497-11-24,60.6561,84.456,Krishna,22683.0,0,0,0.0
-01497-11-25,60.7834,75.399,Krishna,22682.0,0,0,0.0
-01497-11-26,63.6359,65.382,Krishna,22681.0,0,0,0.0
-01497-11-27,67.0911,55.08,Krishna,22680.0,0,0,0.0
-01497-11-28,71.8349,44.861000000000004,Krishna,22679.0,0,0,0.0
-01497-11-29,76.5405,35.132,Krishna,22678.0,0,0,0.0
-01497-11-30,82.9091,26.06,Krishna,22677.0,0,0,0.0
-01497-12-01,88.6199,18.011,Krishna,22676.0,0,0,0.0
-01497-12-02,95.4275,11.134,Krishna,22675.0,0,0,0.0
-01497-12-03,101.0057,5.747000000000001,Krishna,22674.0,0,0,0.0
-01497-12-05,107.1139,2.013,Krishna,22672.0,0,0,0.0
-01497-12-06,111.4003,0.17600000000000002,Krishna,22671.0,0,1,0.0
-01497-12-07,115.626,0.366,Shukla,22670.0,0,1,0.0
-01497-12-08,118.5286,2.685,Shukla,22669.0,0,0,0.0
-01497-12-09,120.9695,7.157,Shukla,22668.0,0,0,0.0
-01497-12-10,119.9437,13.592,Shukla,22667.0,0,0,0.0
-01497-12-11,118.5803,21.88,Shukla,22666.0,0,0,0.0
-01497-12-12,114.1187,31.583000000000002,Shukla,22665.0,0,0,0.0
-01497-12-13,109.7202,42.45399999999999,Shukla,22664.0,0,0,0.0
-01497-12-14,103.6369,53.887,Shukla,22663.0,0,0,0.0
-01497-12-15,96.0673,65.288,Shukla,22662.0,0,0,0.0
-01497-12-16,89.1112,76.12100000000001,Shukla,22661.0,0,0,0.0
-01497-12-17,82.0188,85.60799999999999,Shukla,22660.0,0,0,0.0
-01497-12-18,75.0559,93.06700000000001,Shukla,22659.0,0,0,0.0
-01497-12-19,68.5534,97.95299999999999,Shukla,22658.0,0,0,0.0
-01497-12-20,63.8361,99.956,Shukla,22657.0,1,0,0.1
-01497-12-21,61.3244,98.992,Krishna,22656.0,0,0,0.0
-01497-12-22,60.4225,95.294,Krishna,22655.0,0,0,0.0
-01497-12-23,62.2809,89.273,Krishna,22654.0,0,0,0.0
-01497-12-24,64.9157,81.556,Krishna,22653.0,0,0,0.0
-01497-12-25,69.052,72.65,Krishna,22652.0,0,0,0.0
-01497-12-26,74.3623,63.036,Krishna,22651.0,0,0,0.0
-01497-12-27,80.4939,53.12,Krishna,22650.0,0,0,0.0
-01497-12-28,86.0983,43.303000000000004,Krishna,22649.0,0,0,0.0
