Calendar Date	Type	Pen. Mag.	Umbral Mag.	Pen. Begins	Alt	Partial Begins	Alt	Total Begins	Alt	Mid-Eclipse	Alt	Total Ends	Alt	Partial Ends	Alt	Pen. Ends	Alt
-1470-Dec-22	T	2.248	1.264	3:51	+42	4:49	+30	5:55	+16	6:30	+09	7:06	+02	8:11	-10	9:09	-20
-1469-Dec-11	T	2.215	1.244	19:25	+23	20:22	+35	21:27	+49	22:01	+57	22:35	+64	23:40	+78	0:37	+85
-1467-May-25	N	0.472	-0.533	19:52	+12	-	-	-	-	21:27	+29	-	-	-	-	23:02	+41
-1467-Oct-21	N	0.768	-0.319	2:27	+52	-	-	-	-	4:32	+26	-	-	-	-	6:38	-1
-1466-Apr-16	P	1.843	0.898	0:58	+57	1:57	+50	-	-	3:28	+35	-	-	4:58	+17	5:57	+04
-1466-Oct-10	P	1.995	0.893	1:07	+61	2:25	+50	-	-	4:07	+30	-	-	5:48	+08	7:06	-9
-1465-Apr-05	T	2.478	1.526	17:55	-8	18:49	+03	19:48	+16	20:34	+25	21:19	+35	22:18	+46	23:13	+55
-1465-Sep-29	T	2.517	1.451	2:05	+50	3:13	+38	4:18	+25	5:05	+15	5:51	+05	6:57	-9	8:05	-23
-1463-Feb-13	N	0.897	-0.186	0:14	+78	-	-	-	-	2:29	+63	-	-	-	-	4:45	+34
-1463-Aug-08	N	0.904	-0.049	16:42	-32	-	-	-	-	18:39	-7	-	-	-	-	20:35	+15
-1463-Sep-07	N	0.034	-0.93	2:54	+36	-	-	-	-	3:19	+32	-	-	-	-	3:44	+28
-1462-Feb-01	T	2.2	1.116	23:10	+68	0:23	+82	1:44	+74	2:11	+69	2:38	+63	3:59	+45	5:13	+29
-1461-Jan-22	T	2.248	1.206	2:50	+59	3:56	+44	5:08	+29	5:42	+22	6:16	+15	7:28	+00	8:34	-12
-1461-Jul-18	T	2.127	1.1	18:44	-6	19:51	+06	21:10	+20	21:34	+24	21:59	+27	23:18	+36	0:24	+39
-1460-Jan-11	N	0.979	-0.01	14:17	-34	-	-	-	-	16:21	-16	-	-	-	-	18:25	+06
-1460-Jul-06	N	0.701	-0.367	23:30	+36	-	-	-	-	1:32	+35	-	-	-	-	3:33	+20
-1460-Dec-01	P	0.99	0.013	19:05	+18	20:54	+41	-	-	21:07	+44	-	-	21:19	+47	23:09	+70
-1458-May-16	T	2.727	1.738	17:17	-20	18:16	-7	19:15	+05	20:06	+15	20:57	+24	21:56	+34	22:55	+41
-1458-Nov-10	T	2.272	1.194	14:29	-38	15:40	-26	16:55	-12	17:28	-5	18:01	+02	19:16	+18	20:26	+33
-1457-Oct-30	N	1.008	-0.098	15:23	-32	-	-	-	-	17:47	-3	-	-	-	-	20:10	+29
-1456-Mar-26	N	0.789	-0.175	18:38	+02	-	-	-	-	20:30	+26	-	-	-	-	22:23	+48
-1456-Apr-25	N	0.257	-0.687	2:47	+38	-	-	-	-	3:53	+26	-	-	-	-	4:59	+13
-1456-Sep-18	N	0.594	-0.453	23:38	+52	-	-	-	-	1:26	+52	-	-	-	-	3:14	+37
-1455-Mar-16	T	2.125	1.108	6:12	+08	7:17	-6	8:35	-22	9:00	-27	9:25	-32	10:43	-46	11:48	-54
