date	type	umb_mag	par_start_time	par_start_alt	mid_ecl_time	mid_ecl_alt	par_end_time	par_end_alt	vis00	vis05	vis10	direction	ynum	pp_range	astro_date	mnum	dnum	astro_jd	astro_mjd
455-Jul-15	T	1.135	05:23	4	07:03	25	08:42	45	True	False	False	west	455	True	0455-07-15	7	15	1887440.5	-512560.0
456-Dec-28	P	0.093	04:02	-8	04:39	0	05:16	8	True	True	False	west	456	True	0456-12-28	12	28	1887972.5	-512028.0
458-Nov-07	P	0.803	02:47	-22	04:14	-3	05:42	17	True	True	True	west	458	True	0458-11-07	11	7	1888651.5	-511349.0
462-Mar-02	P	0.994	05:57	15	07:30	37	09:03	59	True	True	True	west	462	True	0462-03-02	3	2	1889862.5	-510138.0
466-Dec-08	T	1.629	01:19	-40	03:10	-18	05:01	6	True	True	False	west	466	True	0466-12-08	12	8	1891604.5	-508396.0
474-Jul-15	T	1.385	05:16	2	06:58	24	08:40	44	True	False	False	west	474	True	0474-07-15	7	15	1894380.5	-505620.0
478-May-03	P	0.602	02:13	-38	03:39	-18	05:05	2	True	False	False	west	478	True	0478-05-03	5	3	1895768.5	-504232.0
483-Dec-30	P	0.707	05:54	17	07:26	38	08:58	58	True	True	True	west	483	True	0483-12-30	12	30	1897835.5	-502165.0
496-Nov-07	P	0.413	02:10	-30	03:19	-15	04:28	1	True	False	False	west	496	True	0496-11-07	11	7	1902531.5	-497469.0
500-Mar-02	P	0.193	03:46	-17	04:36	-5	05:26	6	True	True	False	west	500	True	0500-03-02	3	2	1903741.5	-496259.0
500-Aug-25	P	0.467	05:25	7	06:37	24	07:48	41	True	True	False	west	500	True	0500-08-25	8	25	1903917.5	-496083.0
506-Oct-18	T	1.683	04:31	1	06:27	29	08:23	57	True	False	False	west	506	True	0506-10-18	10	18	1906162.5	-493838.0
507-Oct-07	P	0.385	05:05	8	06:17	25	07:30	43	True	True	False	west	507	True	0507-10-07	10	7	1906516.5	-493484.0
511-Jan-30	P	0.182	03:36	-18	04:27	-6	05:18	5	True	False	False	west	511	True	0511-01-30	1	30	1907727.5	-492273.0
512-Dec-09	P	0.791	05:25	13	06:52	32	08:18	52	True	True	True	west	512	True	0512-12-09	12	9	1908406.5	-491594.0
517-Sep-16	T	1.825	02:14	-37	04:07	-10	06:00	18	True	True	True	west	517	True	0517-09-16	9	16	1910148.5	-489852.0
531-Dec-10	T	1.732	05:40	17	07:26	40	09:11	63	True	True	True	west	531	True	0531-12-10	12	10	1915346.5	-484654.0
538-Jan-31	P	0.64	05:58	16	07:27	36	08:55	57	True	True	True	west	538	True	0538-01-31	1	31	1917590.5	-482410.0
542-May-15	T	1.525	05:15	5	07:02	28	08:49	48	True	False	False	west	542	True	0542-05-15	5	15	1919155.5	-480845.0
549-Jun-26	T	1.014	02:28	-35	04:14	-12	06:00	11	True	True	True	west	549	True	0549-06-26	6	26	1921754.5	-478246.0
554-Sep-27	P	0.688	05:27	13	06:50	33	08:14	53	True	True	True	west	554	True	0554-09-27	9	27	1923673.5	-476327.0
560-Nov-19	T	1.743	04:37	4	06:33	30	08:30	57	True	False	False	west	560	True	0560-11-19	11	19	1925918.5	-474082.0
563-Sep-18	P	0.576	04:43	1	06:00	19	07:17	37	True	False	False	west	563	True	0563-09-18	9	18	1926951.5	-473049.0
564-Mar-14	T	1.686	01:15	-53	03:12	-26	05:09	2	True	False	False	west	564	True	0564-03-14	3	14	1927129.5	-472871.0
570-May-06	P	0.402	05:41	11	06:46	25	07:52	39	True	True	True	west	570	True	0570-05-06	5	6	1929373.5	-470627.0
571-Oct-19	T	1.675	02:15	-31	04:06	-5	05:58	21	True	True	True	west	571	True	0571-10-19	10	19	1929904.5	-470096.0
582-Sep-18	T	1.807	04:46	1	06:32	26	08:17	51	True	False	False	west	582	True	0582-09-18	9	18	1933891.5	-466109.0
592-Mar-04	P	0.476	05:09	3	06:27	21	07:44	40	True	False	False	west	592	True	0592-03-04	3	4	1937346.5	-462654.0
593-Aug-18	T	1.725	01:17	-53	03:13	-26	05:08	1	True	False	False	west	593	True	0593-08-18	8	18	1937878.5	-462122.0
594-Aug-07	P	0.332	03:13	-26	04:21	-10	05:29	5	True	False	False	west	594	True	0594-08-07	8	7	1938232.5	-461768.0
605-Jan-11	P	0.424	05:46	14	06:57	30	08:08	46	True	True	True	west	605	True	0605-01-11	1	11	1942041.5	-457959.0
610-Sep-09	P	0.513	02:26	-35	03:42	-17	04:59	1	True	False	False	west	610	True	0610-09-09	9	9	1944108.5	-455892.0
614-Jan-02	P	0.616	02:32	-28	03:56	-10	05:20	8	True	True	False	west	614	True	0614-01-02	1	2	1945319.5	-454681.0
614-Dec-22	T	1.771	05:02	7	06:59	33	08:56	58	True	True	False	west	614	True	0614-12-22	12	22	1945673.5	-454327.0
615-Dec-11	P	0.529	04:36	2	05:58	20	07:21	39	True	False	False	west	615	True	0615-12-11	12	11	1946027.5	-453973.0
621-Aug-08	P	0.435	05:19	4	06:36	22	07:52	38	True	False	False	west	621	True	0621-08-08	8	8	1948094.5	-451906.0
622-Feb-02	T	1.801	01:31	-45	03:17	-23	05:04	1	True	False	False	west	622	True	0622-02-02	2	2	1948272.5	-451728.0
624-Jun-07	P	0.003	05:14	2	05:20	4	05:26	5	True	False	False	west	624	True	0624-06-07	6	7	1949128.5	-450872.0
634-Jun-17	P	0.141	04:16	-11	04:57	-2	05:38	7	True	True	False	west	634	True	0634-06-17	6	17	1952790.5	-447210.0
635-May-08	P	0.113	04:12	-10	04:51	-1	05:31	8	True	True	False	west	635	True	0635-05-08	5	8	1953115.5	-446885.0
646-Apr-06	P	0.204	03:30	-21	04:23	-9	05:15	4	True	False	False	west	646	True	0646-04-06	4	6	1957101.5	-442899.0
648-Mar-15	P	0.754	02:51	-30	04:15	-10	05:40	10	True	True	False	west	648	True	0648-03-15	3	15	1957810.5	-442190.0
655-Oct-21	P	0.773	04:34	2	06:03	23	07:33	44	True	False	False	west	655	True	0655-10-21	10	21	1960586.5	-439414.0
657-Mar-06	P	0.586	02:50	-31	04:07	-13	05:23	5	True	False	False	west	657	True	0657-03-06	3	6	1961088.5	-438912.0
664-Oct-11	P	0.32	02:39	-27	03:42	-13	04:45	2	True	False	False	west	664	True	0664-10-11	10	11	1963864.5	-436136.0
669-Jan-23	T	1.784	05:02	3	07:00	30	08:57	57	True	False	False	west	669	True	0669-01-23	1	23	1965429.5	-434571.0
669-Jul-19	T	1.796	01:45	-46	03:31	-23	05:16	1	True	False	False	west	669	True	0669-07-19	7	19	1965606.5	-434394.0
670-Jan-12	P	0.581	04:48	1	06:14	20	07:40	40	True	False	False	west	670	True	0670-01-12	1	12	1965783.5	-434217.0
676-Aug-29	T	1.542	05:43	12	07:34	38	09:25	62	True	True	True	west	676	True	0676-08-29	8	29	1968204.5	-431796.0
679-Dec-23	T	1.616	05:15	10	07:04	34	08:54	58	True	True	False	west	679	True	0679-12-23	12	23	1969415.5	-430585.0
680-Jun-18	T	1.397	02:09	-39	04:01	-15	05:53	9	True	True	False	west	680	True	0680-06-18	6	18	1969593.5	-430407.0
691-May-18	T	1.241	02:20	-36	04:09	-12	05:58	13	True	True	True	west	691	True	0691-05-18	5	18	1973579.5	-426421.0
698-Dec-23	P	0.852	03:02	-20	04:31	-1	06:00	18	True	True	True	west	698	True	0698-12-23	12	23	1976355.5	-423645.0
