Obs#	Eclipse#	Hit_K70A10	Year	Month	Day	EclipseStart	ObservationTime	EclipseEnd	MoonAlt	KrittikkaAlt	AgastyaAlt	Remarks	HitTag	HitCount														
1	1	-	-490	4	25	-00490-04-25T19:05:00	-0490-04-25T19:05:00	-00490-04-25T20:13:00	16	-18	14	BreakingSearch. Kritikka is too low to reach zenith	.@	0														
2	2	-	-490	10	18	-00490-10-18T23:36:00	-0490-10-18T23:36:00	-0490-10-19T01:15:00	85	82	5	ContinuingSearch +30 minutes (normally)	*.	0														
3	2	-	-490	10	18	-00490-10-18T23:36:00	-0490-10-19T00:06:00	-0490-10-19T01:15:00	82	86	9	ContinuingSearch +30 minutes (normally)	*.	0														
4	2	Hit	-490	10	18	-00490-10-18T23:36:00	-0490-10-19T00:36:00	-0490-10-19T01:15:00	76	81	13	Found NEW HIT:1	*@	0														
5	3	-	-485	1	31	-00485-01-31T17:13:00	-0485-01-31T17:13:00	-00485-01-31T20:44:00	-9	86	9	ContinuingSearch +36 Minutes (moon fast fwd)	*.	1														
6	3	-	-485	1	31	-00485-01-31T17:13:00	-0485-01-31T17:49:00	-00485-01-31T20:44:00	0	80	14	ContinuingSearch +1 Minutes (moon fast fwd)	*@	1														
7	3	Hit	-485	1	31	-00485-01-31T17:13:00	-0485-01-31T17:50:00	-00485-01-31T20:44:00	0	80	14	Found NEW HIT:2	*@	1														
8	4	-	-479	3	24	-00479-03-24T22:40:00	-0479-03-24T22:40:00	-00479-03-24T23:47:00	68	-39	2	BreakingSearch. Kritikka is too low to reach zenith	..	2														
9	5	-	-478	3	13	-00478-03-13T00:25:00	-0478-03-13T00:25:00	-00478-03-13T04:09:00	72	-51	-7	BreakingSearch. Kritikka is too low to reach zenith	..	2														
10	6	-	-478	9	7	-00478-09-07T15:28:00	-0478-09-07T15:28:00	-00478-09-07T19:09:00	-36	-64	-31	ContinuingSearch +150 Minutes (moon fast fwd)	..	2														
11	6	-	-478	9	7	-00478-09-07T15:28:00	-0478-09-07T17:58:00	-00478-09-07T19:09:00	0	-37	-46	ContinuingSearch +1 Minutes (moon fast fwd)	..	2														
12	6	-	-478	9	7	-00478-09-07T15:28:00	-0478-09-07T17:59:00	-00478-09-07T19:09:00	0	-37	-46	BreakingSearch. Kritikka is too low to reach zenith	..	2														
13	7	-	-477	8	27	-00477-08-27T20:13:00	-0477-08-27T20:13:00	-00477-08-27T23:21:00	31	-16	-46	BreakingSearch. Kritikka is too low to reach zenith	..	2														
14	8	-	-475	12	31	-00475-12-31T15:34:00	-0475-12-31T15:34:00	-00475-12-31T19:22:00	-27	36	-23	ContinuingSearch +114 Minutes (moon fast fwd)	..	2														
15	8	-	-475	12	31	-00475-12-31T15:34:00	-0475-12-31T17:28:00	-00475-12-31T19:22:00	-3	64	-6	ContinuingSearch +13 Minutes (moon fast fwd)	..	2														
16	8	-	-475	12	31	-00475-12-31T15:34:00	-0475-12-31T17:41:00	-00475-12-31T19:22:00	0	67	-4	ContinuingSearch +30 minutes (normally)	..	2														
17	8	-	-475	12	31	-00475-12-31T15:34:00	-0475-12-31T18:11:00	-00475-12-31T19:22:00	6	74	1	ContinuingSearch +30 minutes (normally)	*.	2														
18	8	-	-475	12	31	-00475-12-31T15:34:00	-0475-12-31T18:41:00	-00475-12-31T19:22:00	13	81	5	ContinuingSearch +30 minutes (normally)	*.	2														
19	8	-	-475	12	31	-00475-12-31T15:34:00	-0475-12-31T19:11:00	-00475-12-31T19:22:00	19	86	9	ContinuingSearch +30 minutes (normally)	*.	2														
20	8	-	-475	12	31	-00475-12-31T15:34:00	-0475-12-31T19:41:00	-00475-12-31T19:22:00	26	82	13	Breaking Search. Eclipse Over at -00475-12-31T19:22:00	*@	2														
21	9	-	-474	12	20	-00474-12-20T17:22:00	-0474-12-20T17:22:00	-00474-12-20T20:17:00	-2	52	-13	ContinuingSearch +10 Minutes (moon fast fwd)	..	2														
22	9	-	-474	12	20	-00474-12-20T17:22:00	-0474-12-20T17:32:00	-00474-12-20T20:17:00	0	54	-12	ContinuingSearch +1 Minutes (moon fast fwd)	..	2														
23	9	-	-474	12	20	-00474-12-20T17:22:00	-0474-12-20T17:33:00	-00474-12-20T20:17:00	0	54	-12	ContinuingSearch +30 minutes (normally)	..	2														
24	9	-	-474	12	20	-00474-12-20T17:22:00	-0474-12-20T18:03:00	-00474-12-20T20:17:00	6	62	-7	ContinuingSearch +30 minutes (normally)	..	2														
25	9	-	-474	12	20	-00474-12-20T17:22:00	-0474-12-20T18:33:00	-00474-12-20T20:17:00	13	69	-2	ContinuingSearch +30 minutes (normally)	..	2														
26	9	-	-474	12	20	-00474-12-20T17:22:00	-0474-12-20T19:03:00	-00474-12-20T20:17:00	19	76	2	ContinuingSearch +30 minutes (normally)	*.	2														
27	9	-	-474	12	20	-00474-12-20T17:22:00	-0474-12-20T19:33:00	-00474-12-20T20:17:00	26	83	6	ContinuingSearch +30 minutes (normally)	*.	2														
28	9	-	-474	12	20	-00474-12-20T17:22:00	-0474-12-20T20:03:00	-00474-12-20T20:17:00	33	86	10	ContinuingSearch +30 minutes (normally)	*.	2														
29	9	-	-474	12	20	-00474-12-20T17:22:00	-0474-12-20T20:33:00	-00474-12-20T20:17:00	39	80	14	Breaking Search. Eclipse Over at -00474-12-20T20:17:00	*@	2														
30	10	-	-473	6	15	-00473-06-15T18:48:00	-0473-06-15T18:48:00	-00473-06-15T21:07:00	11	-57	-12	BreakingSearch. Kritikka is too low to reach zenith	..	2														
31	11	-	-471	10	18	-00471-10-18T21:40:00	-0471-10-18T21:40:00	-0471-10-19T01:06:00	61	55	-12	ContinuingSearch +30 minutes (normally)	..	2														
32	11	-	-471	10	18	-00471-10-18T21:40:00	-0471-10-18T22:10:00	-0471-10-19T01:06:00	68	62	-7	ContinuingSearch +30 minutes (normally)	..	2														
33	11	-	-471	10	18	-00471-10-18T21:40:00	-0471-10-18T22:40:00	-0471-10-19T01:06:00	75	69	-2	ContinuingSearch +30 minutes (normally)	..	2														
34	11	-	-471	10	18	-00471-10-18T21:40:00	-0471-10-18T23:10:00	-0471-10-19T01:06:00	82	76	2	ContinuingSearch +30 minutes (normally)	*.	2														
35	11	-	-471	10	18	-00471-10-18T21:40:00	-0471-10-18T23:40:00	-0471-10-19T01:06:00	86	83	6	ContinuingSearch +30 minutes (normally)	*.	2														
36	11	-	-471	10	18	-00471-10-18T21:40:00	-0471-10-19T00:10:00	-0471-10-19T01:06:00	82	86	10	ContinuingSearch +30 minutes (normally)	*.	2														
37	11	Hit	-471	10	18	-00471-10-18T21:40:00	-0471-10-19T00:40:00	-0471-10-19T01:06:00	75	80	14	Found NEW HIT:3	*@	2														
38	12	-	-468	8	17	-00468-08-17T16:25:00	-0468-08-17T16:25:00	-00468-08-17T18:01:00	-25	-66	-28	ContinuingSearch +104 Minutes (moon fast fwd)	..	3														
39	12	-	-468	8	17	-00468-08-17T16:25:00	-0468-08-17T18:09:00	-00468-08-17T18:01:00	0	-52	-41	Breaking Search. Eclipse Over at -00468-08-17T18:01:00	..	3														
40	13	-	-467	8	6	-00467-08-06T15:26:00	-0467-08-06T15:26:00	-00467-08-06T19:17:00	-38	-58	-13	ContinuingSearch +158 Minutes (moon fast fwd)	..	3														
41	13	-	-467	8	6	-00467-08-06T15:26:00	-0467-08-06T18:04:00	-00467-08-06T19:17:00	-1	-61	-35	ContinuingSearch +6 Minutes (moon fast fwd)	..	3														
42	13	-	-467	8	6	-00467-08-06T15:26:00	-0467-08-06T18:10:00	-00467-08-06T19:17:00	0	-60	-36	ContinuingSearch +1 Minutes (moon fast fwd)	..	3														
43	13	-	-467	8	6	-00467-08-06T15:26:00	-0467-08-06T18:11:00	-00467-08-06T19:17:00	0	-59	-36	BreakingSearch. Kritikka is too low to reach zenith	..	3														
44	14	-	-466	1	31	-00466-01-31T17:28:00	-0466-01-31T17:28:00	-00466-01-31T20:17:00	-6	84	11	ContinuingSearch +24 Minutes (moon fast fwd)	*@	3														
45	14	Hit	-466	1	31	-00466-01-31T17:28:00	-0466-01-31T17:52:00	-00466-01-31T20:17:00	0	79	14	Found NEW HIT:4	*@	3														
46	15	-	-466	7	26	-00466-07-26T20:44:00	-0466-07-26T20:44:00	-00466-07-26T23:47:00	34	-38	-46	BreakingSearch. Kritikka is too low to reach zenith	..	4														
47	16	-	-464	6	5	-00464-06-05T18:50:00	-0464-06-05T18:50:00	-00464-06-05T21:54:00	12	-51	-7	BreakingSearch. Kritikka is too low to reach zenith	..	4														
48	17	-	-463	11	18	-00463-11-18T18:20:00	-0463-11-18T18:20:00	-00463-11-18T21:31:00	13	35	-23	ContinuingSearch +30 minutes (normally)	..	4														
49	17	-	-463	11	18	-00463-11-18T18:20:00	-0463-11-18T18:50:00	-00463-11-18T21:31:00	13	35	-23	ContinuingSearch +30 minutes (normally)	..	4														
50	17	-	-463	11	18	-00463-11-18T18:20:00	-0463-11-18T19:20:00	-00463-11-18T21:31:00	13	35	-23	ContinuingSearch +30 minutes (normally)	..	4														
51	17	-	-463	11	18	-00463-11-18T18:20:00	-0463-11-18T19:50:00	-00463-11-18T21:31:00	13	35	-23	ContinuingSearch +30 minutes (normally)	..	4														
52	17	-	-463	11	18	-00463-11-18T18:20:00	-0463-11-18T20:20:00	-00463-11-18T21:31:00	13	35	-23	ContinuingSearch +30 minutes (normally)	..	4														
53	17	-	-463	11	18	-00463-11-18T18:20:00	-0463-11-18T20:50:00	-00463-11-18T21:31:00	13	35	-23	ContinuingSearch +30 minutes (normally)	..	4														
54	17	-	-463	11	18	-00463-11-18T18:20:00	-0463-11-18T21:20:00	-00463-11-18T21:31:00	13	35	-23	ContinuingSearch +30 minutes (normally)	..	4														
55	17	-	-463	11	18	-00463-11-18T18:20:00	-0463-11-18T21:50:00	-00463-11-18T21:31:00	13	35	-23	Breaking Search. Eclipse Over at -00463-11-18T21:31:00	..	4														
56	18	-	-460	9	17	-00460-09-17T23:23:00	-0460-09-17T23:23:00	-0460-09-18T03:03:00	13	35	-23	ContinuingSearch +30 minutes (normally)	..	4														
57	18	-	-460	9	17	-00460-09-17T23:23:00	-0460-09-17T23:53:00	-0460-09-18T03:03:00	13	35	-23	ContinuingSearch +30 minutes (normally)	..	4														
58	18	-	-460	9	17	-00460-09-17T23:23:00	-0460-09-18T00:23:00	-0460-09-18T03:03:00	13	35	-23	ContinuingSearch +30 minutes (normally)	..	4														
59	18	-	-460	9	17	-00460-09-17T23:23:00	-0460-09-18T00:53:00	-0460-09-18T03:03:00	13	35	-23	ContinuingSearch +30 minutes (normally)	..	4														
60	18	-	-460	9	17	-00460-09-17T23:23:00	-0460-09-18T01:23:00	-0460-09-18T03:03:00	13	35	-23	ContinuingSearch +30 minutes (normally)	..	4														
61	18	-	-460	9	17	-00460-09-17T23:23:00	-0460-09-18T01:53:00	-0460-09-18T03:03:00	55	85	8	ContinuingSearch +30 minutes (normally)	*.	4														
62	18	-	-460	9	17	-00460-09-17T23:23:00	-0460-09-18T02:23:00	-0460-09-18T03:03:00	55	85	8	ContinuingSearch +30 minutes (normally)	*.	4														
63	18	-	-460	9	17	-00460-09-17T23:23:00	-0460-09-18T02:53:00	-0460-09-18T03:03:00	55	85	8	ContinuingSearch +30 minutes (normally)	*.	4														
64	18	-	-460	9	17	-00460-09-17T23:23:00	-0460-09-18T03:23:00	-0460-09-18T03:03:00	55	85	8	Breaking Search. Eclipse Over at -0460-09-18T03:03:00	*.	4														
65	19	-	-459	3	13	-00459-03-13T18:42:00	-0459-03-13T18:42:00	-00459-03-13T21:49:00	55	85	8	ContinuingSearch +30 minutes (normally)	*.	4														
66	19	-	-459	3	13	-00459-03-13T18:42:00	-0459-03-13T19:12:00	-00459-03-13T21:49:00	55	85	8	ContinuingSearch +30 minutes (normally)	*.	4														
67	19	-	-459	3	13	-00459-03-13T18:42:00	-0459-03-13T19:42:00	-00459-03-13T21:49:00	55	85	8	ContinuingSearch +30 minutes (normally)	*.	4														
68	19	-	-459	3	13	-00459-03-13T18:42:00	-0459-03-13T20:12:00	-00459-03-13T21:49:00	55	85	8	ContinuingSearch +30 minutes (normally)	*.	4														
69	19	-	-459	3	13	-00459-03-13T18:42:00	-0459-03-13T20:42:00	-00459-03-13T21:49:00	55	85	8	ContinuingSearch +30 minutes (normally)	*.	4														
70	19	-	-459	3	13	-00459-03-13T18:42:00	-0459-03-13T21:12:00	-00459-03-13T21:49:00	55	85	8	ContinuingSearch +30 minutes (normally)	*.	4														
71	19	-	-459	3	13	-00459-03-13T18:42:00	-0459-03-13T21:42:00	-00459-03-13T21:49:00	55	85	8	ContinuingSearch +30 minutes (normally)	*.	4														
72	19	-	-459	3	13	-00459-03-13T18:42:00	-0459-03-13T22:12:00	-00459-03-13T21:49:00	55	85	8	Breaking Search. Eclipse Over at -00459-03-13T21:49:00	*.	4														
73	20	-	-457	1	22	-00457-01-22T16:12:00	-0457-01-22T16:12:00	-00457-01-22T18:37:00	55	85	8	ContinuingSearch +30 minutes (normally)	*.	4														
74	20	-	-457	1	22	-00457-01-22T16:12:00	-0457-01-22T16:42:00	-00457-01-22T18:37:00	55	85	8	ContinuingSearch +30 minutes (normally)	*.	4														
75	20	-	-457	1	22	-00457-01-22T16:12:00	-0457-01-22T17:12:00	-00457-01-22T18:37:00	55	85	8	ContinuingSearch +30 minutes (normally)	*.	4														
76	20	-	-457	1	22	-00457-01-22T16:12:00	-0457-01-22T17:42:00	-00457-01-22T18:37:00	55	85	8	ContinuingSearch +30 minutes (normally)	*.	4														
77	20	-	-457	1	22	-00457-01-22T16:12:00	-0457-01-22T18:12:00	-00457-01-22T18:37:00	55	85	8	ContinuingSearch +30 minutes (normally)	*.	4														
78	20	-	-457	1	22	-00457-01-22T16:12:00	-0457-01-22T18:42:00	-00457-01-22T18:37:00	55	85	8	Breaking Search. Eclipse Over at -00457-01-22T18:37:00	*.	4														
79	21	-	-457	7	17	-00457-07-17T19:20:00	-0457-07-17T19:20:00	-00457-07-17T21:35:00	17	-61	-35	BreakingSearch. Kritikka is too low to reach zenith	..	4														
80	22	-	-456	1	11	-00456-01-11T23:46:00	-0456-01-11T23:46:00	-0456-01-12T03:35:00	17	-61	-35	BreakingSearch. Kritikka is too low to reach zenith	..	4														
81	23	-	-454	11	9	-00454-11-09T17:00:00	-0454-11-09T17:00:00	-00454-11-09T18:37:00	-7	7	-39	ContinuingSearch +32 Minutes (moon fast fwd)	..	4														
82	23	-	-454	11	9	-00454-11-09T17:00:00	-0454-11-09T17:32:00	-00454-11-09T18:37:00	0	15	-35	ContinuingSearch +30 minutes (normally)	..	4														
83	23	-	-454	11	9	-00454-11-09T17:00:00	-0454-11-09T18:02:00	-00454-11-09T18:37:00	7	22	-31	ContinuingSearch +30 minutes (normally)	..	4														
84	23	-	-454	11	9	-00454-11-09T17:00:00	-0454-11-09T18:32:00	-00454-11-09T18:37:00	14	30	-27	ContinuingSearch +30 minutes (normally)	..	4														
85	23	-	-454	11	9	-00454-11-09T17:00:00	-0454-11-09T19:02:00	-00454-11-09T18:37:00	21	37	-23	Breaking Search. Eclipse Over at -00454-11-09T18:37:00	..	4														
86	24	-	-452	4	24	-00452-04-24T15:09:00	-0452-04-24T15:09:00	-00452-04-24T18:47:00	-40	39	27	ContinuingSearch +169 Minutes (moon fast fwd)	.@	4														
87	24	-	-452	4	24	-00452-04-24T15:09:00	-0452-04-24T17:58:00	-00452-04-24T18:47:00	0	-1	21	BreakingSearch. Krittika is setting. Wont reach +70 alt	.@	4														
88	25	-	-452	10	18	-00452-10-18T22:18:00	-0452-10-18T22:18:00	-0452-10-19T01:27:00	71	64	-6	ContinuingSearch +30 minutes (normally)	..	4														
89	25	-	-452	10	18	-00452-10-18T22:18:00	-0452-10-18T22:48:00	-0452-10-19T01:27:00	78	71	-1	ContinuingSearch +30 minutes (normally)	*.	4														
90	25	-	-452	10	18	-00452-10-18T22:18:00	-0452-10-18T23:18:00	-0452-10-19T01:27:00	85	78	3	ContinuingSearch +30 minutes (normally)	*.	4														
91	25	-	-452	10	18	-00452-10-18T22:18:00	-0452-10-18T23:48:00	-0452-10-19T01:27:00	86	85	7	ContinuingSearch +30 minutes (normally)	*.	4														
92	25	Hit	-452	10	18	-00452-10-18T22:18:00	-0452-10-19T00:18:00	-0452-10-19T01:27:00	80	85	11	Found NEW HIT:5	*@	4														
93	26	-	-450	3	4	-00450-03-04T18:32:00	-0450-03-04T18:32:00	-00450-03-04T20:38:00	8	39	27	ContinuingSearch +30 minutes (normally)	.@	5														
94	26	-	-450	3	4	-00450-03-04T18:32:00	-0450-03-04T19:02:00	-00450-03-04T20:38:00	15	32	27	BreakingSearch. Krittika is setting. Wont reach +70 alt	.@	5														
95	27	-	-450	8	28	-00450-08-28T23:52:00	-0450-08-28T23:52:00	-0450-08-29T00:52:00	66	38	-22	ContinuingSearch +30 minutes (normally)	..	5														
96	27	-	-450	8	28	-00450-08-28T23:52:00	-0450-08-29T00:22:00	-0450-08-29T00:52:00	65	45	-18	ContinuingSearch +30 minutes (normally)	..	5														
97	27	-	-450	8	28	-00450-08-28T23:52:00	-0450-08-29T00:52:00	-0450-08-29T00:52:00	65	45	-18	ContinuingSearch +30 minutes (normally)	..	5														
98	27	-	-450	8	28	-00450-08-28T23:52:00	-0450-08-29T01:22:00	-0450-08-29T00:52:00	65	45	-18	Breaking Search. Eclipse Over at -0450-08-29T00:52:00	..	5														
99	28	-	-449	8	17	-00449-08-17T22:33:00	-0449-08-17T22:33:00	-0449-08-18T02:20:00	65	45	-18	ContinuingSearch +30 minutes (normally)	..	5														
100	28	-	-449	8	17	-00449-08-17T22:33:00	-0449-08-17T23:03:00	-0449-08-18T02:20:00	65	45	-18	ContinuingSearch +30 minutes (normally)	..	5														
101	28	-	-449	8	17	-00449-08-17T22:33:00	-0449-08-17T23:33:00	-0449-08-18T02:20:00	65	45	-18	ContinuingSearch +30 minutes (normally)	..	5														
102	28	-	-449	8	17	-00449-08-17T22:33:00	-0449-08-18T00:03:00	-0449-08-18T02:20:00	65	45	-18	ContinuingSearch +30 minutes (normally)	..	5														
103	28	-	-449	8	17	-00449-08-17T22:33:00	-0449-08-18T00:33:00	-0449-08-18T02:20:00	65	45	-18	ContinuingSearch +30 minutes (normally)	..	5														
104	28	-	-449	8	17	-00449-08-17T22:33:00	-0449-08-18T01:03:00	-0449-08-18T02:20:00	65	45	-18	ContinuingSearch +30 minutes (normally)	..	5														
105	28	-	-449	8	17	-00449-08-17T22:33:00	-0449-08-18T01:33:00	-0449-08-18T02:20:00	65	45	-18	ContinuingSearch +30 minutes (normally)	..	5														
106	28	-	-449	8	17	-00449-08-17T22:33:00	-0449-08-18T02:03:00	-0449-08-18T02:20:00	65	45	-18	ContinuingSearch +30 minutes (normally)	..	5														
107	28	-	-449	8	17	-00449-08-17T22:33:00	-0449-08-18T02:33:00	-0449-08-18T02:20:00	65	45	-18	Breaking Search. Eclipse Over at -0449-08-18T02:20:00	..	5														
108	29	-	-447	12	21	-00447-12-21T20:24:00	-0447-12-21T20:24:00	-00447-12-21T22:02:00	65	45	-18	ContinuingSearch +30 minutes (normally)	..	5														
109	29	-	-447	12	21	-00447-12-21T20:24:00	-0447-12-21T20:54:00	-00447-12-21T22:02:00	65	45	-18	ContinuingSearch +30 minutes (normally)	..	5														
110	29	-	-447	12	21	-00447-12-21T20:24:00	-0447-12-21T21:24:00	-00447-12-21T22:02:00	65	45	-18	ContinuingSearch +30 minutes (normally)	..	5														
111	29	-	-447	12	21	-00447-12-21T20:24:00	-0447-12-21T21:54:00	-00447-12-21T22:02:00	65	45	-18	ContinuingSearch +30 minutes (normally)	..	5														
112	29	-	-447	12	21	-00447-12-21T20:24:00	-0447-12-21T22:24:00	-00447-12-21T22:02:00	64	53	24	Breaking Search. Eclipse Over at -00447-12-21T22:02:00	.@	5														
113	30	-	-446	12	10	-00446-12-10T19:43:00	-0446-12-10T19:43:00	-00446-12-10T23:27:00	31	76	2	ContinuingSearch +30 minutes (normally)	*.	5														
114	30	-	-446	12	10	-00446-12-10T19:43:00	-0446-12-10T20:13:00	-00446-12-10T23:27:00	38	83	6	ContinuingSearch +30 minutes (normally)	*.	5														
115	30	Hit	-446	12	10	-00446-12-10T19:43:00	-0446-12-10T20:43:00	-00446-12-10T23:27:00	44	86	10	Found NEW HIT:6	*@	5														
116	31	-	-445	6	6	-00445-06-06T16:27:00	-0445-06-06T16:27:00	-00445-06-06T20:06:00	-21	-19	13	ContinuingSearch +86 Minutes (moon fast fwd)	.@	6														
117	31	-	-445	6	6	-00445-06-06T16:27:00	-0445-06-06T17:53:00	-00445-06-06T20:06:00	-1	-39	2	ContinuingSearch +4 Minutes (moon fast fwd)	..	6														
118	31	-	-445	6	6	-00445-06-06T16:27:00	-0445-06-06T17:57:00	-00445-06-06T20:06:00	0	-40	1	ContinuingSearch +1 Minutes (moon fast fwd)	..	6														
119	31	-	-445	6	6	-00445-06-06T16:27:00	-0445-06-06T17:58:00	-00445-06-06T20:06:00	0	-40	1	BreakingSearch. Kritikka is too low to reach zenith	..	6														
120	32	-	-443	10	9	-00443-10-09T21:52:00	-0443-10-09T21:52:00	-00443-10-09T23:32:00	63	49	-15	ContinuingSearch +30 minutes (normally)	..	6														
121	32	-	-443	10	9	-00443-10-09T21:52:00	-0443-10-09T22:22:00	-00443-10-09T23:32:00	70	56	-11	ContinuingSearch +30 minutes (normally)	..	6														
122	32	-	-443	10	9	-00443-10-09T21:52:00	-0443-10-09T22:52:00	-00443-10-09T23:32:00	77	63	-6	ContinuingSearch +30 minutes (normally)	..	6														
123	32	-	-443	10	9	-00443-10-09T21:52:00	-0443-10-09T23:22:00	-00443-10-09T23:32:00	83	71	-1	ContinuingSearch +30 minutes (normally)	*.	6														
124	32	-	-443	10	9	-00443-10-09T21:52:00	-0443-10-09T23:52:00	-00443-10-09T23:32:00	84	78	3	Breaking Search. Eclipse Over at -00443-10-09T23:32:00	*.	6														
125	33	-	-442	4	4	-00442-04-04T15:02:00	-0442-04-04T15:02:00	-00442-04-04T18:38:00	-43	61	22	ContinuingSearch +178 Minutes (moon fast fwd)	.@	6														
126	33	-	-442	4	4	-00442-04-04T15:02:00	-0442-04-04T18:00:00	-00442-04-04T18:38:00	0	18	26	BreakingSearch. Krittika is setting. Wont reach +70 alt	.@	6														
127	34	-	-439	2	1	-00439-02-01T00:36:00	-0439-02-01T00:36:00	-00439-02-01T02:55:00	66	-18	13	BreakingSearch. Kritikka is too low to reach zenith	.@	6														
128	35	-	-438	7	17	-00438-07-17T16:15:00	-0438-07-17T16:15:00	-00438-07-17T19:47:00	-25	-52	-8	ContinuingSearch +104 Minutes (moon fast fwd)	..	6														
129	35	-	-438	7	17	-00438-07-17T16:15:00	-0438-07-17T17:59:00	-00438-07-17T19:47:00	-1	-66	-24	ContinuingSearch +7 Minutes (moon fast fwd)	..	6														
130	35	-	-438	7	17	-00438-07-17T16:15:00	-0438-07-17T18:06:00	-00438-07-17T19:47:00	0	-66	-25	ContinuingSearch +1 Minutes (moon fast fwd)	..	6														
131	35	-	-438	7	17	-00438-07-17T16:15:00	-0438-07-17T18:07:00	-00438-07-17T19:47:00	0	-66	-25	BreakingSearch. Kritikka is too low to reach zenith	..	6														
132	36	-	-435	5	16	-00435-05-16T20:58:00	-0435-05-16T20:58:00	-0435-05-17T00:25:00	41	-59	-14	BreakingSearch. Kritikka is too low to reach zenith	..	6														
133	37	-	-435	11	9	-00435-11-09T15:25:00	-0435-11-09T15:25:00	-00435-11-09T18:51:00	-29	-15	-46	ContinuingSearch +120 Minutes (moon fast fwd)	..	6														
134	37	-	-435	11	9	-00435-11-09T15:25:00	-0435-11-09T17:25:00	-00435-11-09T18:51:00	-1	13	-36	ContinuingSearch +4 Minutes (moon fast fwd)	..	6														
135	37	-	-435	11	9	-00435-11-09T15:25:00	-0435-11-09T17:29:00	-00435-11-09T18:51:00	0	14	-35	ContinuingSearch +30 minutes (normally)	..	6														
136	37	-	-435	11	9	-00435-11-09T15:25:00	-0435-11-09T17:59:00	-00435-11-09T18:51:00	6	22	-31	ContinuingSearch +30 minutes (normally)	..	6														
137	37	-	-435	11	9	-00435-11-09T15:25:00	-0435-11-09T18:29:00	-00435-11-09T18:51:00	13	29	-27	ContinuingSearch +30 minutes (normally)	..	6														
138	37	-	-435	11	9	-00435-11-09T15:25:00	-0435-11-09T18:59:00	-00435-11-09T18:51:00	20	36	-23	Breaking Search. Eclipse Over at -00435-11-09T18:51:00	..	6														
139	38	-	-434	5	5	-00434-05-05T21:36:00	-0434-05-05T21:36:00	-0434-05-06T01:21:00	51	-58	-13	BreakingSearch. Kritikka is too low to reach zenith	..	6														
140	39	-	-431	3	4	-00431-03-04T18:13:00	-0431-03-04T18:13:00	-00431-03-04T21:42:00	4	44	26	ContinuingSearch +30 minutes (normally)	.@	6														
141	39	-	-431	3	4	-00431-03-04T18:13:00	-0431-03-04T18:43:00	-00431-03-04T21:42:00	11	37	27	BreakingSearch. Krittika is setting. Wont reach +70 alt	.@	6														
142	40	-	-427	6	16	-00427-06-16T23:33:00	-0427-06-16T23:33:00	-0427-06-17T03:14:00	56	-35	-46	BreakingSearch. Kritikka is too low to reach zenith	..	6														
143	41	-	-424	4	14	-00424-04-14T22:13:00	-0424-04-14T22:13:00	-0424-04-15T01:43:00	61	-50	-7	BreakingSearch. Kritikka is too low to reach zenith	..	6														
144	42	-	-424	10	9	-00424-10-09T15:33:00	-0424-10-09T15:33:00	-00424-10-09T19:13:00	-30	-41	-45	ContinuingSearch +128 Minutes (moon fast fwd)	..	6														
145	42	-	-424	10	9	-00424-10-09T15:33:00	-0424-10-09T17:41:00	-00424-10-09T19:13:00	0	-12	-45	BreakingSearch. Kritikka is too low to reach zenith	..	6														
146	43	-	-423	9	28	-00423-09-28T18:35:00	-0423-09-28T18:35:00	-00423-09-28T21:59:00	12	-9	-45	BreakingSearch. Kritikka is too low to reach zenith	..	6														
147	44	-	-420	2	2	-00420-02-02T15:47:00	-0420-02-02T15:47:00	-00420-02-02T19:35:00	-29	70	-1	ContinuingSearch +120 Minutes (moon fast fwd)	*.	6														
148	44	-	-420	2	2	-00420-02-02T15:47:00	-0420-02-02T17:47:00	-00420-02-02T19:35:00	-2	79	14	ContinuingSearch +9 Minutes (moon fast fwd)	*@	6														
149	44	Hit	-420	2	2	-00420-02-02T15:47:00	-0420-02-02T17:56:00	-00420-02-02T19:35:00	0	77	15	Found NEW HIT:7	*@	6														
150	45	-	-420	7	27	-00420-07-27T00:01:00	-0420-07-27T00:01:00	-00420-07-27T03:31:00	53	9	-38	ContinuingSearch +30 minutes (normally)	..	7														
151	45	-	-420	7	27	-00420-07-27T00:01:00	-0420-07-27T00:31:00	-00420-07-27T03:31:00	49	16	-34	ContinuingSearch +30 minutes (normally)	..	7														
152	45	-	-420	7	27	-00420-07-27T00:01:00	-0420-07-27T01:01:00	-00420-07-27T03:31:00	44	23	-30	ContinuingSearch +30 minutes (normally)	..	7														
153	45	-	-420	7	27	-00420-07-27T00:01:00	-0420-07-27T01:31:00	-00420-07-27T03:31:00	38	30	-26	ContinuingSearch +30 minutes (normally)	..	7														
154	45	-	-420	7	27	-00420-07-27T00:01:00	-0420-07-27T02:01:00	-00420-07-27T03:31:00	33	38	-22	ContinuingSearch +30 minutes (normally)	..	7														
155	45	-	-420	7	27	-00420-07-27T00:01:00	-0420-07-27T02:31:00	-00420-07-27T03:31:00	27	45	-17	ContinuingSearch +30 minutes (normally)	..	7														
156	45	-	-420	7	27	-00420-07-27T00:01:00	-0420-07-27T03:01:00	-00420-07-27T03:31:00	20	52	-13	ContinuingSearch +30 minutes (normally)	..	7														
