journal	paper	author	url	size_in_kb	cum_size_in_kb
IJHS-1-1966-Issue-1	The Theory of Chemical Combination in Ancient Indian Philosophies 	 Priyadaranjan Ray	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol01_1_1_PRay.pdf	272	272
IJHS-1-1966-Issue-1	What was ‘The Scientific Revolution’ ? 	 J R Ravetz	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol01_1_2_JRRavetz.pdf	133	405
IJHS-1-1966-Issue-1	Stellar Distances: Galileo's Method and Its Subsequent History 	 Michael Hoskin	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol01_1_3_MHoskin.pdf	189	594
IJHS-1-1966-Issue-1	A Survival of Babylonian Arithmetic in ew Guinea? 	 Derek J De Solla Price	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol01_1_4_DJDSPrice.pdf	80	674
IJHS-1-1966-Issue-1	The Impetus Theory of the Vaisesikas 	 S N Sen	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol01_1_5_SNSen.pdf	261	935
IJHS-1-1966-Issue-1	New History of Optical Microscope 	 Vasco Ronchi	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol01_1_6_VRonchi.pdf	275	1210
IJHS-1-1966-Issue-1	The Indian Doctrine of Five Elemnets 	 V Subbarayappa	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol01_1_7_VSubbarayappa.pdf	174	1384
IJHS-1-1966-Issue-1	Binomial Theorem in Ancient India 	 Amulya Kumar Bag	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol01_1_8_AKBag.pdf	134	1518
IJHS-1-1966-Issue-1	Problems of Biological Philisophy with regard to the Philosophy of the Upanisads 	 Bernhard Rensch	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol01_1_9_BRensch.pdf	147	1665
IJHS-1-1966-Issue-2	Uigur and Tibetian Lists of the Indian Lunar Mansions 	 Winfried Petri	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol01_2_1_WPetri.pdf	187	1852
IJHS-1-1966-Issue-2	Methods of Sterilization and Sex– Determinaton in the Arthava–Veda and in the Brhad–Aranyakopanishad 	 Mira Roy	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol01_2_2_MRoy.pdf	171	2023
IJHS-1-1966-Issue-2	Trigonometrical Series in the Karanapaddhati and the Probable Date of the Text 	 A K Bag	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol01_2_3_AKBag.pdf	174	2197
IJHS-1-1966-Issue-2	Land Classification in Ancient India 	 S P Raychaudhuri	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol01_2_4_SPRaychaudhuri.pdf	117	2314
IJHS-1-1966-Issue-2	Introduction of Western Science in India 	 S N Sen	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol01_2_5_SNSen.pdf	284	2598
IJHS-1-1966-Issue-2	Characteristics of the History of Science and Technology of Modern Japan 	 Minoru Tanaka	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol01_2_6_MTanaka.pdf	245	2843
IJHS-1-1966-Issue-2	Paper Technology in Medieval India 	 S A K Ghori and A Rahman	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol01_2_7_SAKGhori.pdf	314	3157
IJHS-1-1966-Issue-2	Botanical Explorations of Victor Jacquemont 	 Raj Kumar Gupta	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol01_2_8_RKGupta.pdf	239	3396
IJHS-1-1966-Issue-2	Notes 	 	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol01_2_9_Notes.pdf	84	3480
IJHS-2-1967-Issue-1	Origin and Tradition of Alchemy 	 Priyadaranjan Ray	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol02_1_1_PRay.pdf	426	3906
IJHS-2-1967-Issue-1	An Estimate of the Vaisesika Sutra in the History of Science 	 B V Subbarayappa	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol02_1_2_BVSubbarayappa.pdf	286	4192
IJHS-2-1967-Issue-1	Anatomy in the Vedic Literature 	 Mira Roy	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol02_1_3_MRoy.pdf	263	4455
IJHS-2-1967-Issue-1	History of Plus and Minus Signs 	 Brij Mohan	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol02_1_4_BMohan.pdf	108	4563
IJHS-2-1967-Issue-1	The Embryonic Development and the Human Body in the Yajnavalkya Smrti 	 Mamata Choudhury	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol02_1_5_MChowdhury.pdf	176	4739
IJHS-2-1967-Issue-1	Reviews 	 	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol02_1_6_Reviews.pdf	207	4946
IJHS-2-1967-Issue-2	The Problem of the Fertilization and Evolution of Phanerogams in Darwin’s Work: A Critical Study 	 Vasile D Marza and Ion T Tarnavschi	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol02_2_1_VDMarza.pdf	841	5787
IJHS-2-1967-Issue-2	WMW Haffkine‚ Bacteriologist—A Great Saviour of Mankind 	 H I Jhala	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol02_2_2_HIJhala.pdf	394	6181
IJHS-2-1967-Issue-2	Bhaskara I’s Approximation to Sine 	 R C Gupta	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol02_2_3_RCGupta.pdf	246	6427
IJHS-2-1967-Issue-2	Notes: Rasarnavakalpa of Rudrayamala Tantra 	 Mira Roy	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol02_2_4_Notes.pdf	99	6526
IJHS-2-1967-Issue-2	News 	 	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol02_2_5_News.pdf	18	6544
IJHS-2-1967-Issue-2	Review 	 P Ray	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol02_2_6_Review.pdf	51	6595
IJHS-4-1969-Issue-1&2	Source Materials Concerning Astronomy and Mathematics 	 A K Bag	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol04_1And2_1_AKBag.pdf	85	6680
IJHS-4-1969-Issue-1&2	Archaeological Plant Remainsfrom Pre– and Proto–Historic Periods as a Source of Historyof Sciences 	 K A Chowdhury	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol04_1And2_2_KAChowdhury.pdf	117	6797
IJHS-4-1969-Issue-1&2	The Sivatattvratnakara as a Source for Sciences in Ancient and Medieval India 	 G S Dikshit	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol04_1And2_3_GSDikshit.pdf	81	6878
IJHS-4-1969-Issue-1&2	Pottery in the Vedic Literature 	 C G Kashikar	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol04_1And2_4_CGKashikar.pdf	245	7123
IJHS-4-1969-Issue-1&2	Philosophical Trends viz History of Sciences of India — Orthodox Systems 	 T M P Mahadevan	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol04_1And2_5_TMPMahadevan.pdf	306	7429
IJHS-4-1969-Issue-1&2	Philosophical Trends and the History of Science in India— Heterodox Trends 	 G C Pande	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol04_1And2_6_GCPande.pdf	200	7629
IJHS-4-1969-Issue-1&2	Social Set–Up of Science and Technology in Mughal India 	 Surendra Gopal	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol04_1And2_7_SGopal.pdf	158	7787
IJHS-4-1969-Issue-1&2	Development of Mathematical Ideas in India 	 T A Saraswathi	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol04_1And2_8_TASaraswathi.pdf	421	8208
IJHS-4-1969-Issue-1&2	Sine Table in Ancient India 	 AK Bag	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol04_1And2_9_AKBag.pdf	133	8341
IJHS-4-1969-Issue-1&2	Second Order Interpolation in Indian Mathematics Up To the Fifteenth Century 	 B C Gupta	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol04_1And2_10_RCGupta.pdf	233	8574
IJHS-4-1969-Issue-1&2	Astronomy in Ancient and Medieval India 	 K S Shukla	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol04_1And2_11_KSShukla.pdf	146	8720
IJHS-4-1969-Issue-1&2	A Historical Development of Certain Hindu Astronomical Processes 	 T S K Shastri	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol04_1And2_12_TSKShastri.pdf	482	9202
IJHS-4-1969-Issue-1&2	The System of the Vatesvara Siddhanta 	 T S K Shastri	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol04_1And2_13_TSKShastri.pdf	189	9391
IJHS-4-1969-Issue-1&2	Ahargana In Hindu Astronomy 	 S P Bhattacharyya	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol04_1And2_14_SPBhattacharyya.pdf	221	9612
IJHS-4-1969-Issue-1&2	News 	 	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol04_1And2_15_News.pdf	36	9648
IJHS-4-1969-Issue-1&2	Book Review: Digestion and Metabolism in Ayurveda by C Dwarkanath 	 P V Sharma	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol04_1And2_16_Review.pdf	57	9705
IJHS-5-1970-Issue-1	Some Significant Aspects of The Origin and Development of Medicine in Ancient India 	 C Dwarkanath	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol05_1_1_CDwarkanath.pdf	325	10030
IJHS-5-1970-Issue-1	Contribution to the Fundamentala of Orthopaedic Surgery 	 P J Deshpande	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol05_1_2_PJDeshpande.pdf	525	10555
IJHS-5-1970-Issue-1	Susruta’s Contributions to the Fundamentals of Surgery 	 L M Singh	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol05_1_3_LMSingh.pdf	366	10921
IJHS-5-1970-Issue-1	The Theory of Pancamahabhuta with Special Reference to Ayurveda 	 D S Gaur	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol05_1_4_DSGaur.pdf	422	11343
IJHS-5-1970-Issue-1	Methodology for Experimental Research In Ancient India 	 Jyotir Mitra	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol05_1_5_JMitra.pdf	215	11558
IJHS-5-1970-Issue-1	Medical Science and Dispensaries in Ancient South India as Gleaned From Epigraphy 	 S Gurumurthy	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol05_1_6_SGurumurthy.pdf	97	11655
IJHS-5-1970-Issue-1	The Brahmanas on Medicine and Biological Sciences 	 R S Shivaganesha Murthy	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol05_1_7_RSSMurthy.pdf	116	11771
IJHS-5-1970-Issue-1	Medicine—As it Evolved in Ancient and Medieval India 	 Priyadaranjan Ray	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol05_1_8_PRay.pdf	289	12060
IJHS-5-1970-Issue-1	Human Anatomy According to the Agni Purana 	 B B Mishra	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol05_1_9_BBMishra.pdf	219	12279
IJHS-5-1970-Issue-1	Surgical Principles in the Sutrasthanam of the Susruta Samhita 	 R C Chakravorty	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol05_1_10_RCChakravorty.pdf	109	12388
IJHS-5-1970-Issue-1	Biology in Ancient and Medieval India 	 R N Kapil	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol05_1_11_RNKapil.pdf	463	12851
IJHS-5-1970-Issue-1	Wood and its Use During Pre–and Proto–Historic Time 	 K A Chowdhury	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol05_1_12_KAChowdhury.pdf	53	12904
IJHS-5-1970-Issue-1	Biological Concepts and Agriculture in Ancient India 	 Vishnu Mittre	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol05_1_13_VMittre.pdf	352	13256
IJHS-5-1970-Issue-1	Family Relations of Some Plants in The Atharvaveda 	 Mira Roy	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol05_1_14_MRoy.pdf	351	13607
IJHS-5-1970-Issue-1	History of Land Use in India 	 S P Raychaudhuri	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol05_1_15_SPRaychaudhuri.pdf	29	13636
IJHS-5-1970-Issue-1	Arbori–Horticulture in Ancient India 	 M S Shukla	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol05_1_16_MSShukla.pdf	83	13719
IJHS-5-1970-Issue-2	Jaina Atomic Theory 	 J C Sikdar	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol05_2_1_JCSikdar.pdf	488	14207
IJHS-5-1970-Issue-2	Concept of The Structure of Space–Time 	 G N Chakravarthy	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol05_2_2_GNChakravarthy.pdf	216	14423
IJHS-5-1970-Issue-2	Problem of Advent of Copper in India 	 H C Bhardwaj	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol05_2_3_HCBhardwaj.pdf	180	14603
IJHS-5-1970-Issue-2	Metal Technology of The Harappa Culture and Its Socio–Economic Implications 	 D P Agrawal	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol05_2_4_DPAgrawal.pdf	236	14839
IJHS-5-1970-Issue-2	Development of Technology During The Iron Age in South India 	 B K Gururaja Rao	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol05_2_5_BKGRao.pdf	388	15227
IJHS-5-1970-Issue-2	The Techniques of Colouring Glass and Ceramic Materials in Ancient and Medieval India 	 Mamata Chowdhury	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol05_2_6_MChoudhury.pdf	230	15457
IJHS-5-1970-Issue-2	Some Aspects of Glass Manufacturing in Ancient India 	 Vijay Govind	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol05_2_7_VGovind.pdf	521	15978
IJHS-5-1970-Issue-2	The South Indian Temple– Medium of Construction 	 T V Mahalingam	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol05_2_8_TVMahalingam.pdf	127	16105
IJHS-5-1970-Issue-2	A Brief Account of the Ancient Irrigation Engineering Systems Prevalent in South India 	 T M Srinivasan	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol05_2_9_TMSrinivasan.pdf	216	16321
IJHS-5-1970-Issue-2	Influence of Mediterranean Culture Areas on Indian Science 	 Jean Filliozat	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol05_2_10_JFilliozat.pdf	123	16444
IJHS-5-1970-Issue-2	Influence of Indian Science on Other Culture Areas 	 S N Sen	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol05_2_11_SNSen.pdf	358	16802
IJHS-5-1970-Issue-2	The Growth of Greco–Arabian Medicine in Medieval India 	 R L Verma	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol05_2_12_RLVerma.pdf	402	17204
IJHS-5-1970-Issue-2	The Date of Dhanvantari Nighantu 	 P V Sharma	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol05_2_13_PVSharma.pdf	154	17358
IJHS-5-1970-Issue-2	Ideas of Scientific Measurement in Basic Principkles of Ayurveda with Special Reference to Somatometry 	 H C Shukla	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol05_2_14_HCShukla.pdf	160	17518
IJHS-5-1970-Issue-2	Water–Lifting Devices in Ancient India: Their Origin and Mechanisms 	 T M Srinivasan	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol05_2_15_TMSrinivasan.pdf	161	17679
IJHS-6-1971-Issue-1	Archaeological Sources for the Reconstruction of The History of Sciences of India 	 M N Deshpande	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol06_1_1_MNDeshpande.pdf	433	18112
IJHS-6-1971-Issue-1	Inluence of Certain Harappan Architectural Features on Some Texts of Early–Historical Period 	 R Sengupta	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol06_1_2_RSengupta.pdf	94	18206
IJHS-6-1971-Issue-1	Karanasara of Vatesvara 	 RN Rai	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vo0l6_1_3_RNRai.pdf	177	18383
IJHS-6-1971-Issue-1	The Concept of Tides in Ancient India 	 N K Panikkar	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol06_1_4_NKPanikkar.pdf	335	18718
IJHS-6-1971-Issue-1	Fractional Parts of Aryabhata's Sines and Certain Rules 	 R C Gupta	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol06_1_5_RCGupta.pdf	149	18867
IJHS-6-1971-Issue-1	Lucien Cayeux: A Challenger of the Principle of Uniformity in Geology? 	 Albert V Carozzi	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol06_1_6_AVCarozzi.pdf	124	18991
IJHS-6-1971-Issue-1	Triamlla Bhatta: His Date and Works in 100 Verses 	 P V Sharma	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol06_1_7_PVSharma.pdf	172	19163
IJHS-6-1971-Issue-1	A Short History of the Meson Theory from 1935 to 1943_I 	 V Mukherji	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol06_1_8_VMukherji.pdf	521	19684
IJHS-6-1971-Issue-1	Histrory of Sciences in india: Pali Sources 	 B M Chintamani and B V Subbarayyapa	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol06_1_9_BMChintamani.pdf	195	19879
IJHS-6-1971-Issue-1	Book Review 	 	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol06_1_10_BookReviews.pdf	63	19942
IJHS-6-1971-Issue-2	A Short History of the Meson Theory from 1935 to 1943_II 	 V Mukherji	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol06_2_1_VMukherji.pdf	354	20296
IJHS-6-1971-Issue-2	The Extant Siddhanta Sekhra: An Error in one of its Sine Values 	 R N Rai	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol06_2_2_RNRai.pdf	70	20366
IJHS-6-1971-Issue-2	Exploration of Underground Water Springs According to the Ancient Hindus 	 E G K Rao	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol06_2_3_EGKRao.pdf	165	20531
IJHS-6-1971-Issue-2	The Ardharatrika System of Aryabhata I 	 R N Rai	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol06_2_4_RNRai.pdf	123	20654
IJHS-6-1971-Issue-2	Sivadasa Sen— A Scholar Commentator on Indian Medicine of Later Medieval Period 	 G P Sharma and P V Sharma	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol06_2_5_GPSharma.pdf	278	20932
IJHS-6-1971-Issue-2	Notices of Thirteen Mss. In Prakrit 	 B M Chintamani	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol06_2_6_BMChintamani.pdf	111	21043
IJHS-7-1972-Issue-1	Sine Values of the Vatesvara Siddhanta 	 R N Rai	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol07_1_1_RNRai.pdf	252	21295
IJHS-7-1972-Issue-1	Kappal Sattiram: A Tamil Treatise on Shipbuilding During the Seventeenth Century AD 	 N K Panikkar and T M Srinivasan	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol07_1_2_NKPanikkar.pdf	216	21511
IJHS-7-1972-Issue-1	Calculation of Ahargana in the Vatesvara Siddhanta 	 R N Rai	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol07_1_3_RNRai.pdf	311	21822
IJHS-7-1972-Issue-1	Botany in the Vedas (Part I) 	 A L Sharma‚ A B Seerwani and V R Shastry	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol07_1_4_ALSharma.pdf	134	21956
IJHS-7-1972-Issue-1	Scientific Works in Sanskrit‚ Translated into Foreign Languages and Vice–Versa in the 18th and 19th Century AD 	 S N Sen	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol07_1_5_SNSen.pdf	531	22487
IJHS-7-1972-Issue-1	Notes: The Sine Table in Ancient India 	 A K Bag	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol07_1_6_Notes_AKBag.pdf	66	22553
IJHS-7-1972-Issue-1	News: Symposium on Al–Biruni and the Indian Sciences 	 B V Subbarayappa	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol07_1_7_News.pdf	62	22615
IJHS-7-1972-Issue-1	Book Review: Teaching the History of Chemistry 	 A Rehman	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol07_1_8_BookReview.pdf	37	22652
IJHS-7-1972-Issue-2	Early Indians on Second Order Sine Differences 	 R C Gupta	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol07_2_1_RCGupta.pdf	132	22784
IJHS-7-1972-Issue-2	Jejatta (9th Century AD) and his Informations about Indian Drugs 	 P V Sharma and G P Sharma	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol07_2_2_PVSharma.pdf	237	23021
IJHS-7-1972-Issue-2	Asoka (Saraca Indica Linn)— A Cultural and Scientific Evaluation 	 T K Biswas and P K Debnath	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol07_2_3_TKBiswas.pdf	372	23393
IJHS-7-1972-Issue-2	Maxima and Minima of Tithis 	 S D Sharma	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol07_2_4_SDSharma.pdf	98	23491
IJHS-7-1972-Issue-2	Relativity in the Early Twenties: Many–Sided Reactions to a Great Theory 	 V V Raman	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol07_2_5_VVRaman.pdf	600	24091
IJHS-7-1972-Issue-2	Notes: An Historical Note: The Meson Mass Value in the History of Yukawa Theory 	 V Mukherji	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol07_2_6_Notes_VMukherjee.pdf	165	24256
IJHS-7-1972-Issue-2	Book Reviews 	 	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol07_2_7_BookReviews.pdf	46	24302
IJHS-7-1972-Issue-2	News 	 	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol07_2_8_News.pdf	24	24326
IJHS-8-1973-Issue-1&2	Set Theory in Jaina School of Mathematics 	 L C Jain	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol08_1and2_1_LCJain.pdf	570	24896
IJHS-8-1973-Issue-1&2	Jyotisa in Kerala 	 K D Swaminathan	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol08_1and2_2_KDSwaminathan.pdf	185	25081
IJHS-8-1973-Issue-1&2	Arthritis in Ancient Indian Literature 	 J N Sharma‚ Jagadish N Sharma and R B Arora	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol08_1and2_3_JNSharma.pdf	131	25212
IJHS-8-1973-Issue-1&2	Use of Hypotenuse in the Computation of the Equation of the Centre under the Epicyclic Theory in the School of Aryabhatta I??? 	 K S Shukla	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol08_1and2_4_KSShukla.pdf	316	25528
IJHS-8-1973-Issue-1&2	A Thirteenth Century Indian Reference to Plant Nematodes 	 K K Tiwari and T R Mitra	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol08_1and2_5_KKTiwari.pdf	63	25591
IJHS-8-1973-Issue-1&2	Sources for a History of Plant Sciences in India 	 B G L Swamy	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol08_1and2_6_BGLSwamy.pdf	769	26360
IJHS-8-1973-Issue-1&2	The Faunal Studies in Archaeology 	 K R Alur	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol08_1and2_7_KRAlur.pdf	577	26937
IJHS-8-1973-Issue-1&2	Book Reviews 	 	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol08_1and2_8_BookReviews.pdf	231	27168
IJHS-9-1974-Issue-1	The Main Characteristics of Hindu Astronomy in the Period Corresponding to Pre-Copernican.. 	 T S Kuppannasastry	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol09_1_6_TSKuppannasastry.pdf	261	27429
IJHS-9-1974-Issue-1	Copernicus and Modern Science 	 Eugene K Kharadze	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol9_1_1_EKKharadze.pdf	4	27433
IJHS-9-1974-Issue-1	Copernicus and His Theory 	 Jozef Smak	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol9_1_2_JSmak.pdf	4	27437
IJHS-9-1974-Issue-1	Copernicus and Modern Physics and Cosmology 	 Andrzej Trautman	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol9_1_3_ATrautman.pdf	4	27441
IJHS-9-1974-Issue-1	Nicolaus Copernicus and the Commentariolus 	 S C Joshi	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol9_1_4_SCJoshi.pdf	4	27445
IJHS-9-1974-Issue-1	Nicolaus Copernicus and His Heliocentric Theory 	 Samir Kumar Ghosh	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol9_1_5_SKGhosh.pdf	4	27449
IJHS-9-1974-Issue-1	The Main Characteristics of Hindu Astronomy in the Period Corresponding to Pre–Copernican European Astronomy 	 T S Kuppannasastry	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol9_1_6_TSKuppannasastry.pdf	4	27453
IJHS-9-1974-Issue-1	The Prime Meridian in Indian Astronomy 	 R N Rai	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol09_1_7_RNRai.pdf	107	27560
IJHS-9-1974-Issue-1	A Glimpse of Aryabhata’s Theory of Rotation of Earth 	 Bina Chatterjee	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol09_1_8_BChatterjee.pdf	106	27666
IJHS-9-1974-Issue-1	Copernican Heliocentric Theory and Indian Astronomy (AD 1500) 	 C G Pendse	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol09_1_9_CGPendse.pdf	403	28069
IJHS-9-1974-Issue-1	The Kapitthaka of Varahamihira 	 D G Dhavale	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol09_1_11_DGDhavale.pdf	53	28122
IJHS-9-1974-Issue-1	Solution of the Astronomical Triangle as found in the Tantrasamgraha 	 Radha Charan Gupta	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol09_1_13_RCGupta.pdf	200	28322
IJHS-9-1974-Issue-1	The Contribution of the Cult of Sacrifice to the Development of Indian Astronomy 	 G Sundaramoorthy	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol09_1_14_GSundaramurthy.pdf	130	28452
IJHS-9-1974-Issue-1	Epicyclic Eccentric Planetary Theories in Ancient and Medieval Indian Astronomy 	 S N Sen	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol09_1_15_SNSen.pdf	291	28743
IJHS-9-1974-Issue-1	Arab Antecedents of Copernican Method 	 S M R Ansari	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol09_1_16_SMRAnsari.pdf	20	28763
IJHS-9-1974-Issue-1	Pre–Copernican Astronomy in Europe 	 M C Pande	https://insa.nic.in//writereaddata/UpLoadedFiles/IJHS/Vol09_1_17_MCPande.pdf	295	29058
