sloka	pada	english	speech_part	word_count	verb_count
2.116.13	विप्रकुर्वन्ति	are tormenting	[[('are', 'VBP'), ('tormenting', 'VBG')]]	2	2
2.11.2	विप्रकृता	offended	[[('offended', 'VBN')]]	1	1
1.55.22	विप्रद्रुताः	fled	[[('fled', 'VBN')]]	1	1
2.96.5	विप्रद्रुतान्	fleeing	[[('fleeing', 'VBG')]]	1	1
1.20.8	विप्रयुक्तः	separated	[[('separated', 'VBN')]]	1	1
2.53.20	विप्रायुज्यत	has been separated	[[('has', 'VBZ'), ('been', 'VBN'), ('separated', 'VBN')]]	3	3
3.60.30	विभज्य	tearing	[[('tearing', 'VBG')]]	1	1
3.63.10	विभिद्य	breaking	[[('breaking', 'VBG')]]	1	1
3.24.17	विभूषितः	welldecorated	[[('welldecorated', 'VBN')]]	1	1
5.22.28	विभूषितः	adorned	[[('adorned', 'VBN')]]	1	1
2.100.51	विभूषितम्	welladorned	[[('welladorned', 'VBN')]]	1	1
2.94.4	विभूषितम्	adorned	[[('adorned', 'VBN')]]	1	1
2.37.35	विभूषिता	welladorned	[[('welladorned', 'VBN')]]	1	1
2.78.6	विभूषिता	was adorned	[[('was', 'VBD'), ('adorned', 'VBN')]]	2	2
5.14.43	विभूषिता	is decorated	[[('is', 'VBZ'), ('decorated', 'VBN')]]	2	2
5.9.24	विभूषिताम्	ornamented	[[('ornamented', 'VBN')]]	1	1
2.15.45	विभ्रजमानम्	shining	[[('shining', 'VBG')]]	1	1
3.5.5	विभ्राजमानम्	shining	[[('shining', 'VBG')]]	1	1
4.50.24	विभ्राजमानान्	dazzling	[[('dazzling', 'VBG')]]	1	1
3.46.14	विभ्राजमानाम्	shining	[[('shining', 'VBG')]]	1	1
3.45.40	विमनाः	dejected	[[('dejected', 'VBN')]]	1	1
5.19.12	विमानिताम्	slighted	[[('slighted', 'VBN')]]	1	1
3.30.26	विमुक्तः	released	[[('released', 'VBN')]]	1	1
5.62.30	विमुक्तः	escaped	[[('escaped', 'VBD')]]	1	1
5.18.24	विमुक्तम्	slipped	[[('slipped', 'VBD')]]	1	1
5.48.49	विमुक्तम्	released	[[('released', 'VBN')]]	1	1
5.1.52	विमुक्ताः	released	[[('released', 'VBN')]]	1	1
3.64.67	विमुक्तानाम्	released	[[('released', 'VBN')]]	1	1
1.76.19	विमुखीकृतः	have been defeated	[[('have', 'VBP'), ('been', 'VBN'), ('defeated', 'VBN')]]	3	3
1.12.11	विमुच्यतां च	be released	[[('be', 'VB'), ('released', 'VBN')]]	2	2
1.8.11	विमुच्यताम्	be released	[[('be', 'VB'), ('released', 'VBN')]]	2	2
1.8.14	विमुच्यताम्	be released	[[('be', 'VB'), ('released', 'VBN')]]	2	2
1.26.19	विमुञ्चन्ती	releasing	[[('releasing', 'VBG')]]	1	1
5.11.34	विमूर्छितम्	exhausted	[[('exhausted', 'VBN')]]	1	1
2.23.41	विमृज्य	wiping	[[('wiping', 'VBG')]]	1	1
3.21.6	विमृज्य	wiping	[[('wiping', 'VBG')]]	1	1
2.88.13	विमृदितम्	is crushed	[[('is', 'VBZ'), ('crushed', 'VBN')]]	2	2
3.11.76	विमृदितान्	crushed	[[('crushed', 'VBN')]]	1	1
2.117.24	विमृशन्ती	reflecting	[[('reflecting', 'VBG')]]	1	1
3.72.8	विमृश्यते	is tested	[[('is', 'VBZ'), ('tested', 'VBN')]]	2	2
5.68.4	विमोक्षणम्	relieved	[[('relieved', 'VBN')]]	1	1
1.2.11	वियुक्ता	got separated	[[('got', 'VBD'), ('separated', 'VBN')]]	2	2
5.11.2	वियुक्ता	separated	[[('separated', 'VBN')]]	1	1
2.114.10	वियुक्ताम्	detached	[[('detached', 'VBN')]]	1	1
1.34.16	वियुज्यते	is separated	[[('is', 'VBZ'), ('separated', 'VBN')]]	2	2
2.53.19	वियोजिताः	separated	[[('separated', 'VBN')]]	1	1
2.66.19	वियोजिताः	separated	[[('separated', 'VBN')]]	1	1
2.86.14	विरतः	has subsided	[[('has', 'VBZ'), ('subsided', 'VBN')]]	2	2
1.68.14	विरताः	concluded	[[('concluded', 'VBD')]]	1	1
2.105.46	विरते	had rested	[[('had', 'VBD'), ('rested', 'VBN')]]	2	2
3.17.4	विरराज	appeared	[[('appeared', 'VBD')]]	1	1
3.42.24	विरराज	glittered	[[('glittered', 'VBN')]]	1	1
1.34.19	विरराम	rested	[[('rested', 'VBN')]]	1	1
1.50.23	विरराम	stopped	[[('stopped', 'VBD')]]	1	1
4.25.1	विरराम	stopped	[[('stopped', 'VBD')]]	1	1
5.31.16	विरराम	stopped	[[('stopped', 'VBD')]]	1	1
5.36.31	विरराम	stopped	[[('stopped', 'VBD')]]	1	1
3.61.9	विरहितः	separated	[[('separated', 'VBN')]]	1	1
3.60.30	विरहिता	separated	[[('separated', 'VBN')]]	1	1
3.60.34	विरहिता	separated	[[('separated', 'VBN')]]	1	1
3.67.16	विरहिता	separated	[[('separated', 'VBN')]]	1	1
3.48.11	विराजता	shining	[[('shining', 'VBG')]]	1	1
5.49.2	विराजता	shining	[[('shining', 'VBG')]]	1	1
4.40.52	विराजति	shining	[[('shining', 'VBG')]]	1	1
4.40.53	विराजति	shining	[[('shining', 'VBG')]]	1	1
2.97.31	विराजते	was shining	[[('was', 'VBD'), ('shining', 'VBG')]]	2	2
5.2.57	विराजन्	illumining	[[('illumining', 'VBG')]]	1	1
1.14.25	विराजन्ते	illuminated	[[('illuminated', 'VBN')]]	1	1
2.94.5	विराजन्ते	shining	[[('shining', 'VBG')]]	1	1
2.14.51	विराजमानः	shining	[[('shining', 'VBG')]]	1	1
5.47.6	विराजमानम्	glowing	[[('glowing', 'VBG')]]	1	1
2.15.41	विराजयन्	appearing	[[('appearing', 'VBG')]]	1	1
3.72.6	विराजयन्	illumining	[[('illumining', 'VBG')]]	1	1
5.5.2	विराजयन्तम्	illuminating	[[('illuminating', 'VBG')]]	1	1
3.74.34	विराजयन्ती	illuminating	[[('illuminating', 'VBG')]]	1	1
3.71.7	विराजितम्	shining	[[('shining', 'VBG')]]	1	1
5.10.25	विराजितम्	glittering	[[('glittering', 'VBG')]]	1	1
2.99.18	विराजिताम्	was shining	[[('was', 'VBD'), ('shining', 'VBG')]]	2	2
2.58.33	विरुध्य	antagonizing	[[('antagonizing', 'VBG')]]	1	1
5.42.12	विरूपम्	disfigured	[[('disfigured', 'VBN')]]	1	1
3.18.23	विरूपा	disfigured	[[('disfigured', 'VBN')]]	1	1
5.59.30	विरूपाभिः	uglylooking	[[('uglylooking', 'VBG')]]	1	1
3.17.28	विरूपाम्	deformed	[[('deformed', 'VBN')]]	1	1
3.18.11	विरूपाम्	deformed	[[('deformed', 'VBN')]]	1	1
3.18.26	विरूपाम्	disfigured	[[('disfigured', 'VBN')]]	1	1
3.19.6	विरूपाम्	disfigured	[[('disfigured', 'VBN')]]	1	1
1.59.19	विरूपाश्च	deformed	[[('deformed', 'VBN')]]	1	1
1.1.46	विरूपिता	was deformed	[[('was', 'VBD'), ('deformed', 'VBN')]]	2	2
3.19.2	विरूपिता	disfigured	[[('disfigured', 'VBN')]]	1	1
3.32.25	विरूपिता	disfigured	[[('disfigured', 'VBN')]]	1	1
3.36.12	विरूपिता	disfigured	[[('disfigured', 'VBN')]]	1	1
3.34.20	विरूपिता अस्मि	have been disfigured	[[('have', 'VBP'), ('been', 'VBN'), ('disfigured', 'VBN')]]	3	3
2.50.7	विलपताम्	lamenting	[[('lamenting', 'VBG')]]	1	1
2.59.38	विलपति	lamenting	[[('lamenting', 'VBG')]]	1	1
2.81.9	विलपति	lamenting	[[('lamenting', 'VBG')]]	1	1
3.62.21	विलपति	was wailing	[[('was', 'VBD'), ('wailing', 'VBG')]]	2	2
2.57.33	विलपतीम्	lamenting	[[('lamenting', 'VBG')]]	1	1
1.1.32	विलपन्	wailing	[[('wailing', 'VBG')]]	1	1
2.115.22	विलपन्	lamenting	[[('lamenting', 'VBG')]]	1	1
2.12.114	विलपन्	wailing	[[('wailing', 'VBG')]]	1	1
2.42.22	विलपन्	lamenting	[[('lamenting', 'VBG')]]	1	1
2.42.23	विलपन्	lamenting	[[('lamenting', 'VBG')]]	1	1
2.42.26	विलपन्	lamenting	[[('lamenting', 'VBG')]]	1	1
