local,jd,alt,az,raJ2000,decJ2000,lon,lat,year,month,daynum,daynum_utryn,daynum_dksyn
-1850-01-01T07:27:28.497,1045361.5815798263,0.01948341311022789,116.89947873071799,337.05135200577286,-9.864028854665442,281.7841061848449,-0.0003877064053033028,-1850,1,1.0,13.0,193.0
-1850-01-02T07:27:28.497,1045362.5815798263,-0.00982426304229485,116.77104137337972,337.9932354113319,-9.488446631339048,282.7857545941628,-0.0002676222244623544,-1850,1,2.0,14.0,194.0
-1850-01-03T07:27:28.497,1045363.5815798263,-0.03368850126525291,116.6373318939424,338.9325236841264,-9.110561053381664,283.7868446088836,-0.0001436113220306581,-1850,1,3.0,15.0,195.0
-1850-01-04T07:27:50.140,1045364.5818303273,0.018747239339188503,116.541683260572,339.86950969350244,-8.730393998732849,284.7875992206931,-1.403900124149575e-05,-1850,1,4.0,16.0,196.0
-1850-01-05T07:27:50.140,1045365.5818303273,0.006051760974495714,116.39774133249891,340.80378354664083,-8.348253318372716,285.7874894303979,0.00012243522340942155,-1850,1,5.0,17.0,197.0
-1850-01-06T07:27:50.140,1045366.5818303273,-0.0010115439900020527,116.2488536185749,341.7356413327275,-7.964161265628306,286.786740879283,0.0002669374169441988,-1850,1,6.0,18.0,198.0
-1850-01-07T07:27:50.140,1045367.5818303273,-0.002388641180882673,116.09512864194684,342.66514680954526,-7.578234467577411,287.785333701755,0.00042014851814024964,-1850,1,7.0,19.0,199.0
-1850-01-08T07:27:50.140,1045368.5818303273,0.0019682889481594597,115.9366748166326,343.59236730128725,-7.190588599815386,288.7832546432216,0.0005822579450233404,-1850,1,8.0,20.0,200.0
-1850-01-09T07:27:50.140,1045369.5818303273,0.012099649057998735,115.77360041884316,344.5173745208537,-6.801337997735471,289.7804970840981,0.0007529185543386601,-1850,1,9.0,21.0,201.0
-1850-01-10T07:27:50.140,1045370.5818303273,0.028037606445848868,115.60601352124037,345.44024520470913,-6.410595300389684,290.777059911651,0.0009312391307627798,-1850,1,10.0,22.0,202.0
