nid	naks	gname	lon	lat	year	date	jd
N01-Ash	अश्विनी	β Ari	331.710	8.365	-2500	-2500-12-31T06:00:00	808297.534468
N02-Bha	भरणी	* 41 Ari	345.995	10.207	-2500	-2500-12-31T06:00:00	808297.534468
N03-Kri	क्रित्तिकाः	η Tau	357.761	3.623	-2500	-2500-12-31T06:00:00	808297.534468
N04-Roh	रोहिणी	α Tau	7.471	-5.754	-2500	-2500-12-31T06:00:00	808297.534468
N05-Mrg	मृगशीर्षः	λ Ori	21.429	-13.957	-2500	-2500-12-31T06:00:00	808297.534468
N06-Ard	आर्द्रा	γ Gem	36.833	-7.275	-2500	-2500-12-31T06:00:00	808297.534468
N07-Pun	पुनर्वसू	β Gem	51.697	6.458	-2500	-2500-12-31T06:00:00	808297.534468
N08-Pus	पुष्यः	δ Cnc	66.409	-0.137	-2500	-2500-12-31T06:00:00	808297.534468
N09-Asl	आश्लेषः	ζ Hya	72.500	-11.400	-2500	-2500-12-31T06:00:00	808297.534468
N10-Mag	मघाः	ζ Leo	85.192	11.495	-2500	-2500-12-31T06:00:00	808297.534468
N11-PPal	पूर्वफल्गुनी	δ Leo	98.683	14.139	-2500	-2500-12-31T06:00:00	808297.534468
N12-UPal	उत्तरफल्गुनी	β Leo	109.755	12.517	-2500	-2500-12-31T06:00:00	808297.534468
N13-Has	हस्तः	δ Crv	131.493	-11.839	-2500	-2500-12-31T06:00:00	808297.534468
N14-Chi	चित्रा	α Vir	141.644	-1.805	-2500	-2500-12-31T06:00:00	808297.534468
N15-Swa	स्वाती	α Boo	141.681	33.984	-2500	-2500-12-31T06:00:00	808297.534468
N16-Vis	विशाखे	α2 Lib	162.930	0.838	-2500	-2500-12-31T06:00:00	808297.534468
N17-Anu	अनूराधा	δ Sco	180.329	-1.423	-2500	-2500-12-31T06:00:00	808297.534468
N18-Jye	ज्येष्ठा	ε Sco	193.775	-10.562	-2500	-2500-12-31T06:00:00	808297.534468
N19-Mul	मूलं	κ Sco	204.256	-15.013	-2500	-2500-12-31T06:00:00	808297.534468
N20-PAsh	पूर्वाषाढा	φ Sgr	217.865	-3.349	-2500	-2500-12-31T06:00:00	808297.534468
N21-UAsh	उत्तराषाढा	η Sgr	209.212	-53.465	-2500	-2500-12-31T06:00:00	808297.534468
N22-Shr	श्रवणः	α Aql	238.787	29.514	-2500	-2500-12-31T06:00:00	808297.534468
N23-Dha	धनिष्ठा	β Del	254.190	32.481	-2500	-2500-12-31T06:00:00	808297.534468
N24-Sha	शतभिषक्	λ Aqr	279.287	-0.167	-2500	-2500-12-31T06:00:00	808297.534468
N25-PBha	पूर्वाभाद्रपदा	α Peg	291.387	19.608	-2500	-2500-12-31T06:00:00	808297.534468
N26-UBha	उत्तराभाद्रपदा	λ Peg	291.057	28.964	-2500	-2500-12-31T06:00:00	808297.534468
