year	event	date	sun_lon	obj_lon	sun_lon_dms	obj_lon_dms	obj_rise_set	sun_rise_set	delta_rise_set	age	mag	sun_alt	obj_lat	az_diff	lon_diff	sun_sz	obj_az
-583	cosmical_setting	-583-10-12	192.5	10.3	192° 32'	10° 17'	5:55	6:20	-0:24h	1d 10h	-1.9	-6° 13'	-1° 41'	-181° 26'	177° 45'	272° 13'	90° 47'
-582	last_visibility	-582-07-11	101.3	124.6	101° 18'	124° 38'	20:31	19:23	1:08h	-73d 14h	2	-13° 24'	1° 09'	-15° 52'	23° 20'	127° 20'	111° 28'
-582	first_visibility	-582-11-25	237.1	218.0	237° 03'	217° 58'	5:48	6:56	-1:07h	62d 20h	1.6	-14° 44'	0° 05'	4° 20'	-19° 05'	284° 36'	288° 56'
-581	acronychal_rising	-581-11-19	231.2	56.3	231° 12'	56° 20'	17:57	17:31	0:25h	-3d 21h	-1.3	-6° 05'	1° 57'	174° 59'	-174° 52'	72° 21'	247° 20'
-581	cosmical_setting	-581-11-26	237.9	53.7	237° 52'	53° 44'	6:25	6:57	-0:31h	2d 16h	-1.3	-7° 13'	2° 11'	-176° 45'	175° 53'	288° 54'	112° 09'
-580	last_visibility	-580-08-07	127.9	155.1	127° 54'	155° 04'	20:18	19:13	1:04h	-93d 12h	1.8	-13° 25'	0° 45'	-21° 08'	27° 10'	121° 01'	99° 53'
-579	first_visibility	-579-04-01	4.5	331.9	4° 27'	331° 52'	5:15	6:19	-1:03h	142d 21h	1.4	-14° 35'	-1° 12'	27° 08'	-32° 35'	259° 12'	286° 19'
-579	acronychal_rising	-579-12-23	266.4	92.6	266° 25'	92° 36'	18:02	17:30	0:31h	-4d 15h	-1	-7° 03'	3° 58'	173° 23'	-173° 49'	66° 38'	240° 01'
-579	cosmical_setting	-578-01-01	275.1	89.2	275° 05'	89° 12'	6:53	7:23	-0:29h	3d 22h	-1	-6° 39'	4° 07'	-173° 22'	174° 06'	293° 32'	120° 10'
-578	cosmical_setting	-578-01-01	275.1	89.2	275° 05'	89° 12'	6:53	7:23	-0:29h	3d 22h	-1	-6° 39'	4° 07'	-173° 22'	174° 06'	293° 32'	120° 10'
-578	last_visibility	-578-09-16	166.8	196.1	166° 48'	196° 04'	19:33	18:35	0:58h	-118d 13h	1.6	-13° 18'	-0° 07'	-23° 58'	29° 16'	104° 14'	80° 16'
-577	first_visibility	-577-05-27	57.5	27.5	57° 30'	27° 31'	4:09	5:21	-1:12h	133d 20h	1.6	-14° 31'	-0° 28'	23° 59'	-30° 00'	236° 18'	260° 17'
-576	acronychal_rising	-576-01-27	301.3	126.3	301° 18'	126° 15'	18:25	17:54	0:31h	-3d 18h	-1	-7° 11'	4° 38'	174° 08'	-175° 04'	70° 51'	245° 00'
-576	cosmical_setting	-576-02-06	310.8	122.5	310° 50'	122° 31'	6:51	7:19	-0:27h	5d 18h	-1	-6° 24'	4° 37'	-170° 49'	171° 41'	286° 50'	116° 01'
-576	last_visibility	-576-12-27	270.8	290.5	270° 47'	290° 27'	18:35	17:32	1:02h	-85d 19h	1.4	-13° 17'	-1° 08'	-9° 48'	19° 41'	70° 01'	60° 13'
-575	first_visibility	-575-06-26	86.6	61.6	86° 35'	61° 34'	3:57	5:14	-1:16h	94d 14h	1.9	-14° 41'	0° 20'	16° 58'	-25° 01'	230° 50'	247° 48'
-574	acronychal_rising	-574-03-06	339.5	162.4	339° 30'	162° 24'	18:47	18:21	0:25h	-2d 08h	-1.3	-6° 12'	3° 47'	175° 53'	-177° 06'	84° 11'	260° 04'
-574	cosmical_setting	-574-03-15	347.8	159.2	347° 47'	159° 12'	6:16	6:41	-0:24h	6d 04h	-1.3	-6° 14'	3° 34'	-170° 59'	171° 25'	272° 04'	101° 05'
-573	last_visibility	-573-03-12	345.2	2.4	345° 09'	2° 24'	19:23	18:25	0:58h	-64d 00h	1.7	-13° 22'	-0° 19'	-2° 13'	17° 15'	90° 50'	88° 37'
-573	first_visibility	-573-07-23	112.0	91.2	112° 02'	91° 10'	4:11	5:25	-1:14h	68d 09h	2	-14° 32'	0° 55'	10° 07'	-20° 52'	233° 28'	243° 35'
-572	acronychal_rising	-572-04-23	26.4	208.7	26° 26'	208° 42'	19:12	18:47	0:24h	-2d 00h	-2	-6° 02'	0° 15'	179° 20'	-177° 44'	105° 37'	284° 57'
-572	cosmical_setting	-572-04-29	31.6	206.9	31° 37'	206° 54'	5:16	5:45	-0:28h	3d 10h	-2	-6° 38'	-0° 03'	-176° 15'	175° 17'	251° 46'	75° 32'
-571	last_visibility	-571-04-28	31.0	48.6	31° 01'	48° 33'	19:50	18:49	1:01h	-57d 16h	1.9	-13° 23'	0° 35'	-3° 46'	17° 32'	112° 34'	108° 48'
-571	first_visibility	-571-08-22	141.7	122.6	141° 44'	122° 38'	4:36	5:46	-1:09h	57d 17h	2	-14° 48'	1° 12'	4° 39'	-19° 06'	243° 13'	247° 53'
-570	cosmical_setting	-570-07-06	96.0	277.0	95° 58'	277° 02'	4:46	5:17	-0:30h	-1d 05h	-2.6	-6° 34'	-6° 22'	-185° 52'	-178° 56'	237° 50'	51° 58'
