gname,nid,nnid,tag,sname,hip,naks,enaks,daivata,raJ2000,decJ2000,lonJ2000,latJ2000,hr_daynum_kuru,hr_jd_kuru,hr_utc_kuru,hr_az_kuru,hr_alt_kuru
ζ Leo,N10-Mag,10,rep,Adhafera,HIP 50335,मघा,Maghā,Pitṛ,154.17,23.42,147.57,11.86,186,1173382.50,-1500-07-05 23:53:23.206,53.81,7.34
α Leo,N10-Mag,10,other,Regulus,HIP 49669,मघा,Maghā,Pitṛ,152.09,11.97,149.83,0.46,194,1173390.50,-1500-07-13 23:57:42.926,67.11,7.38
γ Leo,N10-Mag,10,other,Algieba,HIP 50583,मघा,Maghā,Pitṛ,154.99,19.84,149.61,8.81,190,1173386.50,-1500-07-09 23:55:33.066,57.59,7.47
ε Leo,N10-Mag,10,other,Algenubi,HIP 47908,मघा,Maghā,Pitṛ,146.46,23.77,140.71,9.71,180,1173376.49,-1500-06-29 23:50:51.703,56.16,7.63
η Leo,N10-Mag,10,other,Al Jabah,HIP 49583,मघा,Maghā,Pitṛ,151.83,16.76,147.91,4.87,190,1173386.50,-1500-07-09 23:55:33.066,61.93,7.38
μ Leo,N10-Mag,10,other,Rasalas,HIP 48455,मघा,Maghā,Pitṛ,148.19,26.01,141.43,12.35,179,1173375.49,-1500-06-28 23:50:30.060,53.03,7.51
δ Leo,N11-PPal,11,rep,Zosma,HIP 54872,पूर्वफल्गुनी,P Phalgunī,Bhaga,168.53,20.52,161.32,14.33,200,1173396.50,-1500-07-20 00:01:41.002,52.83,7.11
θ Leo,N11-PPal,11,other,Chertan,HIP 54879,पूर्वफल्गुनी,P Phalgunī,Bhaga,168.56,15.43,163.42,9.67,205,1173401.50,-1500-07-25 00:04:55.792,58.99,7.84
β Leo,N12-UPal,12,rep,Denebola,HIP 57632,उत्तरफल्गुनी,U Phalgunī,Aryaman,177.26,14.57,171.62,12.27,213,1173409.51,-1500-08-02 00:10:20.441,58.08,7.75
* 93 Leo,N12-UPal,12,other,93Leo,HIP 57565,उत्तरफल्गुनी,U Phalgunī,Aryaman,177.00,20.22,168.97,17.31,208,1173404.50,-1500-07-28 00:06:44.008,51.44,7.35
δ Crv,N13-Has,13,rep,Algorab,HIP 60965,हस्त,Hasta,Savitṛ,187.47,-16.52,193.45,-12.20,240,1173436.52,-1500-08-29 00:29:05.892,91.97,7.77
α Crv,N13-Has,13,other,Alchiba,HIP 59199,हस्त,Hasta,Savitṛ,182.10,-24.73,192.24,-21.75,240,1173436.52,-1500-08-29 00:29:05.892,101.66,7.17
β Crv,N13-Has,13,other,Kraz,HIP 61359,हस्त,Hasta,Savitṛ,188.60,-23.40,197.36,-18.04,244,1173440.52,-1500-09-02 00:31:37.395,99.38,7.06
γ Crv,N13-Has,13,other,Gienah,HIP 59803,हस्त,Hasta,Savitṛ,183.95,-17.54,190.72,-14.50,238,1173434.52,-1500-08-27 00:27:39.319,93.60,7.94
ε Crv,N13-Has,13,other,Minkar,HIP 59316,हस्त,Hasta,Savitṛ,182.53,-22.62,191.66,-19.67,239,1173435.52,-1500-08-28 00:28:22.605,99.13,7.10
α Vir,N14-Chi,14,rep,Spica,HIP 65474,चित्रा,Citrā,Tvaṣṭṛ,201.30,-11.16,203.84,-2.05,248,1173444.52,-1500-09-06 00:34:08.898,84.73,7.04
α Boo,N15-Swa,15,rep,Arcturus,HIP 69673,स्वाती,Svātī,Vāyu,213.92,19.18,204.23,30.73,246,1173442.52,-1500-09-04 00:33:03.968,50.78,7.64
α2 Lib,N16-Vis,16,rep,Zubenelgenubi,HIP 72622,विशाखे,Viśākhā,Indrāgnī,222.72,-16.04,225.08,0.33,269,1173465.53,-1500-09-27 00:47:51.343,91.72,7.30
α1 Lib,N16-Vis,16,other,Zubenelgenubi II,HIP 72603,विशाखे,Viśākhā,Indrāgnī,222.67,-16.00,225.02,0.36,269,1173465.53,-1500-09-27 00:47:51.343,91.70,7.36
δ Sco,N17-Anu,17,rep,Dschubba,HIP 78401,अनूराधा,Anūrādhā,Mitra,240.08,-22.62,242.56,-1.99,287,1173483.54,-1500-10-15 01:00:28.858,102.55,7.86
β1 Sco,N17-Anu,17,other,Acrab,HIP 78820,अनूराधा,Anūrādhā,Mitra,241.36,-19.81,243.18,1.01,287,1173483.54,-1500-10-15 01:00:28.858,99.48,7.60
π Sco,N17-Anu,17,other,Fang,HIP 78265,अनूराधा,Anūrādhā,Mitra,239.71,-26.11,242.93,-5.48,287,1173483.54,-1500-10-15 01:00:28.858,105.98,7.04
ω1 Sco,N17-Anu,17,other,Jabhat Acrabi I,HIP 78933,अनूराधा,Anūrādhā,Mitra,241.70,-20.67,243.66,0.22,287,1173483.54,-1500-10-15 01:00:28.858,100.20,7.04
ε Sco,N18-Jye,18,rep,Larawag,HIP 82396,ज्येष्ठा,Jyeṣṭhā,Indra,252.54,-34.29,255.33,-11.74,301,1173497.55,-1500-10-29 01:11:39.800,118.80,7.36
α Sco,N18-Jye,18,other,Antares,HIP 80763,ज्येष्ठा,Jyeṣṭhā,Indra,247.35,-26.43,249.75,-4.57,294,1173490.55,-1500-10-22 01:05:53.507,108.32,7.37
σ Sco,N18-Jye,18,other,Alniyat,HIP 80112,ज्येष्ठा,Jyeṣṭhā,Indra,245.30,-25.59,247.79,-4.04,292,1173488.54,-1500-10-20 01:04:26.934,106.89,7.43
