nid	naks	gname	lon	lat	year	date	jd
N01-Ash	अश्विनी	α Ari	350.451	9.886	-1400	-1400-12-31T06:00:00	1210072.534468
N01-Ash	अश्विनी	γ Ari	350.871	7.049	-1000	-1000-12-31T06:00:00	1356172.534468
N01-Ash	अश्विनी	γ Ari	350.871	7.051	-1050	-1050-12-31T18:00:00	1337910.034468
N01-Ash	अश्विनी	β Ari	350.960	8.383	-1100	-1100-12-31T06:00:00	1319647.534468
N01-Ash	अश्विनी	α Ari	351.141	9.887	-1350	-1350-12-31T18:00:00	1228335.034468
N01-Ash	अश्विनी	γ Ari	351.560	7.053	-1000	-1000-12-31T06:00:00	1356172.534468
N01-Ash	अश्विनी	β Ari	351.649	8.382	-1000	-1000-12-31T06:00:00	1356172.534468
N01-Ash	अश्विनी	β Ari	351.649	8.384	-1050	-1050-12-31T18:00:00	1337910.034468
N01-Ash	अश्विनी	α Ari	351.830	9.887	-1300	-1300-12-31T06:00:00	1246597.534468
N01-Ash	अश्विनी	β Ari	352.339	8.385	-1000	-1000-12-31T06:00:00	1356172.534468
N01-Ash	अश्विनी	α Ari	352.520	9.888	-1250	-1250-12-31T18:00:00	1264860.034468
N01-Ash	अश्विनी	α Ari	353.210	9.888	-1200	-1200-12-31T06:00:00	1283122.534468
N01-Ash	अश्विनी	α Ari	353.900	9.889	-1150	-1150-12-31T18:00:00	1301385.034468
N01-Ash	अश्विनी	α Ari	354.590	9.889	-1100	-1100-12-31T06:00:00	1319647.534468
N01-Ash	अश्विनी	γ Ari	355.010	7.059	-750	-0750-12-31T18:00:00	1447485.034468
N01-Ash	अश्विनी	α Ari	355.281	9.890	-1050	-1050-12-31T18:00:00	1337910.034468
N01-Ash	अश्विनी	α Ari	355.282	9.887	-1000	-1000-12-31T06:00:00	1356172.534468
N01-Ash	अश्विनी	γ Ari	355.700	7.060	-700	-0700-12-31T06:00:00	1465747.534468
N01-Ash	अश्विनी	β Ari	355.789	8.391	-750	-0750-12-31T18:00:00	1447485.034468
