gname,nid,nnid,tag,sname,hip,naks,enaks,daivata,raJ2000,decJ2000,lonJ2000,latJ2000,hr_daynum_kuru,hr_jd_kuru,hr_utc_kuru,hr_az_kuru,hr_alt_kuru
β Ari,N01-Ash,1,rep,Sheratan,HIP 8903,अश्विनी,Aśvayuk,Aśvini,28.66,20.81,33.97,8.49,65,1154999.55,-1550-03-07 01:14:54.589,92.21,7.17
α Ari,N01-Ash,1,other,Hamal,HIP 9884,अश्विनी,Aśvayuk,Aśvini,31.79,23.46,37.66,9.97,67,1155001.55,-1550-03-09 01:12:23.086,89.05,7.22
γ Ari,N01-Ash,1,other,Mesarthim,HIP 8832,अश्विनी,Aśvayuk,Aśvini,28.38,19.29,33.18,7.16,66,1155000.55,-1550-03-08 01:13:49.659,94.01,7.25
* 41 Ari,N02-Bha,2,rep,Bharani,HIP 13209,भरणी,Bharaṇī,Yama,42.50,27.26,48.20,10.45,77,1155011.54,-1550-03-19 01:00:07.214,83.75,7.10
* 39 Ari,N02-Bha,2,other,39Ari,HIP 13061,भरणी,Bharaṇī,Yama,41.98,29.25,48.37,12.48,75,1155009.54,-1550-03-17 01:02:38.717,81.73,7.43
* 35 Ari,N02-Bha,2,other,Barani II,HIP 12719,भरणी,Bharaṇī,Yama,40.86,27.71,46.93,11.31,75,1155009.54,-1550-03-17 01:02:38.717,83.57,7.38
η Tau,N03-Kri,3,rep,Alcyone,HIP 17702,क्रित्तिका,Kṛttikā, Agni,56.87,24.11,59.99,4.05,98,1155032.52,-1550-04-09 00:33:25.611,85.06,7.07
* 17 Tau,N03-Kri,3,other,Electra,HIP 17499,क्रित्तिका,Kṛttikā, Agni,56.22,24.11,59.41,4.19,98,1155032.52,-1550-04-09 00:33:25.611,85.43,7.54
* 19 Tau,N03-Kri,3,other,Taygeta,HIP 17531,क्रित्तिका,Kṛttikā, Agni,56.30,24.47,59.57,4.52,97,1155031.52,-1550-04-08 00:34:30.541,84.77,7.08
* 20 Tau,N03-Kri,3,other,Maia,HIP 17573,क्रित्तिका,Kṛttikā, Agni,56.46,24.37,59.68,4.39,98,1155032.52,-1550-04-09 00:33:25.611,85.09,7.53
