nid,nnid,tag,gname,sname,hip,naks,enaks,daivata
N20-PAsh,20,rep,λ Sgr,Kaus Borealis,HIP 90496,पूर्वाषाढा,P Aṣāḍhā,Ap
N20-PAsh,20,other,γ Sgr,Alnasl,HIP 88635,पूर्वाषाढा,P Aṣāḍhā,Ap
N20-PAsh,20,other,δ Sgr,Kaus Media,HIP 89931,पूर्वाषाढा,P Aṣāḍhā,Ap
N20-PAsh,20,other,ε Sgr,Kaus Australis,HIP 90185,पूर्वाषाढा,P Aṣāḍhā,Ap
N21-UAsh,21,rep,τ Sgr,Namalsadirah II,HIP 93864,उत्तराषाढा,U Aṣāḍhā,Viśvedevā
N21-UAsh,21,other,ζ Sgr,Ascella,HIP 93506,उत्तराषाढा,U Aṣāḍhā,Viśvedevā
N21-UAsh,21,other,σ Sgr,Nunki,HIP 92855,उत्तराषाढा,U Aṣāḍhā,Viśvedevā
N21-UAsh,21,other,φ Sgr,Namalsadirah I,HIP 92041,उत्तराषाढा,U Aṣāḍhā,Viśvedevā
N22-Abh,22,rep,α Lyr,Vega,HIP 91262,अभिजित,Abhijit,ब्रह्मा
N23-Shr,23,rep,α Aql,Altair,HIP 97649,श्रवण,Śravaṇa,Viṣṇu
N23-Shr,23,other,β Aql,Alshain,HIP 98036,श्रवण,Śravaṇa,Viṣṇu
N23-Shr,23,other,γ Aql,Tarazed,HIP 97278,श्रवण,Śravaṇa,Viṣṇu
N24-Dha,24,rep,β Del,Rotanev,HIP 101769,धनिष्ठा,Dhaniṣṭhā,Vasu
N24-Dha,24,other,α Del,Sualocin,HIP 101958,धनिष्ठा,Dhaniṣṭhā,Vasu
N24-Dha,24,other,γ2 Del,Al Salib,HIP 102532,धनिष्ठा,Dhaniṣṭhā,Vasu
N24-Dha,24,other,δ Del,Al Ukud,HIP 102281,धनिष्ठा,Dhaniṣṭhā,Vasu
N25-Sha,25,rep,λ Aqr,Hydor,HIP 112961,शतभिषक्,Śatabhiṣak,Varuṇa
N27-PBha,26,rep,α Peg,Markab,HIP 113963,पूर्वाभाद्रपदा,P Proṣṭapada,Aja
N27-PBha,26,other,β Peg,Scheat,HIP 113881,पूर्वाभाद्रपदा,P Proṣṭapada,Aja
N267UBha,27,rep,λ Peg,Sadalnazi,HIP 112440,उत्तराभाद्रपदा,U Proṣṭapada,Ahirbudhnya
N27-UBha,27,other,γ Peg,Algenib,HIP 1067,उत्तराभाद्रपदा,U Proṣṭapada,Ahirbudhnya
N28-Rev,28,rep,ε Psc,epsPsc,HIP 4906,रेवती,Revatī,Pūṣan
