index,solaryear,kali,yuga,dvapara,treta,krta,mahayuga,kalpa
solaryear,1.000,,,,,,,
kali,432000.000,1.000,,,,,,
yuga,432000.000,1.000,1.000,,,,,
dvapara,864000.000,2.000,2.000,1.000,,,,
treta,1296000.000,3.000,3.000,1.500,1.000,,,
krta,1728000.000,4.000,4.000,2.000,1.333,1.000,,
mahayuga,4320000.000,10.000,10.000,5.000,3.333,2.500,1.000,
kalpa,4320000000.000,10000.000,10000.000,5000.000,3333.333,2500.000,1000.000,1.000
