index,युगः,अब्दः,सौरायनम्,सौरर्तुः,सौरमासः,चान्द्रमासः,स्तृमासः,पर्वः,चान्द्रायनम्,नक्षत्रम्,द्रोण_कुम्भकः,द्युः,आढकः,अंश_भांशम्,कुडव_कुटपः,hours,मुहुर्तम्,नाडिका,पलम्,भागा,कला,minutes,गुर्वाक्षरः,काष्ठा
युगः,"(1, 1)",,,,,,,,,,,,,,,,,,,,,,,
अब्दः,"(5, 1)","(1, 1)",,,,,,,,,,,,,,,,,,,,,,
सौरायनम्,"(10, 1)","(2, 1)","(1, 1)",,,,,,,,,,,,,,,,,,,,,
सौरर्तुः,"(30, 1)","(6, 1)","(3, 1)","(1, 1)",,,,,,,,,,,,,,,,,,,,
सौरमासः,"(61, 1)","(61, 5)","(61, 10)","(2033, 1000)","(1, 1)",,,,,,,,,,,,,,,,,,,
चान्द्रमासः,"(62, 1)","(62, 5)","(31, 5)","(2067, 1000)","(127, 125)","(1, 1)",,,,,,,,,,,,,,,,,,
स्तृमासः,"(67, 1)","(67, 5)","(67, 10)","(2233, 1000)","(549, 500)","(1081, 1000)","(1, 1)",,,,,,,,,,,,,,,,,
पर्वः,"(124, 1)","(124, 5)","(62, 5)","(4133, 1000)","(2033, 1000)","(2, 1)","(1851, 1000)","(1, 1)",,,,,,,,,,,,,,,,
चान्द्रायनम्,"(134, 1)","(134, 5)","(67, 5)","(4467, 1000)","(2197, 1000)","(2161, 1000)","(2, 1)","(1081, 1000)","(1, 1)",,,,,,,,,,,,,,,
नक्षत्रम्,"(135, 1)","(27, 1)","(27, 2)","(9, 2)","(2213, 1000)","(2177, 1000)","(403, 200)","(1089, 1000)","(1007, 1000)","(1, 1)",,,,,,,,,,,,,,
द्रोण_कुम्भकः,"(71114, 125)","(56891, 500)","(56891, 1000)","(4741, 250)","(4663, 500)","(1147, 125)","(8491, 1000)","(1147, 250)","(2123, 500)","(2107, 500)","(1, 1)",,,,,,,,,,,,,
द्युः,"(1830, 1)","(366, 1)","(183, 1)","(61, 1)","(30, 1)","(7379, 250)","(27313, 1000)","(7379, 500)","(13657, 1000)","(3389, 250)","(3217, 1000)","(1, 1)",,,,,,,,,,,,
आढकः,"(284456, 125)","(45513, 100)","(45513, 200)","(15171, 200)","(18653, 500)","(4588, 125)","(6793, 200)","(2294, 125)","(8491, 500)","(16857, 1000)","(4, 1)","(311, 250)","(1, 1)",,,,,,,,,,,
अंश_भांशम्,"(16740, 1)","(3348, 1)","(1674, 1)","(558, 1)","(137213, 500)","(270, 1)","(249851, 1000)","(135, 1)","(4997, 40)","(124, 1)","(1177, 40)","(2287, 250)","(1839, 250)","(1, 1)",,,,,,,,,,
कुडव_कुटपः,"(36410363, 1000)","(7282073, 1000)","(910259, 250)","(1213679, 1000)","(596891, 1000)","(73408, 125)","(271719, 500)","(36704, 125)","(271719, 1000)","(134853, 500)","(64, 1)","(2487, 125)","(16, 1)","(87, 40)","(1, 1)",,,,,,,,,
hours,"(43920, 1)","(8784, 1)","(4392, 1)","(1464, 1)","(720, 1)","(708387, 1000)","(327761, 500)","(177097, 500)","(327761, 1000)","(325333, 1000)","(386, 5)","(24, 1)","(193, 10)","(328, 125)","(603, 500)","(1, 1)",,,,,,,,
मुहुर्तम्,"(54900, 1)","(10980, 1)","(5490, 1)","(1830, 1)","(900, 1)","(221371, 250)","(819403, 1000)","(221371, 500)","(409701, 1000)","(406667, 1000)","(193, 2)","(30, 1)","(193, 8)","(82, 25)","(377, 250)","(5, 4)","(1, 1)",,,,,,,
नाडिका,"(109800, 1)","(21960, 1)","(10980, 1)","(3660, 1)","(1800, 1)","(221371, 125)","(819403, 500)","(221371, 250)","(819403, 1000)","(813333, 1000)","(193, 1)","(60, 1)","(193, 4)","(6559, 1000)","(377, 125)","(5, 2)","(2, 1)","(1, 1)",,,,,,
पलम्,"(113782383, 1000)","(22756477, 1000)","(5689119, 500)","(1896373, 500)","(373057, 200)","(9176, 5)","(339649, 200)","(4588, 5)","(424561, 500)","(105354, 125)","(200, 1)","(7772, 125)","(50, 1)","(6797, 1000)","(25, 8)","(2591, 1000)","(2073, 1000)","(259, 250)","(1, 1)",,,,,
भागा,"(226920, 1)","(45384, 1)","(22692, 1)","(7564, 1)","(3720, 1)","(3660, 1)","(1693433, 500)","(1830, 1)","(1693433, 1000)","(1680889, 1000)","(398867, 1000)","(124, 1)","(99717, 1000)","(3389, 250)","(779, 125)","(5167, 1000)","(4133, 1000)","(2067, 1000)","(997, 500)","(1, 1)",,,,
कला,"(1103490, 1)","(220698, 1)","(110349, 1)","(36783, 1)","(18090, 1)","(8899113, 500)","(16470, 1)","(8899113, 1000)","(8235, 1)","(8174, 1)","(38793, 20)","(603, 1)","(484913, 1000)","(65919, 1000)","(30307, 1000)","(201, 8)","(201, 10)","(201, 20)","(4849, 500)","(4863, 1000)","(1, 1)",,,
minutes,"(2635200, 1)","(527040, 1)","(263520, 1)","(87840, 1)","(43200, 1)","(21251613, 500)","(39331343, 1000)","(21251613, 1000)","(2458209, 125)","(19520, 1)","(4632, 1)","(1440, 1)","(1158, 1)","(157419, 1000)","(579, 8)","(60, 1)","(48, 1)","(24, 1)","(579, 25)","(11613, 1000)","(597, 250)","(1, 1)",,
गुर्वाक्षरः,"(27366552, 1)","(27366552, 5)","(13683276, 5)","(4561092, 5)","(448632, 1)","(441396, 1)","(408456, 1)","(220698, 1)","(204228, 1)","(1013576, 5)","(1202583, 25)","(74772, 5)","(1202583, 100)","(8174, 5)","(375807, 500)","(6231, 10)","(12462, 25)","(6231, 25)","(240517, 1000)","(603, 5)","(124, 5)","(2077, 200)","(1, 1)",
काष्ठा,"(136832760, 1)","(27366552, 1)","(13683276, 1)","(4561092, 1)","(2243160, 1)","(2206980, 1)","(2042280, 1)","(1103490, 1)","(1021140, 1)","(1013576, 1)","(1202583, 5)","(74772, 1)","(1202583, 20)","(8174, 1)","(469759, 125)","(6231, 2)","(12462, 5)","(6231, 5)","(1202583, 1000)","(603, 1)","(124, 1)","(2077, 40)","(5, 1)","(1, 1)"
