year	mm	phase	lon	lat	ra	dec	sz
-1499	01	0.9998390078544617	110.00511629543557	-1.4467629362845134	111.47701749957665	20.919033953298975	0.4879849075569517
-1499	02	0.9950997233390808	130.88431085775625	0.46596099955119585	133.5690956508809	18.262698661070058	0.494580863373288
-1499	03	0.9920061826705933	157.82247109322057	3.3365269515971474	160.84844484921211	11.871582273287022	0.5186103394485994
-1499	04	0.9933333396911621	187.795409404413	4.547860939589181	-171.0393848253378	1.0195479727506696	0.5199900026083704
-1499	05	0.9908827543258667	214.09411939171423	5.117836544474696	-146.46496063110894	-8.300437178948345	0.5395158962078559
-1499	06	0.9909109473228455	241.38676115839064	3.4011925745419407	-120.07913975297706	-17.480094434770468	0.5581849080164304
-1499	07	0.9933229088783264	270.8434652269987	1.9989394382019203	-89.0916779917288	-21.869076691719567	0.5475329032276379
-1499	08	0.9911496639251709	297.64739356776846	-0.6701945287883294	-60.04908306150885	-21.662607213841376	0.5493234930741677
-1499	09	0.9919203519821167	327.9342654365431	-3.0931968251033815	-28.681900518675846	-15.299801686676403	0.5472829759893815
-1499	10	0.9928557872772217	359.33209087992526	-5.2675390387252135	1.5266410664992993	-5.085991016242122	0.5298536008981681
-1499	11	0.9902325868606567	27.254352504454793	-4.74665530822815	26.969932530966364	6.258228605059809	0.5199509671366186
-1499	12	0.9916334748268127	58.0539359391542	-4.049678122665661	56.67072332925704	16.13768656215889	0.5057396632148838
-1498	01	0.9900384545326233	86.52848987419823	-1.893262768813646	86.25933336468677	21.9315583368845	0.48824924641225165
-1498	02	0.9910361766815186	116.81366187730396	0.977369831755554	119.13658163389489	22.12992037803656	0.48893693235966335
-1498	03	0.9905651807785034	146.21055760583457	3.772093225055903	149.89349059018863	16.54264445376285	0.49962031251155065
-1498	04	0.9920864105224609	176.4676879328018	4.978983849338976	178.78971087996993	5.981354608463565	0.4971407276774029
-1498	05	0.9917773008346558	204.15798602155607	4.264426800777217	-156.09512624300498	-5.575455977071386	0.5109919583271726
-1498	06	0.9935713410377502	233.1289631730552	3.5189506016058325	-128.42167873663402	-15.485505083053493	0.525048799072578
-1498	07	0.9916874766349792	259.2777621044016	0.6517271439086437	-101.64068387060624	-22.779145775123936	0.5485501427459053
-1498	08	0.9932912588119507	288.93120963700227	-1.2542987887468324	-69.245819717912	-23.747642191265918	0.5432883117561867
-1498	09	0.9901667833328247	316.3672050185549	-3.98027495607555	-39.79177054070407	-20.001193216911993	0.5549523219043624
-1498	10	0.9925815463066101	348.100927499077	-4.739636397153024	-9.001043742332484	-9.132229707813401	0.5487776358951896
-1498	11	0.9919127821922302	17.69831626162292	-5.2852477399145785	18.320090538896213	2.192923619187638	0.5428750583907404
-1498	12	0.9913363456726074	46.48485117551864	-2.9977784723102374	44.82499896043065	14.195992131544482	0.5339477532346248
-1498	12	0.9929406642913818	77.15269061079125	-1.07215496103752	76.10971199062283	22.170325357731514	0.5151609235579112
-1497	01	0.9928508996963501	107.02772370947058	1.5418498702675552	108.73343408936753	24.292658197194406	0.49700267549947413
-1497	02	0.9914200901985168	136.0567269299398	4.103752922428798	139.9356781018283	20.214858227378564	0.5006447121752033
-1497	03	0.9911177158355713	164.9513715615974	4.979200797657705	168.17571413649145	10.60527225966371	0.4857361848982714
-1497	04	0.9901742339134216	192.33260989000095	4.045059911033604	-167.0895003647369	-1.2439839090703944	0.4888808528825266
-1497	05	0.9909016489982605	220.49034291471642	2.994132623645126	-141.04135407653234	-12.394204667672575	0.5030508433063706
-1497	06	0.9932366609573364	249.9584153427042	0.6030265863493158	-111.6504339874036	-21.747711178190997	0.5054318448762984
-1497	07	0.9913570284843445	277.38558717103325	-2.630869015698807	-81.76569937410078	-26.286847540498115	0.5346454472957574
-1497	08	0.9914806485176086	306.793816634052	-3.9079671220236865	-49.636335518863426	-22.6828227468542	0.5338248487845881
-1497	09	0.9912475347518921	336.82303278538814	-5.58583304281052	-19.211006660340882	-14.330909598607361	0.561356913211548
-1497	10	0.9909072518348694	5.747458498341437	-4.320937402869999	6.99923958194509	-1.6324843808380363	0.5515452384673327
-1497	11	0.9928620457649231	36.63101952139181	-3.1140833095032576	35.27340136015629	11.035447705807433	0.5561859696834054
-1497	12	0.9922537803649902	65.84288206874571	-0.012945293109947381	63.875816891653585	21.65550894929516	0.5425035170167837
-1496	01	0.9903953075408936	94.45374597986938	2.0045101876225018	94.94487047558644	25.797215371801048	0.5254081283811219
-1496	02	0.9921870827674866	125.75035224338231	3.9563000183348325	129.2864642323951	22.99988744030633	0.5119827558024838
-1496	03	0.9914846420288086	154.53740331592357	5.142669677265983	158.4407201272557	14.788092726418332	0.5024470394561148
-1496	04	0.9928128719329834	183.4189372474853	3.8119805781654237	-175.33251754221416	2.104157341911057	0.4861276572562233
-1496	05	0.9919235110282898	210.35790507851905	2.1385886175030193	-151.05204059075572	-9.802508789508831	0.49673897485547464
-1496	06	0.9923037886619568	238.6064483119224	-0.011913069738849095	-123.71919991411514	-20.219623620666734	0.4860887186961198
-1496	07	0.990554928779602	266.36439064872656	-2.8652548766677097	-94.06454358076004	-26.68347812960538	0.4993728112832223
-1496	08	0.9908066391944885	296.01153948295484	-4.893333946110372	-60.87729370219953	-26.126688273364348	0.5146744357927205
-1496	09	0.9930566549301147	327.167323413444	-4.9671210674519495	-28.7321541413615	-17.323134606029388	0.5211691916559498
-1496	10	0.9916678071022034	355.5108908008685	-4.49904095786476	-2.282352606806131	-5.9297131775684075	0.5525039417592674
