gname,nid,nnid,tag,sname,hip,naks,enaks,daivata,raJ2000,decJ2000,lonJ2000,latJ2000,hr_daynum_kuru,hr_jd_kuru,hr_utc_kuru,hr_az_kuru,hr_alt_kuru
α Leo,N10-Mag,10,other,Regulus,HIP 49669,मघा,Maghā,Pitṛ,152.09,11.97,149.83,0.46,242,2460187.52,2023-08-31 00:32:42.325,80.39,7.21
γ Leo,N10-Mag,10,other,Algieba,HIP 50583,मघा,Maghā,Pitṛ,154.99,19.84,149.61,8.81,241,2460186.52,2023-08-30 00:31:59.038,71.54,7.41
ε Leo,N10-Mag,10,other,Algenubi,HIP 47908,मघा,Maghā,Pitṛ,146.46,23.77,140.71,9.71,231,2460176.52,2023-08-20 00:26:56.032,66.88,7.12
η Leo,N10-Mag,10,other,Al Jabah,HIP 49583,मघा,Maghā,Pitṛ,151.83,16.76,147.91,4.87,240,2460185.52,2023-08-29 00:31:37.395,75.21,7.74
μ Leo,N10-Mag,10,other,Rasalas,HIP 48455,मघा,Maghā,Pitṛ,148.19,26.01,141.43,12.35,232,2460177.52,2023-08-21 00:27:39.319,64.65,7.72
δ Leo,N11-PPal,11,rep,Zosma,HIP 54872,पूर्वफल्गुनी,P Phalgunī,Bhaga,168.53,20.52,161.32,14.33,253,2460198.53,2023-09-11 00:38:06.974,70.87,7.59
θ Leo,N11-PPal,11,other,Chertan,HIP 54879,पूर्वफल्गुनी,P Phalgunī,Bhaga,168.56,15.43,163.42,9.67,255,2460200.53,2023-09-13 00:38:50.261,76.36,7.00
β Leo,N12-UPal,12,rep,Denebola,HIP 57632,उत्तरफल्गुनी,U Phalgunī,Aryaman,177.26,14.57,171.62,12.27,264,2460209.53,2023-09-22 00:43:31.623,77.74,7.76
* 93 Leo,N12-UPal,12,other,93Leo,HIP 57565,उत्तरफल्गुनी,U Phalgunī,Aryaman,177.00,20.22,168.97,17.31,261,2460206.53,2023-09-19 00:42:05.050,71.32,7.79
δ Crv,N13-Has,13,rep,Algorab,HIP 60965,हस्त,Hasta,Savitṛ,187.47,-16.52,193.45,-12.20,289,2460234.54,2023-10-17 00:57:14.068,113.83,7.79
α Crv,N13-Has,13,other,Alchiba,HIP 59199,हस्त,Hasta,Savitṛ,182.10,-24.73,192.24,-21.75,289,2460234.54,2023-10-17 00:57:14.068,123.52,7.27
β Crv,N13-Has,13,other,Kraz,HIP 61359,हस्त,Hasta,Savitṛ,188.60,-23.40,197.36,-18.04,294,2460239.54,2023-10-22 01:00:07.214,121.97,7.42
γ Crv,N13-Has,13,other,Gienah,HIP 59803,हस्त,Hasta,Savitṛ,183.95,-17.54,190.72,-14.50,286,2460231.54,2023-10-14 00:55:25.852,114.75,7.32
ε Crv,N13-Has,13,other,Minkar,HIP 59316,हस्त,Hasta,Savitṛ,182.53,-22.62,191.66,-19.67,288,2460233.54,2023-10-16 00:56:30.782,120.93,7.31
α Vir,N14-Chi,14,rep,Spica,HIP 65474,चित्रा,Citrā,Tvaṣṭṛ,201.30,-11.16,203.84,-2.05,298,2460243.54,2023-10-26 01:03:00.361,107.41,7.76
