jd	date	year	event	sun_lon	obj_lon
1539002.8888773147	-499-07-22	-499	morning_last_visibility	112.15	103.83
1539080.8055439813	-499-10-09	-499	evening_first_visibility	190.63	203.2
1539321.833321759	-498-06-06	-498	evening_last_visibility	68.48	77.82
1539337.833321759	-498-06-22	-498	morning_first_visibility	83.13	68.88
1539573.8610995368	-497-02-14	-497	morning_last_visibility	319.6	306.52
1539655.7777662035	-497-05-05	-497	evening_first_visibility	37.77	45.78
1539911.8055439813	-496-01-17	-496	evening_last_visibility	291.82	297.62
1539917.8055439813	-496-01-23	-496	morning_first_visibility	297.38	294.17
1540170.5555439813	-496-10-03	-496	morning_last_visibility	184.33	176.65
1540244.1666550925	-496-12-16	-496	evening_first_visibility	260.12	270.4
1540480.1944328703	-495-08-08	-495	evening_last_visibility	129.23	149.8
1540501.1944328703	-495-08-29	-495	morning_first_visibility	149.22	139.17
1540734.222210648	-494-04-18	-494	morning_last_visibility	21.22	6.12
1540823.1388773147	-494-07-16	-494	evening_first_visibility	106.75	116.18
1541079.1666550925	-493-03-28	-493	evening_last_visibility	1.28	8.07
1541086.472210648	-493-04-05	-493	morning_first_visibility	8.48	3.4
1541339.9166550925	-493-12-16	-493	morning_last_visibility	258.9	250.32
1541408.1110995368	-492-02-22	-492	evening_first_visibility	327.78	335.87
1541651.5555439813	-492-10-23	-492	evening_last_visibility	205.1	223.5
1541668.8610995368	-492-11-10	-492	morning_first_visibility	222.9	214.12
1541921.8888773147	-491-07-19	-491	morning_last_visibility	109.3	100.78
1541999.8055439813	-491-10-06	-491	evening_first_visibility	187.67	200.12
1542241.833321759	-490-06-04	-490	evening_last_visibility	66.63	75.5
1542257.833321759	-490-06-20	-490	morning_first_visibility	81.28	66.6
1542494.8610995368	-489-02-13	-489	morning_last_visibility	318.67	305.95
1542575.7777662035	-489-05-03	-489	evening_first_visibility	35.92	44.0
1542831.8055439813	-488-01-15	-488	evening_last_visibility	289.85	294.97
1542837.8055439813	-488-01-21	-488	morning_first_visibility	295.43	291.53
1543089.2499884258	-488-09-30	-488	morning_last_visibility	181.38	173.55
1543164.1666550925	-488-12-14	-488	evening_first_visibility	258.13	268.55
1543400.1944328703	-487-08-06	-487	evening_last_visibility	127.35	147.4
1543421.1944328703	-487-08-27	-487	morning_first_visibility	147.32	136.65
1543653.222210648	-486-04-15	-486	morning_last_visibility	18.4	3.12
1543742.1388773147	-486-07-13	-486	evening_first_visibility	103.93	113.17
1543999.1666550925	-485-03-26	-485	evening_last_visibility	359.42	5.72
1544006.472210648	-485-04-03	-485	morning_first_visibility	6.62	1.03
1544258.9166550925	-485-12-13	-485	morning_last_visibility	255.9	247.23
1544328.1110995368	-484-02-20	-484	evening_first_visibility	325.88	334.07
1544570.5555439813	-484-10-20	-484	evening_last_visibility	202.12	221.18
1544587.8610995368	-484-11-07	-484	morning_first_visibility	219.92	211.92
1544841.8888773147	-483-07-17	-483	morning_last_visibility	107.45	99.0
1544918.8055439813	-483-10-03	-483	evening_first_visibility	184.72	197.03
1545161.833321759	-482-06-02	-482	evening_last_visibility	64.8	73.17
1545176.833321759	-482-06-17	-482	morning_first_visibility	78.5	64.77
1545414.8610995368	-481-02-11	-481	morning_last_visibility	316.73	304.13
