xm,yr,dt,jd,slon,mlon,smgap
0,-2500,-2500-09-26,808201.5911790336,163.17,155.85,-7.32
1,-2500,-2500-10-11,808216.3561781895,178.17,358,179.83
0,-2500,-2500-10-26,808231.2931505122,193.4,187.82,-5.59
1,-2500,-2500-11-09,808246.0581496642,208.5,28.51,-179.99
1,-2500,-2500-12-09,808276.016528438,239.07,60.57,-178.51
0,-2500,-2500-12-24,808290.7815292809,254.05,256.14,2.1
1,-2499,-2499-09-30,808571.2581075712,167.66,355.88,-171.77
0,-2499,-2499-10-15,808586.023108415,182.67,179.65,-3.02
1,-2499,-2499-10-30,808601.0819296725,198.05,28.77,-169.28
0,-2499,-2499-11-14,808615.8469305201,213.15,213.67,0.52
1,-2499,-2499-11-29,808630.8345100975,228.45,58.47,-169.98
0,-2499,-2499-12-14,808645.5995109404,243.48,248.58,5.1
0,-2498,-2498-10-05,808940.665530141,171.89,175.22,3.33
1,-2498,-2498-10-20,808955.4305292973,186.93,16.54,-170.39
0,-2498,-2498-11-03,808970.0773941872,201.89,200.27,-1.62
1,-2498,-2498-11-18,808984.8423933397,216.99,45,-171.99
0,-2498,-2498-12-02,808999.2602391993,231.7,224.85,-6.85
1,-2498,-2498-12-17,809014.0252383567,246.71,69.93,-176.79
1,-2497,-2497-10-08,809308.9377005497,174.97,350.46,175.5
0,-2497,-2497-10-23,809323.7027013932,190.02,184.72,-5.3
1,-2497,-2497-11-07,809338.46766001,205.11,20.2,175.09
0,-2497,-2497-11-21,809353.2326608573,220.2,211.24,-8.96
1,-2497,-2497-12-06,809367.9616596757,235.22,52.21,176.99
0,-2497,-2497-12-21,809382.7266605181,250.22,238.64,-11.58
1,-2496,-2496-09-26,809663.2231555599,163.85,334.22,170.37
0,-2496,-2496-10-11,809677.9881564031,178.84,175.93,-2.92
1,-2496,-2496-10-26,809693.1580279111,194.32,11.29,176.97
0,-2496,-2496-11-10,809707.9230287581,209.42,208.09,-1.32
1,-2496,-2496-11-25,809722.9776048847,224.8,47.35,-177.45
0,-2496,-2496-12-10,809737.7426057267,239.84,239.3,-0.54
0,-2495,-2495-10-01,810033.0339866695,168.48,175.91,7.43
1,-2495,-2495-10-16,810047.7989858263,183.5,1.23,177.73
0,-2495,-2495-10-31,810063.0031935927,199.03,209.6,10.57
1,-2495,-2495-11-15,810077.7681927456,214.12,37.8,-176.33
0,-2495,-2495-11-30,810092.7078727009,229.38,240.1,10.72
1,-2495,-2495-12-15,810107.4728718587,244.41,71.17,-173.24
1,-2494,-2494-10-06,810402.3315089832,172.6,352.8,-179.8
0,-2494,-2494-10-20,810417.0965098261,187.63,196.66,9.02
1,-2494,-2494-11-04,810431.6314511485,202.49,17.9,175.41
0,-2494,-2494-11-19,810446.3964519952,217.58,223.64,6.05
1,-2494,-2494-12-03,810460.9913679856,232.48,46.18,173.7
0,-2494,-2494-12-18,810475.7563688275,247.49,249.36,1.87
0,-2493,-2493-10-09,810770.7673456128,175.85,173.79,-2.06
1,-2493,-2493-10-24,810785.5323447702,190.9,3.65,172.74
0,-2493,-2493-11-07,810800.1152435167,205.8,201.42,-4.38
1,-2493,-2493-11-22,810814.8802426703,220.9,29.95,169.05
0,-2493,-2493-12-07,810829.9375355383,236.25,235.85,-0.4
1,-2493,-2493-12-22,810844.7025346968,251.24,60.76,169.52
0,-2492,-2492-09-27,811125.13135494,164.8,158.03,-6.77
1,-2492,-2492-10-12,811139.8963540975,179.8,358.18,178.38
0,-2492,-2492-10-27,811154.8762116209,195.09,192.62,-2.47
1,-2492,-2492-11-11,811169.6412107745,210.18,26.62,176.43
0,-2492,-2492-11-26,811184.8468092926,225.72,230.59,4.87
1,-2492,-2492-12-11,811199.6118084511,240.76,58.77,178.01
1,-2491,-2491-10-02,811494.977372145,169.46,359.61,-169.85
0,-2491,-2491-10-17,811509.7423729873,184.49,186.1,1.61
1,-2491,-2491-11-01,811524.7455466994,199.81,28.93,-170.88
0,-2491,-2491-11-16,811539.5105475454,214.91,220.88,5.97
1,-2491,-2491-12-01,811554.3987791134,230.11,57.26,-172.85
0,-2491,-2491-12-15,811569.1637799548,245.13,252.33,7.2
0,-2490,-2490-10-06,811863.9999885663,173.3,171.78,-1.52
1,-2490,-2490-10-21,811878.7649877241,188.35,16.28,-172.06
0,-2490,-2490-11-05,811893.359553907,203.26,199.43,-3.84
1,-2490,-2490-11-19,811908.124553061,218.35,43.23,-175.12
0,-2490,-2490-12-04,811922.5245595335,233.05,224.29,-8.77
1,-2490,-2490-12-19,811937.2895586923,248.06,65.74,177.69
1,-2489,-2489-10-10,812232.48554459,176.6,354.11,177.51
0,-2489,-2489-10-24,812247.250545432,191.65,183.5,-8.15
1,-2489,-2489-11-08,812262.0932313633,206.82,27.17,-179.66
0,-2489,-2489-11-23,812276.8582322092,221.92,211.76,-10.15
1,-2489,-2489-12-08,812291.6429440189,237,55.69,178.69
0,-2489,-2489-12-23,812306.4079447788,251.98,241.64,-10.34
1,-2488,-2488-09-28,812586.7516487495,165.45,338.15,172.7
0,-2488,-2488-10-13,812601.5166495912,180.45,176.24,-4.22
1,-2488,-2488-10-28,812616.7565770817,196.01,16.37,-179.63
0,-2488,-2488-11-12,812631.5215779274,211.1,208.78,-2.32
1,-2488,-2488-11-27,812646.6026111692,226.51,51.53,-174.98
0,-2488,-2488-12-12,812661.3676120099,241.55,239.68,-1.87
0,-2487,-2487-10-03,812956.7073937925,170.22,178.87,8.65
1,-2487,-2487-10-18,812971.4723929509,185.25,5.99,-179.26
0,-2487,-2487-11-02,812986.6087889003,200.72,210.72,10
1,-2487,-2487-11-17,813001.3737880549,215.81,43.45,-172.36
0,-2487,-2487-12-01,813016.2270383623,230.98,237.6,6.63
1,-2487,-2487-12-16,813030.9920375217,245.99,77.29,-168.7
1,-2486,-2486-10-07,813325.683168218,174.02,351.13,177.11
0,-2486,-2486-10-22,813340.4481690594,189.06,196.65,7.59
1,-2486,-2486-11-05,813354.9107881656,203.84,17.55,173.71
0,-2486,-2486-11-20,813369.6757890108,218.94,220.72,1.78
1,-2486,-2486-12-05,813384.3103615412,233.87,45.3,171.43
0,-2486,-2486-12-19,813399.0753623818,248.87,245.18,-3.68
1,-2485,-2485-09-26,813679.562262316,162.49,335.67,173.18
0,-2485,-2485-10-11,813694.327262601,177.48,178.49,1.01
0,-2485,-2485-11-09,813723.7174117983,207.49,206.71,-0.78
1,-2485,-2485-11-24,813738.4824082834,222.58,29.83,167.25
0,-2485,-2485-12-09,813753.5680570079,237.96,240.3,2.34
1,-2485,-2485-12-24,813768.3330561677,252.93,64.07,171.14
0,-2484,-2484-09-29,814048.698821119,166.43,164.12,-2.31
1,-2484,-2484-10-14,814063.4638202781,181.44,356.04,174.6
0,-2484,-2484-10-29,814078.5031829546,196.79,200.01,3.22
1,-2484,-2484-11-12,814093.2681821097,211.89,27.32,175.43
0,-2484,-2484-11-28,814108.48916133,227.44,236.9,9.46
1,-2484,-2484-12-12,814123.2541604901,242.47,61.05,178.58
1,-2483,-2483-10-04,814418.6321152144,171.19,359.05,-172.14
0,-2483,-2483-10-19,814433.3971160551,186.22,192.62,6.4
1,-2483,-2483-11-03,814448.3187955976,201.47,28.47,-173
0,-2483,-2483-11-17,814463.0837964423,216.56,224.87,8.31
1,-2483,-2483-12-02,814477.8544694951,231.64,55.75,-175.89
0,-2483,-2483-12-17,814492.619470335,246.66,257.25,10.59
0,-2482,-2482-10-08,814787.3495187305,174.72,172.3,-2.43
1,-2482,-2482-10-22,814802.11451789,189.77,15.32,-174.45
0,-2482,-2482-11-06,814816.6989559978,204.68,199.83,-4.85
1,-2482,-2482-11-21,814831.4639551534,219.77,39.11,179.34
0,-2482,-2482-12-05,814845.9207529607,234.52,224.75,-9.77
1,-2482,-2482-12-20,814860.685752121,249.52,62.69,173.17
0,-2481,-2481-09-26,815141.2368487085,163.2,155.41,-7.79
1,-2481,-2481-10-11,815156.0018478681,178.19,359.09,-179.1
0,-2481,-2481-10-26,815170.9012868609,193.39,184.7,-8.69
1,-2481,-2481-11-10,815185.6662860166,208.49,28.69,-179.8
1,-2481,-2481-12-09,815215.2850084342,238.72,58.64,179.92
0,-2481,-2481-12-24,815230.0500092737,253.69,244.41,-9.27
1,-2480,-2480-09-30,815510.3467674707,167.13,343.75,176.63
0,-2480,-2480-10-14,815525.1117683108,182.14,174.47,-7.67
1,-2480,-2480-10-30,815540.4002008116,197.75,22.09,-175.66
0,-2480,-2480-11-13,815555.1652016556,212.84,208.35,-4.49
1,-2480,-2480-11-28,815570.2641150057,228.26,57.26,-171
0,-2480,-2480-12-13,815585.0291158449,243.29,240.82,-2.47
0,-2479,-2479-10-05,815880.3197235552,171.93,178.4,6.47
1,-2479,-2479-10-19,815895.0847227152,186.96,13.58,-173.38
0,-2479,-2479-11-03,815910.0918974491,202.29,207.33,5.04
1,-2479,-2479-11-18,815924.8568966052,217.39,47.73,-169.66
0,-2479,-2479-12-03,815939.5982060591,232.44,235.79,3.35
1,-2479,-2479-12-18,815954.36320522,247.45,77.57,-169.88
1,-2478,-2478-10-08,816249.120420648,175.54,353.63,178.09
0,-2478,-2478-10-23,816263.885421488,190.59,194.16,3.57
1,-2478,-2478-11-07,816278.3205621856,205.35,18.51,173.16
0,-2478,-2478-11-21,816293.0855630294,220.44,217,-3.44
1,-2478,-2478-12-06,816307.771098265,235.42,48.82,173.39
0,-2478,-2478-12-21,816322.536099104,250.42,244.5,-5.92
1,-2477,-2477-09-27,816603.0619691577,164.07,336.45,172.38
0,-2477,-2477-10-12,816617.8269699973,179.07,180.2,1.13
1,-2477,-2477-10-27,816632.5214992095,194.06,2.7,168.64
0,-2477,-2477-11-11,816647.2864976715,209.16,208.06,-1.09
1,-2477,-2477-11-26,816662.3939682785,224.6,37.66,173.06
0,-2477,-2477-12-10,816677.1589684761,239.64,239.48,-0.16
0,-2476,-2476-10-01,816972.320189994,168.14,169.83,1.69
1,-2476,-2476-10-15,816987.0851891545,183.15,357.44,174.29
0,-2476,-2476-10-30,817002.1883914368,198.58,204.31,5.73
1,-2476,-2476-11-14,817016.9533905934,213.67,29.96,176.29
0,-2476,-2476-11-29,817032.1829227859,229.23,239.46,10.23
1,-2476,-2476-12-14,817046.9479219472,244.25,65.62,-178.63
1,-2475,-2475-10-05,817342.1773635793,172.82,358.92,-173.9
0,-2475,-2475-10-20,817356.9423644184,187.86,196.57,8.71
1,-2475,-2475-11-04,817371.7657462899,203.01,26.19,-176.82
0,-2475,-2475-11-19,817386.530747133,218.1,229.42,11.32
1,-2475,-2475-12-03,817401.1859543326,233.06,53.18,-179.88
0,-2475,-2475-12-18,817415.950955171,248.06,256.05,7.98
0,-2474,-2474-10-09,817710.7984636537,176.26,174.19,-2.07
1,-2474,-2474-10-24,817725.5634628145,191.31,12.09,-179.23
0,-2474,-2474-11-07,817740.1455942562,206.21,202.04,-4.17
1,-2474,-2474-11-22,817754.9105934134,221.31,38.1,176.79
0,-2474,-2474-12-07,817769.4416481582,236.13,230.95,-5.18
1,-2474,-2474-12-21,817784.2066473201,251.12,62.01,170.89
0,-2473,-2473-09-28,818064.6983809298,164.74,155.31,-9.43
1,-2473,-2473-10-13,818079.4633800532,179.74,358.46,178.72
0,-2473,-2473-10-28,818094.4198119608,195,187.77,-7.23
1,-2473,-2473-11-11,818109.1848111181,210.1,29.95,179.86
0,-2473,-2473-11-26,818124.1036046928,225.34,218.86,-6.48
1,-2473,-2473-12-11,818138.8686038549,240.38,58.89,178.51
1,-2472,-2472-10-01,818434.0303833737,168.88,351.35,-177.54
0,-2472,-2472-10-16,818448.7953842123,183.91,176.4,-7.51
1,-2472,-2472-10-31,818464.1081562019,199.54,28.3,-171.25
0,-2472,-2472-11-15,818478.8731570444,214.64,211.93,-2.71
1,-2472,-2472-11-30,818493.937280503,230.02,60.14,-169.88
0,-2472,-2472-12-15,818508.7022813407,245.04,246.84,1.79
0,-2471,-2471-10-06,818803.8325785882,173.51,176.71,3.2
1,-2471,-2471-10-21,818818.5975777498,188.56,16.3,-172.26
0,-2471,-2471-11-05,818833.4881082347,203.77,206.42,2.64
1,-2471,-2471-11-19,818848.2531073922,218.87,49.27,-169.6
0,-2471,-2471-12-04,818862.8781908631,233.79,231.58,-2.21
1,-2471,-2471-12-19,818877.6431900254,248.8,75.53,-173.27
1,-2470,-2470-10-10,819172.6131549085,177.11,356.09,178.98
0,-2470,-2470-10-25,819187.3781557468,192.17,193.25,1.08
1,-2470,-2470-11-08,819201.8574121016,206.97,23.96,176.99
0,-2470,-2470-11-23,819216.6224129437,222.06,217,-5.06
1,-2470,-2470-12-08,819231.3586670074,237.09,54.04,176.95
0,-2470,-2470-12-22,819246.1236678449,252.07,242.57,-9.5
1,-2469,-2469-09-29,819526.4787812199,165.56,334.9,169.34
0,-2469,-2469-10-13,819541.2437820473,180.56,179.49,-1.07
1,-2469,-2469-10-28,819556.0404232349,195.66,6.79,171.13
0,-2469,-2469-11-12,819570.8054240769,210.76,207.43,-3.33
1,-2469,-2469-11-27,819585.9801282436,226.26,43.95,177.69
0,-2469,-2469-12-12,819600.7451290808,241.3,239.67,-1.62
0,-2468,-2468-10-02,819896.008378299,169.9,174.26,4.36
1,-2468,-2468-10-17,819910.7733774611,184.93,359.16,174.23
0,-2468,-2468-11-01,819925.8835865714,200.36,208.04,7.68
1,-2468,-2468-11-16,819940.6485857297,215.46,32.89,177.43
0,-2468,-2468-12-01,819955.8721383066,231,241.58,10.58
1,-2468,-2468-12-16,819970.6371374696,246.02,70.34,-175.68
1,-2467,-2467-10-07,820265.6626388212,174.38,356.3,-178.09
0,-2467,-2467-10-22,820280.4276396588,189.43,200.59,11.16
1,-2467,-2467-11-05,820295.1259691573,204.45,24.67,-179.78
0,-2467,-2467-11-20,820309.890969999,219.54,228.3,8.76
1,-2467,-2467-12-05,820324.4555784353,234.4,49.44,175.03
0,-2467,-2467-12-19,820339.2205792723,249.4,254.11,4.71
1,-2466,-2466-09-26,820619.5780021861,162.89,343.83,-179.06
0,-2466,-2466-10-11,820634.343001222,177.88,179.4,1.52
0,-2466,-2466-11-09,820663.6774021047,207.83,208,0.16
1,-2466,-2466-11-24,820678.442399667,222.93,35.76,172.83
0,-2466,-2466-12-08,820693.01675011,237.78,234.53,-3.25
1,-2466,-2466-12-23,820707.7817492733,252.77,61.64,168.88
0,-2465,-2465-09-29,820988.1259295868,166.23,155.21,-11.02
1,-2465,-2465-10-14,821002.8909287564,181.24,358.27,177.03
0,-2465,-2465-10-29,821017.9438016927,196.6,190.09,-6.51
1,-2465,-2465-11-13,821032.7088008513,211.71,28.13,176.42
0,-2465,-2465-11-28,821047.6869099713,227.01,225.71,-1.3
1,-2465,-2465-12-13,821062.4519091346,242.05,57.23,175.19
1,-2464,-2464-10-03,821357.7478726179,170.68,355.09,-175.59
0,-2464,-2464-10-18,821372.512873455,185.71,181.14,-4.57
1,-2464,-2464-11-02,821387.8235180982,201.34,30.38,-170.96
0,-2464,-2464-11-17,821402.5885189393,216.44,219.06,2.62
1,-2464,-2464-12-02,821417.5780002445,231.75,59.49,-172.25
0,-2464,-2464-12-17,821432.3430010808,246.76,252.63,5.87
0,-2463,-2463-10-07,821727.2810508531,175.04,175.44,0.4
1,-2463,-2463-10-22,821742.0460500162,190.08,19.78,-170.3
0,-2463,-2463-11-06,821756.8446122818,205.21,203.96,-1.25
1,-2463,-2463-11-21,821771.6096114409,220.31,47.42,-172.89
0,-2463,-2463-12-05,821786.1835533805,235.17,230.24,-4.93
1,-2463,-2463-12-20,821800.9485525442,250.17,74.39,-175.78
0,-2462,-2462-09-27,822081.3599407423,163.71,164.86,1.15
1,-2462,-2462-10-11,822096.1249399055,178.7,2.17,-176.53
0,-2462,-2462-10-26,822110.6360561544,193.51,189,-4.5
1,-2462,-2462-11-10,822125.4010553136,208.6,27.88,179.28
1,-2462,-2462-12-09,822154.9717069432,238.78,59.88,-178.9
0,-2462,-2462-12-24,822169.7367077792,253.76,244.35,-9.4
1,-2461,-2461-09-30,822449.9152287908,167.07,338.35,171.28
0,-2461,-2461-10-15,822464.6802296273,182.08,178.33,-3.75
1,-2461,-2461-10-30,822479.5662259819,197.28,9.56,172.29
0,-2461,-2461-11-14,822494.3312268223,212.37,206.45,-5.93
1,-2461,-2461-11-29,822509.5845694534,227.96,48.21,-179.75
0,-2461,-2461-12-14,822524.3495702891,242.99,239.3,-3.68
0,-2460,-2460-10-04,822819.7168583326,171.7,178.83,7.13
1,-2460,-2460-10-19,822834.4818574963,186.73,3.32,176.59
0,-2460,-2460-11-03,822849.5431765455,202.12,210.27,8.15
1,-2460,-2460-11-18,822864.3081757053,217.21,39.28,-177.93
0,-2460,-2460-12-03,822879.452682521,232.67,241.64,8.96
1,-2460,-2460-12-17,822894.2176816853,247.68,77.21,-170.47
1,-2459,-2459-10-08,823189.1414630638,175.94,356.99,-178.96
0,-2459,-2459-10-23,823203.9064638999,191,200.82,9.82
1,-2459,-2459-11-07,823218.5201432402,205.93,22.72,176.79
0,-2459,-2459-11-21,823233.2851440803,221.03,227.35,6.32
1,-2459,-2459-12-06,823247.770227848,235.8,49.52,173.72
0,-2459,-2459-12-21,823262.5352286835,250.8,252.42,1.62
1,-2458,-2458-09-27,823543.0878844684,164.48,343.59,179.11
0,-2458,-2458-10-12,823557.8528853043,179.48,183,3.52
1,-2458,-2458-10-27,823572.4482697863,194.37,7.53,173.16
0,-2458,-2458-11-10,823587.2132706263,209.46,210.83,1.37
1,-2458,-2458-11-25,823601.8199491879,224.39,34.38,169.99
0,-2458,-2458-12-10,823616.58494995,239.44,239.43,-0.01
0,-2457,-2457-10-01,823911.5774151146,167.77,159.22,-8.56
1,-2457,-2457-10-16,823926.3424142789,182.79,355.33,172.54
0,-2457,-2457-10-31,823941.5204485687,198.28,197.04,-1.24
1,-2457,-2457-11-14,823956.285447729,213.38,27.61,174.23
0,-2457,-2457-11-30,823971.3321515571,228.75,231.65,2.9
1,-2457,-2457-12-14,823986.0971507219,243.77,59.17,175.4
1,-2456,-2456-10-05,824281.4343710049,172.46,356.86,-175.6
0,-2456,-2456-10-19,824296.1993718403,187.49,185.55,-1.94
1,-2456,-2456-11-04,824311.457589764,203.08,30.04,-173.04
0,-2456,-2456-11-18,824326.2225906035,218.18,224.11,5.93
1,-2456,-2456-12-03,824341.1281703883,233.39,59.91,-173.47
0,-2456,-2456-12-18,824355.8931712231,248.39,257.27,8.88
0,-2455,-2455-10-09,824650.7576844771,176.61,175.9,-0.7
1,-2455,-2455-10-24,824665.5226815972,191.66,18.72,-172.94
0,-2455,-2455-11-07,824680.2340170607,206.7,204.47,-2.23
1,-2455,-2455-11-22,824694.9990162213,221.79,47.16,-174.63
0,-2455,-2455-12-07,824709.5820498741,236.66,233.19,-3.48
1,-2455,-2455-12-22,824724.3470490394,251.65,71.17,179.52
0,-2454,-2454-09-28,825004.8267136578,165.25,162.45,-2.8
1,-2454,-2454-10-13,825019.5917128226,180.26,3.81,-176.45
0,-2454,-2454-10-27,825034.1102403959,195.07,186.7,-8.37
1,-2454,-2454-11-11,825048.8752395565,210.17,31.14,-179.03
0,-2454,-2454-11-26,825063.7485146733,225.37,217.09,-8.27
1,-2454,-2454-12-11,825078.5135138388,240.41,60.21,179.79
1,-2453,-2453-10-02,825373.4435909472,168.68,341.57,172.89
0,-2453,-2453-10-16,825388.2085917823,183.69,176.39,-7.3
1,-2453,-2453-10-31,825403.1730069622,198.97,16.97,178
0,-2453,-2453-11-15,825417.9380078012,214.07,205.32,-8.75
1,-2453,-2453-11-30,825433.2417564748,229.7,55.17,-174.53
0,-2453,-2453-12-15,825448.0067573092,244.73,239.48,-5.24
0,-2452,-2452-10-06,825743.3747560171,173.43,179.77,6.33
1,-2452,-2452-10-20,825758.1397551823,188.47,11.01,-177.46
0,-2452,-2452-11-04,825773.1311930562,203.79,208.3,4.51
1,-2452,-2452-11-19,825787.8961922174,218.88,45.42,-173.46
0,-2452,-2452-12-04,825802.9171312486,234.21,238.46,4.24
1,-2452,-2452-12-19,825817.6821304144,249.22,79.26,-169.96
0,-2451,-2451-09-25,826097.8923381421,162.55,173.1,10.55
1,-2451,-2451-10-10,826112.6573373076,177.54,357.76,-179.78
1,-2451,-2451-11-08,826141.9986764982,207.49,26.72,179.23
0,-2451,-2451-11-23,826156.7636773369,222.58,226.3,3.71
1,-2451,-2451-12-07,826171.2269973949,237.33,52.76,175.43
0,-2451,-2451-12-22,826185.991998229,252.31,248.79,-3.52
1,-2450,-2450-09-29,826466.4772831857,165.94,339.82,173.88
0,-2450,-2450-10-13,826481.2422840201,180.94,184.21,3.27
1,-2450,-2450-10-28,826495.8938124873,195.89,7.76,171.87
0,-2450,-2450-11-12,826510.6588133256,210.99,212.61,1.62
1,-2450,-2450-11-27,826525.3504697753,226,34.91,168.91
0,-2450,-2450-12-11,826540.115470609,241.04,238.68,-2.35
0,-2449,-2449-10-02,826835.1275682594,169.39,163.01,-6.37
1,-2449,-2449-10-17,826849.8925674252,184.41,355.02,170.61
0,-2449,-2449-11-01,826865.1639881431,200,201.56,1.55
1,-2449,-2449-11-16,826879.9289873048,215.1,28.85,173.75
0,-2449,-2449-12-01,826895.032572117,230.52,236.06,5.53
1,-2449,-2449-12-16,826909.7975712834,245.55,61.23,175.69
1,-2448,-2448-10-06,827205.0643316725,174.16,358.17,-175.98
0,-2448,-2448-10-21,827219.8293325064,189.2,191.89,2.69
1,-2448,-2448-11-05,827234.9934768698,204.69,29.96,-174.74
0,-2448,-2448-11-20,827249.7584777079,219.79,229.62,9.83
1,-2448,-2448-12-05,827264.554885213,234.89,56.26,-178.63
0,-2448,-2448-12-20,827279.3198860465,249.88,259.97,10.08
1,-2447,-2447-09-26,827559.5450488976,163.24,350.96,-172.28
0,-2447,-2447-10-11,827574.3100468551,178.23,179.06,0.84
0,-2447,-2447-11-09,827603.7238577938,208.26,208.53,0.27
1,-2447,-2447-11-24,827618.4888566787,223.36,44.22,-179.14
0,-2447,-2447-12-08,827633.0573778814,238.2,235.45,-2.75
1,-2447,-2447-12-23,827647.8223770481,253.19,69.67,176.49
0,-2446,-2446-09-29,827928.18700767,166.68,160.11,-6.57
1,-2446,-2446-10-14,827942.9520068364,181.69,5.12,-176.57
0,-2446,-2446-10-29,827957.5322078397,196.57,187.61,-8.96
1,-2446,-2446-11-13,827972.297207002,211.67,30.58,178.91
0,-2446,-2446-11-27,827987.2364540561,226.93,218.72,-8.21
1,-2446,-2446-12-12,828002.0014532229,241.97,61.19,179.22
1,-2445,-2445-10-03,828297.0675734433,170.38,349.2,178.82
0,-2445,-2445-10-18,828311.8325742767,185.4,176.42,-8.99
1,-2445,-2445-11-02,828326.8708879082,200.76,23.07,-177.69
0,-2445,-2445-11-17,828341.6358887455,215.86,208.59,-7.27
1,-2445,-2445-12-02,828356.95504614,231.5,59.92,-171.58
0,-2445,-2445-12-17,828371.7200469729,246.52,244.67,-1.85
0,-2444,-2444-10-07,828666.9533472506,175.09,178.14,3.05
1,-2444,-2444-10-22,828681.7183464174,190.14,15.59,-174.56
0,-2444,-2444-11-06,828696.6400894212,205.39,208.21,2.82
1,-2444,-2444-11-21,828711.4050885839,220.48,48.49,-172
0,-2444,-2444-12-06,828726.3144664596,235.69,236.94,1.24
1,-2444,-2444-12-20,828741.0794656269,250.68,81.65,-169.04
0,-2443,-2443-09-27,829021.4489655576,164.19,174.12,9.93
1,-2443,-2443-10-11,829036.2139647246,179.18,3.13,-176.05
0,-2443,-2443-10-26,829050.7681863307,194.03,198.14,4.12
1,-2443,-2443-11-10,829065.5331854936,209.12,29.79,-179.33
1,-2443,-2443-12-09,829094.7807729527,238.97,57.52,178.55
0,-2443,-2443-12-24,829109.5457737852,253.95,249.2,-4.75
1,-2442,-2442-09-30,829389.7818339551,167.32,338.49,171.17
0,-2442,-2442-10-15,829404.5468347879,182.33,183.76,1.43
1,-2442,-2442-10-29,829419.285191839,197.38,7.08,169.7
0,-2442,-2442-11-13,829434.050192676,212.47,209.8,-2.68
1,-2442,-2442-11-28,829448.8512426876,227.59,38.41,170.82
0,-2442,-2442-12-13,829463.6162435199,242.63,238.95,-3.68
0,-2441,-2441-10-04,829758.7852304608,171.13,169.82,-1.31
1,-2441,-2441-10-19,829773.5502296281,186.17,354.7,168.54
0,-2441,-2441-11-03,829788.859366846,201.8,206.76,4.96
1,-2441,-2441-11-18,829803.6243660093,216.9,30.53,173.63
0,-2441,-2441-12-03,829818.7306167539,232.32,240.3,7.98
1,-2441,-2441-12-18,829833.4956159217,247.34,65.22,177.89
1,-2440,-2440-10-08,830128.6471323317,175.83,356.18,-179.65
0,-2440,-2440-10-23,830143.412133243,190.88,197.78,6.9
1,-2440,-2440-11-07,830158.4800993863,206.28,27.25,-179.02
0,-2440,-2440-11-21,830173.2451002229,221.37,231.47,10.1
1,-2440,-2440-12-06,830187.9365260251,236.35,55.96,179.61
0,-2440,-2440-12-21,830202.7015268571,251.35,260.51,9.16
1,-2439,-2439-09-27,830483.1326176198,164.91,352.13,-172.78
0,-2439,-2439-10-12,830497.897618452,179.91,183.71,3.8
1,-2439,-2439-10-27,830512.5040813208,194.81,15.95,-178.86
0,-2439,-2439-11-10,830527.2690821572,209.9,212.97,3.07
1,-2439,-2439-11-25,830541.822453399,224.78,41.39,176.61
0,-2439,-2439-12-10,830556.5874529975,239.83,241.82,1.99
0,-2438,-2438-10-01,830851.4903115149,168.07,159.59,-8.48
1,-2438,-2438-10-15,830866.2553106828,183.08,2.23,179.15
0,-2438,-2438-10-30,830880.9444225662,198.07,187.12,-10.95
1,-2438,-2438-11-14,830895.70942173,213.17,28.46,175.29
0,-2438,-2438-11-29,830910.7534642179,228.54,223.06,-5.48
1,-2438,-2438-12-14,830925.5184633862,243.57,58.44,174.87
1,-2437,-2437-10-05,831220.7513561033,172.15,353.7,-178.44
0,-2437,-2437-10-20,831235.5163569353,187.18,179.67,-7.51
1,-2437,-2437-11-04,831250.587663532,202.58,26.23,-176.35
0,-2437,-2437-11-19,831265.3526643679,217.67,212.75,-4.93
1,-2437,-2437-12-04,831280.6578335125,233.3,60.88,-172.41
0,-2437,-2437-12-19,831295.422834344,248.3,251.11,2.81
0,-2436,-2436-10-09,831590.5012914039,176.73,178.66,1.93
1,-2436,-2436-10-23,831605.2662905733,191.78,20.45,-171.32
0,-2436,-2436-11-07,831620.1102140619,206.95,206.08,-0.86
1,-2436,-2436-11-22,831634.8752132262,222.04,50.98,-171.06
0,-2436,-2436-12-07,831649.7043578849,237.17,236.62,-0.54
1,-2436,-2436-12-22,831664.4693570537,252.15,79.34,-172.82
0,-2435,-2435-09-28,831945.0051986958,165.82,171.96,6.14
1,-2435,-2435-10-13,831959.7701978644,180.82,7.9,-172.92
0,-2435,-2435-10-27,831974.2643230031,195.61,196.2,0.59
1,-2435,-2435-11-11,831989.0293221675,210.7,35.74,-174.96
0,-2435,-2435-11-26,832003.5357264108,225.53,220.98,-4.55
1,-2435,-2435-12-11,832018.3007255797,240.57,61.63,-178.94
1,-2434,-2434-10-01,832313.1105988304,168.72,338.59,169.87
0,-2434,-2434-10-16,832327.8755996617,183.74,180.12,-3.62
1,-2434,-2434-10-31,832342.7138168163,198.89,9.21,170.32
0,-2434,-2434-11-15,832357.4788176517,213.99,209.13,-4.85
1,-2434,-2434-11-30,832372.3837206909,229.21,42.12,172.91
0,-2434,-2434-12-14,832387.1487215217,244.24,236.36,-7.87
0,-2433,-2433-10-06,832682.4920573406,172.92,175.55,2.62
1,-2433,-2433-10-20,832697.2570565094,187.96,358.88,170.92
0,-2433,-2433-11-05,832712.5603846438,203.6,210.53,6.93
1,-2433,-2433-11-20,832727.3253838087,218.69,36.32,177.64
0,-2433,-2433-12-05,832742.3711422236,234.04,240.73,6.69
