jd	date	yr	season	rtu	sun_lon	sun_naks	moon_lat	moon_lon	moon_naks	moon_phase	moon_sun_diff	sun_न	moon_न
1582080.75	-381-06-28	-381	3	R3-varṣā	94.24	N08-Pus/δ Cnc	0.78	95.39	N08-Pus/δ Cnc	0	1	N08-Pus	N08-Pus
1582096.25	-381-07-13	-381	3	R3-varṣā	109.11	N10-Mag/μ Leo	-2.32	292.89	N23-Dha/γ2 Del	1	176	N10-Mag	N23-Dha
1582109.75	-381-07-27	-381	3	R3-varṣā	122.14	N10-Mag/α Leo	2.75	118.54	N10-Mag/α Leo	0	3	N10-Mag	N10-Mag
1582125.25	-381-08-11	-381	3	R3-varṣā	137.22	N12-UPal/* 93 Leo	-3.81	314.31	N24-Sha/λ Aqr	1	177	N12-UPal	N24-Sha
1582139.75	-381-08-26	-381	4	R4-śarat	151.45	N13-Has/γ Crv	4.73	155.20	N13-Has/γ Crv	0	3	N13-Has	N13-Has
1582155.25	-381-09-10	-381	4	R4-śarat	166.81	N13-Has/β Crv	-4.97	349.69	N27-Rev/ε Psc	1	177	N13-Has	N27-Rev
1582168.75	-381-09-24	-381	4	R4-śarat	180.29	N15-Swa/α Boo	4.96	177.22	N15-Swa/α Boo	0	3	N15-Swa	N15-Swa
1582184.25	-381-10-09	-381	4	R4-śarat	195.90	N16-Vis/α2 Lib	-4.68	12.28	N02-Bha/* 35 Ari	1	176	N16-Vis	N02-Bha
1582198.75	-381-10-24	-381	5	R5-hemanta	210.59	N17-Anu/ω1 Sco	3.79	211.28	N17-Anu/ω1 Sco	0	0	N17-Anu	N17-Anu
1582214.25	-381-11-08	-381	5	R5-hemanta	226.37	N19-Mul/ζ2 Sco	-2.49	49.95	N05-Mrg/λ Ori	1	176	N19-Mul	N05-Mrg
1582228.75	-381-11-23	-381	5	R5-hemanta	241.18	N20-PAsh/δ Sgr	1.26	244.08	N20-PAsh/λ Sgr	0	2	N20-PAsh	N20-PAsh
1582243.25	-381-12-07	-381	5	R5-hemanta	255.98	N21-UAsh/τ Sgr	-0.43	73.03	N07-Pun/α Gem	1	177	N21-UAsh	N07-Pun
1582258.75	-381-12-23	-381	6	R6-śiśira	271.77	N22-Shr/β Aql	-1.71	276.43	N22-Shr/β Aql	0	4	N22-Shr	N22-Shr
1582273.25	-380-01-06	-380	6	R6-śiśira	286.48	N23-Dha/γ2 Del	2.95	111.34	N10-Mag/μ Leo	1	175	N23-Dha	N10-Mag
1582287.75	-380-01-21	-380	6	R6-śiśira	301.09	N24-Sha/λ Aqr	-3.34	297.14	N23-Dha/γ2 Del	0	3	N24-Sha	N23-Dha
1582302.25	-380-02-04	-380	6	R6-śiśira	315.59	N25-PBha/α Peg	4.35	134.38	N12-UPal/* 93 Leo	1	178	N25-PBha	N12-UPal
1582317.75	-380-02-20	-380	1	R1-vasanta	330.96	N25-PBha/β Peg	-4.86	330.66	N25-PBha/β Peg	0	0	N25-PBha	N25-PBha
1582332.25	-380-03-05	-380	1	R1-vasanta	345.20	N27-Rev/ε Psc	4.93	171.41	N15-Swa/α Boo	1	173	N27-Rev	N15-Swa
1582347.75	-380-03-21	-380	1	R1-vasanta	0.30	N01-Ash/γ Ari	-4.55	5.77	N01-Ash/α Ari	0	5	N01-Ash	N01-Ash
1582361.25	-380-04-03	-380	1	R1-vasanta	13.34	N02-Bha/* 35 Ari	4.22	193.58	N16-Vis/α2 Lib	1	179	N02-Bha	N16-Vis
1582376.75	-380-04-19	-380	1	R1-vasanta	28.22	N03-Kri/* 27 Tau	-3.36	28.39	N03-Kri/* 27 Tau	0	0	N03-Kri	N03-Kri
1582391.25	-380-05-03	-380	2	R2-grīṣma	42.07	N04-Roh/α Tau	1.88	227.87	N19-Mul/ν Sco	1	174	N04-Roh	N19-Mul
1582405.75	-380-05-18	-380	2	R2-grīṣma	55.88	N05-Mrg/α Ori	-1.58	51.31	N05-Mrg/λ Ori	0	4	N05-Mrg	N05-Mrg
1582420.25	-380-06-01	-380	2	R2-grīṣma	69.68	N06-Ard/γ Gem	0.01	248.82	N21-UAsh/σ Sgr	1	179	N06-Ard	N21-UAsh
1582435.75	-380-06-17	-380	2	R2-grīṣma	84.45	N07-Pun/β Gem	1.88	89.58	N08-Pus/δ Cnc	0	5	N07-Pun	N08-Pus
1582450.25	-380-07-01	-380	3	R3-varṣā	98.31	N09-Asl/σ Hya	-2.85	281.38	N23-Dha/β Del	1	176	N09-Asl	N23-Dha
1582464.75	-380-07-16	-380	3	R3-varṣā	112.25	N10-Mag/ζ Leo	3.67	113.16	N10-Mag/ζ Leo	0	0	N10-Mag	N10-Mag
1582479.25	-380-07-30	-380	3	R3-varṣā	126.27	N11-PPal/δ Leo	-4.18	302.09	N24-Sha/λ Aqr	1	175	N11-PPal	N24-Sha
1582493.75	-380-08-14	-380	3	R3-varṣā	140.41	N12-UPal/β Leo	4.77	136.69	N12-UPal/* 93 Leo	0	3	N12-UPal	N12-UPal
1582509.25	-380-08-29	-380	4	R4-śarat	155.66	N13-Has/γ Crv	-4.99	335.19	N26-UBha/γ Peg	1	179	N13-Has	N26-UBha
1582523.75	-380-09-13	-380	4	R4-śarat	170.05	N14-Chi/α Vir	4.65	174.52	N15-Swa/α Boo	0	4	N14-Chi	N15-Swa
