year	event	date	sun_lon	obj_lon	sun_lon_dms	obj_lon_dms	obj_rise_set	sun_rise_set	delta_rise_set	age	mag	sun_alt	obj_lat	az_diff	lon_diff	sun_sz	obj_az
-499	morning_last_visibility	-499-07-22	112.15	103.83	112° 09'	103° 50'	4:57	5:25	-0:27h	-30d 21h	-3.4	-6° 07'	0° 52'	2° 54'	-8° 19'	240° 19'	243° 13'
-499	evening_first_visibility	-499-10-09	190.63	203.20	190° 38'	203° 12'	18:31	18:06	0:24h	48d 17h	-3.4	-6° 07'	0° 21'	-9° 49'	12° 34'	88° 36'	78° 47'
-498	evening_last_visibility	-498-06-06	68.48	77.82	68° 29'	77° 49'	19:39	19:12	0:27h	-6d 05h	-3.2	-6° 01'	-1° 29'	-5° 30'	9° 20'	119° 44'	114° 14'
-498	morning_first_visibility	-498-06-22	83.13	68.88	83° 08'	68° 53'	4:44	5:14	-0:29h	9d 04h	-3.5	-6° 21'	-4° 38'	12° 38'	-14° 15'	238° 04'	250° 42'
-497	morning_last_visibility	-497-02-14	319.60	306.52	319° 36'	306° 31'	6:46	7:12	-0:25h	-51d 00h	-3.3	-6° 13'	-1° 12'	10° 29'	-13° 05'	283° 54'	294° 24'
-497	evening_first_visibility	-497-05-05	37.77	45.78	37° 46'	45° 47'	19:19	18:53	0:25h	29d 12h	-3.4	-6° 08'	0° 04'	-1° 52'	8° 01'	110° 24'	108° 32'
-496	evening_last_visibility	-496-01-17	291.82	297.62	291° 49'	297° 37'	18:13	17:46	0:26h	-3d 18h	-3.3	-6° 11'	7° 12'	4° 43'	5° 48'	68° 10'	72° 53'
-496	morning_first_visibility	-496-01-23	297.38	294.17	297° 23'	294° 10'	6:59	7:24	-0:25h	1d 19h	-3.3	-5° 55'	7° 54'	-3° 49'	-3° 13'	290° 49'	287° 00'
-496	morning_last_visibility	-496-10-03	184.33	176.65	184° 20'	176° 39'	5:50	6:14	-0:23h	-31d 07h	-3.4	-6° 01'	1° 20'	-0° 29'	-7° 41'	268° 32'	268° 03'
-496	evening_first_visibility	-496-12-16	260.12	270.40	260° 07'	270° 24'	17:55	17:28	0:27h	43d 05h	-3.4	-6° 11'	-1° 07'	-6° 43'	10° 17'	66° 31'	59° 48'
-495	evening_last_visibility	-495-08-08	129.23	149.80	129° 14'	149° 48'	19:39	19:13	0:26h	-14d 05h	-3.9	-6° 02'	-7° 18'	-20° 24'	20° 34'	115° 03'	94° 39'
-495	morning_first_visibility	-495-08-29	149.22	139.17	149° 13'	139° 10'	5:25	5:51	-0:26h	6d 05h	-3.5	-6° 18'	-8° 33'	10° 25'	-10° 03'	252° 21'	262° 46'
