Epoch	City	Location	GeoLat	GetLat°	lat	lon	ra	decl	rise-hr	jd	date	year
-3500	Kurukshetra	Kurukshetra(29.97°)	29.97	29.97°	66.07	80.06	-6.47	85.96	-5	442674.25	-3501-12-23T22:59:14	-3501
-3500	Srinagar	Srinagar(34.09°)	34.09	34.09°	66.07	80.06	-6.47	85.96	-5	442674.25	-3501-12-23T22:59:14	-3501
-3450	Madurai	Madurai(9.92°)	9.92	9.92°	66.08	80.75	-6.3	86.24	-5	460937.25	-3451-12-23T22:59:14	-3451
-3450	Ujjain	Ujjain(23.18°)	23.18	23.18°	66.08	80.75	-6.3	86.24	-5	460937.25	-3451-12-23T22:59:14	-3451
-3450	Kurukshetra	Kurukshetra(29.97°)	29.97	29.97°	66.08	80.75	-6.3	86.24	-5	460937.25	-3451-12-23T22:59:14	-3451
-3450	Srinagar	Srinagar(34.09°)	34.09	34.09°	66.08	80.75	-6.3	86.24	-5	460937.25	-3451-12-23T22:59:14	-3451
-3400	Madurai	Madurai(9.92°)	9.92	9.92°	66.08	81.45	-6.09	86.52	-5	479199.25	-3401-12-23T22:59:14	-3401
-3400	Ujjain	Ujjain(23.18°)	23.18	23.18°	66.08	81.45	-6.09	86.52	-5	479199.25	-3401-12-23T22:59:14	-3401
-3400	Kurukshetra	Kurukshetra(29.97°)	29.97	29.97°	66.08	81.45	-6.09	86.52	-5	479199.25	-3401-12-23T22:59:14	-3401
-3400	Srinagar	Srinagar(34.09°)	34.09	34.09°	66.08	81.45	-6.09	86.52	-5	479199.25	-3401-12-23T22:59:14	-3401
-3350	Madurai	Madurai(9.92°)	9.92	9.92°	66.08	82.15	-6.01	86.81	-5	497462.25	-3351-12-23T22:59:14	-3351
-3350	Ujjain	Ujjain(23.18°)	23.18	23.18°	66.08	82.15	-6.01	86.81	-5	497462.25	-3351-12-23T22:59:14	-3351
-3350	Kurukshetra	Kurukshetra(29.97°)	29.97	29.97°	66.08	82.15	-6.01	86.81	-5	497462.25	-3351-12-23T22:59:14	-3351
-3350	Srinagar	Srinagar(34.09°)	34.09	34.09°	66.08	82.15	-6.01	86.81	-5	497462.25	-3351-12-23T22:59:14	-3351
-3300	Madurai	Madurai(9.92°)	9.92	9.92°	66.09	82.84	-5.96	87.09	-5	515724.25	-3301-12-23T22:59:14	-3301
-3300	Ujjain	Ujjain(23.18°)	23.18	23.18°	66.09	82.84	-5.96	87.09	-5	515724.25	-3301-12-23T22:59:14	-3301
-3300	Kurukshetra	Kurukshetra(29.97°)	29.97	29.97°	66.09	82.84	-5.96	87.09	-5	515724.25	-3301-12-23T22:59:14	-3301
-3300	Srinagar	Srinagar(34.09°)	34.09	34.09°	66.09	82.84	-5.96	87.09	-5	515724.25	-3301-12-23T22:59:14	-3301
-3250	Madurai	Madurai(9.92°)	9.92	9.92°	66.09	83.53	-5.83	87.37	-5	533987.25	-3251-12-23T22:59:14	-3251
-3250	Ujjain	Ujjain(23.18°)	23.18	23.18°	66.09	83.53	-5.83	87.37	-5	533987.25	-3251-12-23T22:59:14	-3251
-3250	Kurukshetra	Kurukshetra(29.97°)	29.97	29.97°	66.09	83.53	-5.83	87.37	-5	533987.25	-3251-12-23T22:59:14	-3251
-3250	Srinagar	Srinagar(34.09°)	34.09	34.09°	66.09	83.53	-5.83	87.37	-5	533987.25	-3251-12-23T22:59:14	-3251
-3200	Madurai	Madurai(9.92°)	9.92	9.92°	66.09	84.24	-5.9	87.66	-5	552250.25	-3201-12-24T22:59:14	-3201
-3200	Ujjain	Ujjain(23.18°)	23.18	23.18°	66.09	84.24	-5.9	87.66	-5	552250.25	-3201-12-24T22:59:14	-3201
-3200	Kurukshetra	Kurukshetra(29.97°)	29.97	29.97°	66.09	84.24	-5.9	87.66	-5	552250.25	-3201-12-24T22:59:14	-3201
-3200	Srinagar	Srinagar(34.09°)	34.09	34.09°	66.09	84.24	-5.9	87.66	-5	552250.25	-3201-12-24T22:59:14	-3201
-3150	Madurai	Madurai(9.92°)	9.92	9.92°	66.1	84.93	-6.09	87.93	-5	570512.25	-3151-12-23T22:59:14	-3151
