jd	date	yr	season	rtu	eqnx	sun_lon	sun_naks	moon_lon	moon_naks	moon_phase	moon_sun_diff	sun_न	moon_न	kv_pair	moon_lon_adj	sun_lon_adj	jd_diff	moon_lon_adj_packed	yr_grp	kv_adj
1414332.23	-840-03-17	-840	1	R1-vasanta	False	356.19	N01-Ash/β Ari	176.21	N16-Vis/α1 Lib	1	-179	N01-Ash	N16-Vis	False	176.21	-3.81	738.56	41.21	0	
1415070.79	-838-03-26	-838	1	R1-vasanta	False	3.99	N02-Bha/* 35 Ari	183.46	N16-Vis/α1 Lib	1	179	N02-Bha	N16-Vis	False	183.46	3.99	914.82	48.46	0	
1415985.61	-836-09-26	-836	4	R4-śarat	True	182.50	N16-Vis/α1 Lib	2.34	N02-Bha/* 35 Ari	1	-180	N16-Vis	N02-Bha	False	2.34	182.50	178.30	2.34	0	
1416163.91	-835-03-23	-835	1	R1-vasanta	True	1.48	N02-Bha/* 35 Ari	181.95	N16-Vis/α1 Lib	1	180	N02-Bha	N16-Vis	False	181.95	1.48	914.98	46.95	0	
1417078.89	-833-09-24	-833	4	R4-śarat	True	180.03	N16-Vis/α1 Lib	359.80	N01-Ash/α Ari	1	179	N16-Vis	N01-Ash	False	-0.20	180.03	176.94	-0.20	0	
1417255.83	-832-03-19	-832	1	R1-vasanta	True	357.80	N01-Ash/α Ari	178.46	N16-Vis/α1 Lib	1	-179	N01-Ash	N16-Vis	False	178.46	-2.20	915.55	43.46	0	
1418171.38	-830-09-20	-830	4	R4-śarat	False	176.78	N16-Vis/α1 Lib	356.48	N01-Ash/β Ari	1	179	N16-Vis	N01-Ash	False	-3.52	176.78	916.04	-3.52	0	
1419087.42	-827-03-24	-827	1	R1-vasanta	True	3.00	N02-Bha/* 35 Ari	182.93	N16-Vis/α1 Lib	1	179	N02-Bha	N16-Vis	False	182.93	3.00	914.79	47.93	0	
1420002.21	-825-09-25	-825	4	R4-śarat	True	181.42	N16-Vis/α1 Lib	1.37	N02-Bha/* 35 Ari	1	-180	N16-Vis	N02-Bha	False	1.37	181.42	177.22	1.37	0	
1420179.43	-824-03-20	-824	1	R1-vasanta	True	359.42	N01-Ash/α Ari	179.02	N16-Vis/α1 Lib	1	-180	N01-Ash	N16-Vis	False	179.02	-0.58	915.74	44.02	0	
1421095.17	-822-09-22	-822	4	R4-śarat	True	178.63	N16-Vis/α1 Lib	358.78	N01-Ash/α Ari	1	180	N16-Vis	N01-Ash	False	-1.22	178.63	176.95	-1.22	0	
1421272.12	-821-03-18	-821	1	R1-vasanta	False	356.48	N01-Ash/β Ari	176.37	N16-Vis/α1 Lib	1	-180	N01-Ash	N16-Vis	False	176.37	-3.52	1653.41	41.37	0	
1422925.53	-817-09-27	-817	4	R4-śarat	True	182.81	N16-Vis/α1 Lib	3.05	N02-Bha/* 35 Ari	1	-179	N16-Vis	N02-Bha	False	3.05	182.81	177.72	3.05	0	
1423103.25	-816-03-22	-816	1	R1-vasanta	True	1.24	N02-Bha/* 35 Ari	181.23	N16-Vis/α1 Lib	1	179	N02-Bha	N16-Vis	False	181.23	1.24	915.47	46.23	0	
1424018.72	-814-09-24	-814	4	R4-śarat	True	180.25	N16-Vis/α1 Lib	359.82	N01-Ash/α Ari	1	179	N16-Vis	N01-Ash	False	-0.18	180.25	176.76	-0.18	0	
1424195.48	-813-03-19	-813	1	R1-vasanta	True	357.85	N01-Ash/α Ari	177.87	N16-Vis/α1 Lib	1	-179	N01-Ash	N16-Vis	False	177.87	-2.15	915.32	42.87	0	
1425110.80	-811-09-20	-811	4	R4-śarat	False	176.59	N16-Vis/α1 Lib	357.50	N01-Ash/α Ari	1	180	N16-Vis	N01-Ash	False	-2.50	176.59	916.25	-2.50	0	
1426027.05	-808-03-24	-808	1	R1-vasanta	False	3.04	N02-Bha/* 35 Ari	183.40	N16-Vis/α1 Lib	1	180	N02-Bha	N16-Vis	False	183.40	3.04	915.15	48.40	0	
1426942.20	-806-09-25	-806	4	R4-śarat	True	181.81	N16-Vis/α1 Lib	1.80	N02-Bha/* 35 Ari	1	-180	N16-Vis	N02-Bha	False	1.80	181.81	176.77	1.80	0	
1427118.97	-805-03-21	-805	1	R1-vasanta	True	359.36	N01-Ash/α Ari	179.66	N16-Vis/α1 Lib	1	-179	N01-Ash	N16-Vis	False	179.66	-0.64	915.48	44.66	0	
1428034.45	-803-09-21	-803	4	R4-śarat	True	178.31	N16-Vis/α1 Lib	357.84	N01-Ash/α Ari	1	179	N16-Vis	N01-Ash	False	-2.16	178.31	177.70	-2.16	0	
1428212.15	-802-03-18	-802	1	R1-vasanta	False	356.90	N01-Ash/β Ari	176.81	N16-Vis/α1 Lib	1	-180	N01-Ash	N16-Vis	False	176.81	-3.10		41.81	0	
