az	alt	naks	yr	JD	DT
116.8	-0.12	Moolam	-1500	1173182.39	-1500-01-01T02:32:55
117.72	-0.09	Pooradam	-1500	1173182.42	-1500-01-01T03:21:48
112.37	0.01	Uttiradam	-1500	1173182.45	-1500-01-01T03:56:07
83.25	0.23	Thiruvonam	-1500	1173182.5	-1500-01-01T05:07:05
80.37	1	Avittam	-1500	1173181.54	-1501-12-31T06:08:48
108.27	0.18	Shatayam	-1500	1173181.62	-1501-12-31T08:02:09
90.29	0.2	Poorattadi	-1500	1173181.64	-1501-12-31T08:28:23
78.55	0.6	Uttiratadi	-1500	1173181.68	-1501-12-31T09:26:12
106.51	0.13	Revati	-1500	1173181.77	-1501-12-31T11:35:13
47.8	-1.1	Abhijit	-1500	1173182.45	-1500-01-01T04:00:20
82.36	0.37	Ashwini	-1000	1355806.76	-1001-12-31T11:24:37
77.64	0.52	Bharani	-1000	1355806.78	-1001-12-31T11:59:02
78.93	0.44	Krittika	-1000	1355806.82	-1001-12-31T12:54:03
84.11	0.24	Rohini	-1000	1355806.86	-1001-12-31T13:48:29
87.26	0.13	Mrigashirisham	-1000	1355806.9	-1001-12-31T14:53:22
88.26	-0.54	Thiruvadarai	-1000	1355806.92	-1001-12-31T15:12:47
60.12	0.56	Punarpasu	-1000	1355806.96	-1001-12-31T16:11:08
65.38	-0.27	Pushyam	-1000	1355807.01	-1001-12-31T17:21:42
77.1	0.37	Ayilyam	-1000	1355807.04	-1001-12-31T18:01:48
66.68	0.88	Makam	-1000	1355807.08	-1001-12-31T19:01:35
54.55	0.58	Pooram	-1000	1355807.11	-1001-12-31T19:46:49
59.67	0.34	Uttiram	-1000	1355807.12	-1001-12-31T19:57:00
90.14	0.17	Hastam	-1000	1355807.2	-1001-12-31T21:58:52
84.6	0.81	Chitrai	-1000	1355807.24	-1001-12-31T22:49:22
52.08	0.61	Swati	-1000	1355807.26	-1001-12-31T23:18:19
90.69	0.18	Vishakam	-1000	1355807.29	-1000-01-01T00:13:51
99.88	-0.07	Anusham	-1000	1355807.34	-1000-01-01T01:21:36
104.97	-0.56	Kettai	-1000	1355807.36	-1000-01-01T01:47:15
119.26	-0.14	Moolam	-1000	1355807.4	-1000-01-01T02:48:52
119.75	-0.3	Pooradam	-1000	1355807.44	-1000-01-01T03:37:18
114.08	0.03	Uttiradam	-1000	1355807.46	-1000-01-01T04:12:01
83.83	0.21	Thiruvonam	-1000	1355807.5	-1000-01-01T05:16:54
80.26	0.96	Avittam	-1000	1355806.55	-1001-12-31T06:16:53
107.04	0.21	Shatayam	-1000	1355806.63	-1001-12-31T08:14:22
88.61	0.27	Poorattadi	-1000	1355806.64	-1001-12-31T08:37:21
76.31	0.7	Uttiratadi	-1000	1355806.68	-1001-12-31T09:33:21
103.7	0.23	Revati	-1000	1355806.77	-1001-12-31T11:43:49
48.71	-0.99	Abhijit	-1000	1355807.45	-1000-01-01T04:03:49
79.53	0.5	Ashwini	-500	1538431.77	-0501-12-31T11:32:47
74.81	0.63	Bharani	-500	1538431.79	-0501-12-31T12:07:20
76.23	0.54	Krittika	-500	1538431.83	-0501-12-31T13:02:56
81.69	0.33	Rohini	-500	1538431.87	-0501-12-31T13:57:37
85.48	0.84	Mrigashirisham	-500	1538431.91	-0501-12-31T15:05:41
86.68	0.11	Thiruvadarai	-500	1538431.93	-0501-12-31T15:24:56
59.26	0.32	Punarpasu	-500	1538431.97	-0501-12-31T16:24:46
65.63	0.35	Pushyam	-500	1538432.02	-0501-12-31T17:40:14
77.43	0.36	Ayilyam	-500	1538432.04	-0501-12-31T18:14:39
67.8	0.75	Makam	-500	1538432.09	-0501-12-31T19:16:22
56.37	0.46	Pooram	-500	1538432.12	-0501-12-31T20:04:35
61.54	0.27	Uttiram	-500	1538432.13	-0501-12-31T20:13:39
92.73	0.17	Hastam	-500	1538432.21	-0501-12-31T22:11:09
87.38	0.71	Chitrai	-500	1538432.24	-0501-12-31T23:01:47
55.24	0.4	Swati	-500	1538432.26	-0501-12-31T23:30:28
93.61	0.34	Vishakam	-500	1538432.3	-0500-01-01T00:27:22
102.51	-0.28	Anusham	-500	1538432.35	-0500-01-01T01:34:02
107.44	-0.94	Kettai	-500	1538432.37	-0500-01-01T01:59:33
121.46	-0.31	Moolam	-500	1538432.41	-0500-01-01T03:04:44
121.48	-0.54	Pooradam	-500	1538432.45	-0500-01-01T03:53:12
115.44	-0.1	Uttiradam	-500	1538432.47	-0500-01-01T04:27:25
84.09	0.18	Thiruvonam	-500	1538432.51	-0500-01-01T05:26:24
79.86	0.95	Avittam	-500	1538431.55	-0501-12-31T06:24:46
