jd	date	yr	season	rtu	sun_lon	sun_naks	sun_naks_by_angle	moon_lat	moon_lon	moon_naks	moon_naks_by_angle	moon_phase	moon_sun_diff	sun_न	moon_न	sun_न_by_angle	moon_न_by_angle	sun_naks_angle	moon_naks_angle
1195098.25	-1441-12-19	-1441	5	R5-hemanta	268.50	N23-Dha/β Del	N24-Sha/λ Aqr	2.90	93.78	N10-Mag/μ Leo	N10-Mag/ε Leo	1	174	N23-Dha	N10-Mag	N24-Sha	N10-Mag	25.39	6.56
1195111.75	-1440-01-02	-1440	6	R6-śiśira	282.12	N23-Dha/α Αqr	N24-Sha/λ Aqr	-3.30	279.53	N23-Dha/β Αqr	N24-Sha/λ Aqr	0	2	N23-Dha	N23-Dha	N24-Sha	N24-Sha	11.78	14.68
1195127.25	-1440-01-17	-1440	6	R6-śiśira	297.63	N24-Sha/λ Aqr	N24-Sha/λ Aqr	4.34	116.75	N11-PPal/θ Leo	N11-PPal/θ Leo	1	179	N24-Sha	N11-PPal	N24-Sha	N11-PPal	3.74	5.38
1195141.75	-1440-02-01	-1440	6	R6-śiśira	312.01	N25-PBha/β Peg	N26-UBha/γ Peg	-4.87	312.79	N25-PBha/β Peg	N27-Rev/ε Psc	0	0	N25-PBha	N25-PBha	N26-UBha	N27-Rev	15.79	18.12
1195156.25	-1440-02-15	-1440	6	R6-śiśira	326.26	N26-UBha/α And	N27-Rev/ε Psc	5.01	140.09	N13-Has/γ Crv	N12-UPal/β Leo	1	173	N26-UBha	N13-Has	N27-Rev	N12-UPal	3.83	17.23
1195171.75	-1440-03-02	-1440	1	R1-vasanta	341.35	N01-Ash/γ Ari	N01-Ash/γ Ari	-4.68	345.50	N01-Ash/γ Ari	N01-Ash/γ Ari	0	4	N01-Ash	N01-Ash	N01-Ash	N01-Ash	8.19	11.72
1195186.25	-1440-03-16	-1440	1	R1-vasanta	355.36	N02-Bha/* 35 Ari	N01-Ash/α Ari	4.09	178.98	N16-Vis/α2 Lib	N16-Vis/α1 Lib	1	176	N02-Bha	N16-Vis	N01-Ash	N16-Vis	11.27	3.63
1195200.75	-1440-03-31	-1440	1	R1-vasanta	9.27	N03-Kri/* 17 Tau	N03-Kri/* 23 Tau	-3.65	6.30	N03-Kri/* 17 Tau	N03-Kri/* 23 Tau	0	2	N03-Kri	N03-Kri	N03-Kri	N03-Kri	4.58	9.29
1195215.25	-1440-04-14	-1440	1	R1-vasanta	23.12	N04-Roh/α Tau	N04-Roh/ε Tau	2.50	202.41	N18-Jye/α Sco	N18-Jye/σ Sco	1	179	N04-Roh	N18-Jye	N04-Roh	N18-Jye	3.81	6.48
1195230.75	-1440-04-30	-1440	2	R2-grīṣma	37.87	N05-Mrg/λ Ori	N05-Mrg/λ Ori	-1.02	39.46	N05-Mrg/α Ori	N05-Mrg/λ Ori	0	1	N05-Mrg	N05-Mrg	N05-Mrg	N05-Mrg	13.95	13.25
