gname,nid,nnid,tag,sname,hip,naks,enaks,daivata,raJ2000,decJ2000,lonJ2000,latJ2000,hr_daynum_kuru,hr_jd_kuru,hr_utc_kuru,hr_az_kuru,hr_alt_kuru
β Ari,N01-Ash,1,rep,Sheratan,HIP 8903,अश्विनी,Aśvayuk,Aśvini,28.66,20.81,33.97,8.49,60,990634.56,-2000-03-01 01:21:24.168,95.04,7.32
α Ari,N01-Ash,1,other,Hamal,HIP 9884,अश्विनी,Aśvayuk,Aśvini,31.79,23.46,37.66,9.97,62,990636.56,-2000-03-03 01:19:14.309,91.94,7.41
γ Ari,N01-Ash,1,other,Mesarthim,HIP 8832,अश्विनी,Aśvayuk,Aśvini,28.38,19.29,33.18,7.16,61,990635.56,-2000-03-02 01:20:19.238,96.84,7.41
* 41 Ari,N02-Bha,2,rep,Bharani,HIP 13209,भरणी,Bharaṇī,Yama,42.50,27.26,48.20,10.45,72,990646.55,-2000-03-13 01:06:58.437,86.71,7.25
* 39 Ari,N02-Bha,2,other,39Ari,HIP 13061,भरणी,Bharaṇī,Yama,41.98,29.25,48.37,12.48,70,990644.55,-2000-03-11 01:09:29.940,84.68,7.57
* 35 Ari,N02-Bha,2,other,Barani II,HIP 12719,भरणी,Bharaṇī,Yama,40.86,27.71,46.93,11.31,70,990644.55,-2000-03-11 01:09:29.940,86.52,7.53
η Tau,N03-Kri,3,rep,Alcyone,HIP 17702,क्रित्तिका,Kṛttikā, Agni,56.87,24.11,59.99,4.05,93,990667.53,-2000-04-03 00:39:55.190,88.03,7.21
* 17 Tau,N03-Kri,3,other,Electra,HIP 17499,क्रित्तिका,Kṛttikā, Agni,56.22,24.11,59.41,4.19,92,990666.53,-2000-04-02 00:41:00.120,88.06,7.04
* 19 Tau,N03-Kri,3,other,Taygeta,HIP 17531,क्रित्तिका,Kṛttikā, Agni,56.30,24.47,59.57,4.52,92,990666.53,-2000-04-02 00:41:00.120,87.73,7.21
* 20 Tau,N03-Kri,3,other,Maia,HIP 17573,क्रित्तिका,Kṛttikā, Agni,56.46,24.37,59.68,4.39,92,990666.53,-2000-04-02 00:41:00.120,87.72,7.04
* 23 Tau,N03-Kri,3,other,Merope,HIP 17608,क्रित्तिका,Kṛttikā, Agni,56.58,23.95,59.70,3.96,93,990667.53,-2000-04-03 00:39:55.190,88.32,7.31
* 27 Tau,N03-Kri,3,other,Atlas,HIP 17847,क्रित्तिका,Kṛttikā, Agni,57.29,24.05,60.36,3.92,94,990668.53,-2000-04-04 00:38:28.617,88.12,7.42
α Tau,N04-Roh,4,rep,Aldebaran,HIP 21421,रोहिणी,Rohiṇī,Prajāpati,68.98,16.51,69.79,-5.47,116,990690.51,-2000-04-26 00:12:51.944,93.83,7.62
γ Tau,N04-Roh,4,other,Prima Hyadum,HIP 20205,रोहिणी,Rohiṇī,Prajāpati,64.95,15.63,65.81,-5.73,112,990686.51,-2000-04-22 00:17:11.663,95.76,7.35
δ Tau,N04-Roh,4,other,Secunda Hyadum,HIP 20455,रोहिणी,Rohiṇī,Prajāpati,65.73,17.54,66.87,-3.97,111,990685.51,-2000-04-21 00:18:16.593,93.47,7.46
ε Tau,N04-Roh,4,other,Ain,HIP 20889,रोहिणी,Rohiṇī,Prajāpati,67.15,19.18,68.47,-2.57,111,990685.51,-2000-04-21 00:18:16.593,91.34,7.58
θ2 Tau,N04-Roh,4,other,Chamukuy,HIP 20894,रोहिणी,Rohiṇī,Prajāpati,67.17,15.87,67.96,-5.84,114,990688.51,-2000-04-24 00:15:01.804,94.81,7.20
λ Ori,N05-Mrg,5,rep,Meissa(Heka),HIP 26207,मृगशीर्ष,Mṛgaśira,Soma,83.78,9.93,83.71,-13.37,138,990712.50,-2000-05-17 23:54:06.493,96.40,7.69
γ Ori,N05-Mrg,5,other,Bellatrix,HIP 25336,मृगशीर्ष,Mṛgaśira,Soma,81.28,6.35,80.95,-16.82,139,990713.50,-2000-05-18 23:53:23.206,101.09,7.41
α Ori,N05-Mrg,5,other,Betelgeuse,HIP 27989,मृगशीर्ष,Mṛgaśira,Soma,88.79,7.41,88.76,-16.03,145,990719.49,-2000-05-24 23:50:08.417,97.30,7.65
γ Gem,N06-Ard,6,rep,Alhena(Almeisan),HIP 31681,आर्द्रा,Ārdrā,Rudra,99.43,16.40,99.11,-6.74,145,990719.49,-2000-05-24 23:50:08.417,83.44,7.53
β Gem,N07-Pun,7,rep,Pollux,HIP 37826,पुनर्वसू,Punarvasu,Aditi,116.33,28.03,113.22,6.68,146,990720.49,-2000-05-25 23:49:46.774,64.24,7.33
α Gem,N07-Pun,7,other,Castor,HIP 36850,पुनर्वसू,Punarvasu,Aditi,113.65,31.89,110.24,10.10,139,990713.50,-2000-05-18 23:53:23.206,61.22,7.13
δ Cnc,N08-Pus,8,rep,Asellus Australis,HIP 42911,पुष्य,Puṣya,Bṛhaspati,131.17,18.15,128.72,0.08,167,990741.49,-2000-06-15 23:46:10.341,68.17,7.04
ζ Hya,N09-Asl,9,rep,Minazal V,HIP 43813,आश्लेषा,Āśleṣā,Sarpa,133.85,5.95,134.58,-10.97,180,990754.49,-2000-06-28 23:49:25.130,80.24,7.53
δ Hya,N09-Asl,9,other,Minazal I,HIP 42313,आश्लेषा,Āśleṣā,Sarpa,129.41,5.70,130.31,-12.39,177,990751.49,-2000-06-25 23:48:20.200,82.28,7.44
ε Hya,N09-Asl,9,other,Ashlesha,HIP 43109,आश्लेषा,Āśleṣā,Sarpa,131.69,6.42,132.35,-11.10,178,990752.49,-2000-06-26 23:48:41.844,80.57,7.43
η Hya,N09-Asl,9,other,Minazal II,HIP 42799,आश्लेषा,Āśleṣā,Sarpa,130.81,3.40,132.31,-14.25,180,990754.49,-2000-06-28 23:49:25.130,84.24,7.60
ρ Hya,N09-Asl,9,other,Minazal IV,HIP 43234,आश्लेषा,Āśleṣā,Sarpa,132.11,5.84,132.91,-11.55,179,990753.49,-2000-06-27 23:49:03.487,81.14,7.65
σ Hya,N09-Asl,9,other,Minchir,HIP 42402,आश्लेषा,Āśleṣā,Sarpa,129.69,3.34,131.21,-14.60,179,990753.49,-2000-06-27 23:49:03.487,84.62,7.34
ζ Leo,N10-Mag,10,rep,Adhafera,HIP 50335,मघा,Maghā,Pitṛ,154.17,23.42,147.57,11.86,179,990753.49,-2000-06-27 23:49:03.487,53.33,7.17
α Leo,N10-Mag,10,other,Regulus,HIP 49669,मघा,Maghā,Pitṛ,152.09,11.97,149.83,0.46,188,990762.50,-2000-07-06 23:53:01.563,66.60,7.32
γ Leo,N10-Mag,10,other,Algieba,HIP 50583,मघा,Maghā,Pitṛ,154.99,19.84,149.61,8.81,183,990757.49,-2000-07-01 23:50:30.060,56.84,7.04
ε Leo,N10-Mag,10,other,Algenubi,HIP 47908,मघा,Maghā,Pitṛ,146.46,23.77,140.71,9.71,173,990747.49,-2000-06-21 23:47:15.271,56.05,7.29
