local,jd,alt,az,raJ2000,decJ2000,lon,lat,year,month,daynum,daynum_utryn,daynum_dksyn
-1650-01-01T07:27:06.854,1118409.5813293252,0.014572542440152011,116.92467744399266,333.9280255750958,-11.06456680865889,281.23987237034453,-0.0006825300955885945,-1650,1,1.0,13.0,192.0
-1650-01-02T07:27:06.854,1118410.5813293252,-0.01859530709547054,116.79856456012868,334.87875566428556,-10.697771585125338,282.2430191676637,-0.0005177941530999375,-1650,1,2.0,14.0,193.0
-1650-01-03T07:27:28.497,1118411.5815798263,0.024299477462655247,116.71031552175744,335.8269407937278,-10.328197069461833,283.2459034318241,-0.000350607432063647,-1650,1,3.0,15.0,194.0
-1650-01-04T07:27:28.497,1118412.5815798263,0.0020156536393707387,116.57353914204673,336.7721872849033,-9.95613926799958,284.24803205622703,-0.0001829294390669786,-1650,1,4.0,16.0,195.0
-1650-01-05T07:27:28.497,1118413.5815798263,-0.014803939924703703,116.431575545701,337.7148141133795,-9.58161702573769,285.2496658686751,-1.672498062501408e-05,-1650,1,5.0,17.0,196.0
-1650-01-06T07:27:28.497,1118414.5815798263,-0.02612019506569549,116.28451763535143,338.65490159985995,-9.204741827045206,286.2508137123713,0.00014595156887537336,-1650,1,6.0,18.0,197.0
-1650-01-07T07:27:28.497,1118415.5815798263,-0.03189526982903315,116.13246218099668,339.59252837163507,-8.825625799822662,287.25148193269627,0.0003031065380587601,-1650,1,7.0,19.0,198.0
-1650-01-08T07:27:28.497,1118416.5815798263,-0.032091990544173235,115.97551054559428,340.52777046702215,-8.444381939614033,288.2516720998756,0.0004529494488082481,-1650,1,8.0,20.0,199.0
-1650-01-09T07:27:28.497,1118417.5815798263,-0.026673153858261987,115.81376916457361,341.4607005231629,-8.061124277684366,289.25137858622526,0.0005940654795343868,-1650,1,9.0,21.0,200.0
-1650-01-10T07:27:28.497,1118418.5815798263,-0.01560088564105363,115.64734950424456,342.3913872689219,-7.675967923154287,290.2505867823084,0.0007255934078555839,-1650,1,10.0,22.0,201.0
-1650-01-11T07:27:28.497,1118419.5815798263,0.0011636141609673322,115.4763672514287,343.31989562787754,-7.289028889544844,291.24927301825403,0.0008473664811910637,-1650,1,11.0,23.0,202.0
-1650-01-12T07:27:28.497,1118420.5815798263,0.023659603825203344,115.30094077105952,344.2462876120222,-6.900423666618134,292.2474068689852,0.0009599706324819589,-1650,1,12.0,24.0,203.0
-1650-01-13T07:27:06.854,1118421.5813293252,-0.019732033254869722,115.07795326438159,345.17039264501517,-6.510366501247608,293.24470563397773,0.0010646668460959254,-1650,1,13.0,25.0,204.0
-1650-01-14T07:27:06.854,1118422.5813293252,0.014230313140526647,114.8939763313014,346.09273522670776,-6.118777354753998,294.24163848273486,0.0011633362816253325,-1650,1,14.0,26.0,205.0
-1650-01-15T07:26:45.210,1118423.5810788244,-0.017874907394937613,114.66267117950551,347.0129172237627,-5.725966310987638,295.2376810856847,0.0012580750969425033,-1650,1,15.0,27.0,206.0
-1650-01-16T07:26:45.210,1118424.5810788244,0.027667943764219296,114.4705969100734,347.93146765603626,-5.331848567821922,296.23331473673437,0.0013511582027109844,-1650,1,16.0,28.0,207.0
-1650-01-17T07:26:23.567,1118425.5808283233,0.006932597066159904,114.2314060206121,348.84799871371524,-4.936731563653843,297.2280292600151,0.0014446500188225028,-1650,1,17.0,29.0,208.0
-1650-01-18T07:26:01.924,1118426.5805778224,-0.008173692801360847,113.98843422809209,349.76281757145654,-4.540624730013519,298.2220678247052,0.0015404405158649514,-1650,1,18.0,30.0,209.0
-1650-01-19T07:25:40.281,1118427.5803273213,-0.017652280414177966,113.74178087693402,350.67600511545703,-4.143634310320474,299.2154276436567,0.001640092668588998,-1650,1,19.0,31.0,210.0
-1650-01-20T07:25:18.637,1118428.5800768202,-0.0215108189243748,113.4915439434932,351.5876456857084,-3.7458649865850164,300.2081083062737,0.0017448557712859314,-1650,1,20.0,32.0,211.0
-1650-01-21T07:24:56.994,1118429.5798263194,-0.019762714544049997,113.23782009425217,352.49782652631256,-3.347420058610765,301.20011104171425,0.0018556787709223797,-1650,1,21.0,33.0,212.0
-1650-01-22T07:24:35.351,1118430.5795758183,-0.012426690061895814,112.98070468808419,353.4066373556756,-2.9484015790803304,302.19143830188267,0.0019732265052885244,-1650,1,22.0,34.0,213.0
-1650-01-23T07:24:13.707,1118431.5793253174,0.0004735276406252359,112.7202917298071,354.3141700782502,-2.5489104439118973,303.1820935459587,0.0020978884036955167,-1650,1,23.0,35.0,214.0
-1650-01-24T07:23:52.064,1118432.5790748163,0.018909403111207763,112.45667375914985,355.22051862939713,-2.149046441865515,304.172081159466,0.0022297774800864424,-1650,1,24.0,36.0,215.0
-1650-01-25T07:23:08.778,1118433.5785738144,-0.03044955910421655,112.14672288870715,356.1255522101707,-1.749008566517294,305.1611586706573,0.0023686857760990675,-1650,1,25.0,37.0,216.0
-1650-01-26T07:22:47.134,1118434.5783233133,-0.001187715200160016,111.87695143211657,357.0298222807022,-1.348693923154847,306.149828287377,0.00251421179581624,-1650,1,26.0,38.0,217.0
-1650-01-27T07:22:25.491,1118435.5780728122,0.03349677081221561,111.60423942526387,357.9332015707643,-0.9482993701304883,307.13784984669496,0.002665537508127706,-1650,1,27.0,39.0,218.0
-1650-01-28T07:21:42.204,1118436.5775718102,-0.0001842647076706222,111.28543987505311,358.8355653860647,-0.5480209150368733,308.12498563579373,0.002821519141415764,-1650,1,28.0,40.0,219.0
-1650-01-29T07:20:58.918,1118437.5770708083,-0.028840791779779832,110.96386040552176,359.73724284673887,-0.14785307240683176,309.1114952009736,0.0029807793722279813,-1650,1,29.0,41.0,220.0
-1650-01-30T07:20:37.275,1118438.5768203072,0.021539551406699373,110.68277804603237,0.6385632686255006,0.25221013787415086,310.097640172129,0.0031416658443509018,-1650,1,30.0,42.0,221.0
-1650-01-31T07:19:53.988,1118439.5763193052,0.002933837587988739,110.35584561756586,1.5391787734845164,0.6518743570682878,311.08294372948023,0.0033021880767784774,-1650,1,31.0,43.0,222.0
-1650-02-01T07:19:10.701,1118440.5758183033,-0.01081144312664635,110.02634979301743,2.4394184971443194,1.0511461053786146,312.0676725573213,0.0034603479115513573,-1650,2,32.0,44.0,223.0
-1650-02-02T07:18:27.415,1118441.5753173013,-0.019755235836307266,109.69436055095501,3.339384245141269,1.449931453484375,313.05184697112065,0.003614085745077499,-1650,2,33.0,45.0,224.0
-1650-02-03T07:17:44.128,1118442.5748162994,-0.023957984847812426,109.35994880698222,4.239175484214932,1.8481360089571064,314.03548607006775,0.0037614406952430485,-1650,2,34.0,46.0,225.0
