local,jd,alt,az,raJ2000,decJ2000,lon,lat,year,month,daynum,daynum_utryn,daynum_dksyn
-1400-01-01T07:26:45.210,1209720.5810788244,-0.0009240248902979931,116.857649286368,330.9373478965018,-12.167093290503914,281.5518220848587,-0.0007942462545098577,-1400,1,1.0,13.0,193.0
-1400-01-02T07:26:45.210,1209721.5810788244,-0.034241161118960674,116.72872768312726,331.8978440451708,-11.809727250148658,282.55705942058165,-0.0007236042576784314,-1400,1,2.0,14.0,194.0
-1400-01-03T07:27:06.854,1209722.5813293252,0.008541720964248569,116.6376380315477,332.8556288515391,-11.449219541448565,283.5620858855578,-0.0006531492970739815,-1400,1,3.0,15.0,195.0
-1400-01-04T07:27:06.854,1209723.5813293252,-0.013896922189117962,116.49801382841571,333.8102874496581,-11.085863106717335,284.5664013363857,-0.0005813692147811647,-1400,1,4.0,16.0,196.0
-1400-01-05T07:27:06.854,1209724.5813293252,-0.030862675463745465,116.35318942515202,334.76212497031787,-10.719680716265861,285.57025901565845,-0.0005066914438394514,-1400,1,5.0,17.0,197.0
-1400-01-06T07:27:28.497,1209725.5815798263,0.028666131337217564,116.2464927999487,335.7114433637784,-10.350692808155705,286.5739089459022,-0.0004275674916542168,-1400,1,6.0,18.0,198.0
-1400-01-07T07:27:28.497,1209726.5815798263,0.022881482781169787,116.09156190197497,336.6578308349338,-9.979198136822458,287.57684293369795,-0.000342585918105378,-1400,1,7.0,19.0,199.0
-1400-01-08T07:27:28.497,1209727.5815798263,0.022708937739533322,115.93174172762936,337.60158775211505,-9.605219566121283,288.5793008759738,-0.00025043185527286215,-1400,1,8.0,20.0,200.0
-1400-01-09T07:27:28.497,1209728.5815798263,0.02819182834463608,115.7671439707689,338.54277455720063,-9.228873346169854,289.58126356895525,-0.00015007514359462835,-1400,1,9.0,21.0,201.0
-1400-01-10T07:27:06.854,1209729.5813293252,-0.031998385607673874,115.55465324647977,339.48121491955897,-8.850372333928494,290.5824528176743,-4.0913000199745784e-05,-1400,1,10.0,22.0,202.0
-1400-01-11T07:27:06.854,1209730.5813293252,-0.015180962303750158,115.38084237939968,340.41743610808345,-8.469646021407982,291.58333656642293,7.721170018749433e-05,-1400,1,11.0,23.0,203.0
-1400-01-12T07:27:06.854,1209731.5813293252,0.007416570155950149,115.20260572149596,341.35125926836884,-8.086909241438928,292.5836281686069,0.00020375659472263014,-1400,1,12.0,24.0,204.0
-1400-01-13T07:27:06.854,1209732.5813293252,0.03583235455023917,115.0200629955555,342.28274221361966,-7.702282646246158,293.5832957111635,0.00033757125263687827,-1400,1,13.0,25.0,205.0
-1400-01-14T07:26:45.210,1209733.5810788244,-0.001727745524316789,114.79008786881599,343.2117132911121,-7.315983372721751,294.58206537656537,0.00047691026708951466,-1400,1,14.0,26.0,206.0
-1400-01-15T07:26:23.567,1209734.5808283233,-0.033660289722735444,114.5560391197258,344.13847149296464,-6.928033911867526,295.58017362236603,0.0006196938724081204,-1400,1,15.0,27.0,207.0
-1400-01-16T07:26:23.567,1209735.5808283233,0.01214749385444807,114.36123098269788,345.0633191468813,-6.538452925974817,296.577864197633,0.0007636449348212024,-1400,1,16.0,28.0,208.0
-1400-01-17T07:26:01.924,1209736.5805778224,-0.008364036195647235,114.11933631265988,345.98586966069865,-6.147549425710295,297.57463620783165,0.0009063846386770916,-1400,1,17.0,29.0,209.0
-1400-01-18T07:25:40.281,1209737.5803273213,-0.023236474069507518,113.87368200869162,346.90643723149765,-5.75533702248657,298.57074110488,0.0010458251923953273,-1400,1,18.0,30.0,210.0
-1400-01-19T07:25:18.637,1209738.5800768202,-0.032481620440495226,113.62436770380366,347.825108966816,-5.361923997933892,299.56618135462213,0.001180149566139819,-1400,1,19.0,31.0,211.0
-1400-01-20T07:24:56.994,1209739.5798263194,-0.03611721303441751,113.37149054394749,348.7419760250945,-4.967416092712403,300.56095993583034,0.0013079213280262306,-1400,1,20.0,32.0,212.0
-1400-01-21T07:24:35.351,1209740.5795758183,-0.03416598277302969,113.11514502322868,349.6571328152076,-4.571916759612269,301.5550804272532,0.0014281201394067717,-1400,1,21.0,33.0,213.0
-1400-01-22T07:24:13.707,1209741.5793253174,-0.026654875687094653,112.85542297971217,350.5706762420717,-4.17552744120624,302.5485473431024,0.0015401521707935643,-1400,1,22.0,34.0,214.0
-1400-01-23T07:23:52.064,1209742.5790748163,-0.013614433337562614,112.59241371964855,351.48270500425724,-3.778347858793323,303.54136650497964,0.0016438427712559217,-1400,1,23.0,35.0,215.0
-1400-01-24T07:23:30.421,1209743.5788243152,0.004921678673009918,112.32620423681175,352.3933189539257,-3.380476303940362,304.533545352041,0.0017394127835537732,-1400,1,24.0,36.0,216.0
-1400-01-25T07:23:08.778,1209744.5785738144,0.028917011956738882,112.05687951245457,353.30261852845115,-2.982009925779129,305.52509312230137,0.001827438624996141,-1400,1,25.0,37.0,217.0
