jd,elati_Moon,elong_Moon,elong_Sun,r_Moon,sun_moon_angle,naks_Moon,naks_Sun
1355827.5,-3.284,47.126999999999995,291.182,56.981,244.055,N05-Mrg,N24-Dha
1355827.667,-3.444,49.535,291.349,56.968,241.81400000000002,N05-Mrg,N24-Dha
1355827.833,-3.5989999999999998,51.95,291.517,56.96,239.567,N05-Mrg,N24-Dha
1355828.0,-3.747,54.371,291.684,56.958,237.313,N05-Mrg,N24-Dha
1355828.167,-3.888,56.799,291.851,56.961000000000006,235.05200000000002,N05-Mrg,N24-Dha
1355828.333,-4.023,59.232,292.018,56.968999999999994,232.78599999999997,N06-Ard,N24-Dha
1355828.5,-4.15,61.67100000000001,292.186,56.983000000000004,230.515,N06-Ard,N24-Dha
1355828.667,-4.269,64.115,292.353,57.001000000000005,228.238,N06-Ard,N24-Dha
1355828.833,-4.38,66.563,292.52,57.026,225.957,N07-Pun,N24-Dha
1355829.0,-4.484,69.015,292.687,57.055,223.672,N07-Pun,N24-Dha
1355829.167,-4.578,71.47,292.855,57.089,221.385,N07-Pun,N24-Dha
1355829.333,-4.664,73.929,293.022,57.129,219.093,N07-Pun,N24-Dha
1355829.5,-4.742,76.39,293.189,57.174,216.799,N07-Pun,N24-Dha
1355829.667,-4.81,78.852,293.356,57.223,214.50400000000002,N07-Pun,N24-Dha
1355829.833,-4.869,81.316,293.52299999999997,57.277,212.207,N07-Pun,N24-Dha
1355830.0,-4.919,83.78,293.69,57.336000000000006,209.91,N07-Pun,N24-Dha
1355830.167,-4.96,86.245,293.857,57.4,207.612,N08-Pus,N24-Dha
1355830.333,-4.9910000000000005,88.708,294.024,57.468,205.31599999999997,N08-Pus,N24-Dha
1355830.5,-5.013,91.17,294.191,57.541000000000004,203.021,N08-Pus,N24-Dha
1355830.667,-5.026,93.63,294.35900000000004,57.617,200.729,N08-Pus,N24-Dha
1355830.833,-5.029,96.087,294.526,57.698,198.43900000000002,N08-Pus,N24-Dha
1355831.0,-5.023,98.542,294.693,57.783,196.15099999999998,N09-Asl,N24-Dha
1355831.167,-5.008,100.992,294.86,57.872,193.868,N09-Asl,N24-Dha
1355831.333,-4.9830000000000005,103.43700000000001,295.027,57.964,191.59,N09-Asl,N24-Dha
1355831.5,-4.95,105.87799999999999,295.194,58.059,189.31599999999997,N10-Mag,N24-Dha
1355831.667,-4.907,108.31299999999999,295.361,58.158,187.048,N10-Mag,N24-Dha
1355831.833,-4.856,110.741,295.527,58.26,184.78599999999997,N10-Mag,N24-Dha
1355832.0,-4.796,113.162,295.694,58.365,182.532,N10-Mag,N24-Dha
1355832.167,-4.728,115.57600000000001,295.861,58.472,180.285,N10-Mag,N24-Dha
1355832.333,-4.652,117.98299999999999,296.028,58.583,178.045,N11-PPal,N24-Dha
1355832.5,-4.5680000000000005,120.38,296.195,58.695,175.815,N11-PPal,N24-Dha
1355832.667,-4.477,122.76899999999999,296.362,58.81,173.593,N11-PPal,N24-Dha
1355832.833,-4.378,125.148,296.529,58.926,171.38099999999997,N11-PPal,N24-Dha
1355833.0,-4.272,127.51799999999999,296.69599999999997,59.045,169.178,N11-PPal,N24-Dha
1355833.167,-4.159,129.878,296.862,59.165,166.984,N11-PPal,N24-Dha
1355833.333,-4.04,132.227,297.029,59.286,164.80200000000002,N12-UPal,N24-Dha
1355833.5,-3.915,134.565,297.19599999999997,59.409,162.631,N12-UPal,N24-Dha
1355833.667,-3.784,136.893,297.363,59.533,160.47,N12-UPal,N24-Dha
1355833.833,-3.647,139.209,297.53,59.657,158.321,N12-UPal,N24-Dha
1355834.0,-3.505,141.514,297.69599999999997,59.782,156.18200000000002,N12-UPal,N24-Dha
1355834.167,-3.358,143.80700000000002,297.863,59.908,154.056,N12-UPal,N24-Dha
1355834.333,-3.2060000000000004,146.088,298.03,60.034,151.942,N12-UPal,N24-Dha
1355834.5,-3.05,148.357,298.19599999999997,60.16,149.839,N12-UPal,N24-Dha
1355834.667,-2.891,150.615,298.363,60.285,147.748,N13-Has,N24-Dha
1355834.833,-2.727,152.86,298.53,60.411,145.67,N13-Has,N24-Dha
1355835.0,-2.5610000000000004,155.094,298.69599999999997,60.536,143.602,N13-Has,N24-Dha
1355835.167,-2.391,157.315,298.863,60.66,141.548,N13-Has,N24-Dha
1355835.333,-2.219,159.525,299.03,60.784,139.505,N13-Has,N24-Dha
1355835.5,-2.044,161.72299999999998,299.19599999999997,60.907,137.47299999999998,N13-Has,N24-Dha
1355835.667,-1.867,163.90900000000002,299.363,61.028,135.454,N14-Chi,N25-Sha
1355835.833,-1.6880000000000002,166.083,299.529,61.148,133.446,N14-Chi,N25-Sha
1355836.0,-1.508,168.24599999999998,299.69599999999997,61.266999999999996,131.45,N14-Chi,N25-Sha
1355836.167,-1.3259999999999998,170.398,299.862,61.38399999999999,129.464,N14-Chi,N25-Sha
1355836.333,-1.143,172.53900000000002,300.029,61.498999999999995,127.49,N14-Chi,N25-Sha
1355836.5,-0.96,174.669,300.195,61.613,125.52600000000001,N14-Chi,N25-Sha
1355836.667,-0.7759999999999999,176.78799999999998,300.362,61.724,123.574,N15-Swa,N25-Sha
1355836.833,-0.5920000000000001,178.898,300.528,61.833,121.63,N15-Swa,N25-Sha
1355837.0,-0.408,180.997,300.695,61.94,119.698,N15-Swa,N25-Sha
1355837.167,-0.22399999999999998,183.08700000000002,300.861,62.044,117.774,N15-Swa,N25-Sha
1355837.333,-0.04,185.167,301.028,62.146,115.861,N16-Vis,N25-Sha
1355837.5,0.14300000000000002,187.239,301.194,62.245,113.955,N16-Vis,N25-Sha
1355837.667,0.325,189.30200000000002,301.361,62.341,112.059,N16-Vis,N25-Sha
1355837.833,0.506,191.356,301.527,62.434,110.171,N16-Vis,N25-Sha
