oid,V,ra,dec,Main identifier,ids
1136978,3.1,133.84844223,5.945565383333333,* zet Hya,HIP  43813::WEB  8426::Gaia DR2 583588100208201984::PLX 2134::* zet Hya::*  16 Hya::AG+06 1155::BD+06  2060::EIC   224::FK5  334::GC 12327::GCRV  5866::GEN# +1.00076294::GSC 00225-01116::HD  76294::HIC  43813::HIP  43813::HR  3547::IRAS 08527+0608::IRC +10196::JP11  1732::N30 2096::PMC 90-93   242::PPM 155196::RAFGL 1299::ROT  1402::SAO 117264::SKY# 17200::TD1 13277::TYC  225-1116-1::UBV    8636::UBV M  14894::YZ   6  4871::2MASS J08552362+0556441::PLX 2134.00
1689590,1.4,152.09296243828146,11.967208776100023,* alf Leo,HIP  49669::NAME Regulus::WEB  9160::PLX 2384::LSPM J1008+1158::ASCC  949713::USNO-B1.0 1019-00203254::* alf Leo::*  32 Leo::2E  2231::ADS  7654 A::AG+12 1199::BD+12  2149::CCDM J10083+1159A::CSI+12  2149  1::CSV 101099::FK5  380::GC 13926::GCRV  6417::GEN# +1.00087901A::GJ  9316 A::HD  87901::HGAM    596::HIC  49669::HIP  49669::HR  3982::IRAS 10056+1212::IRC +10226::JP11  1896::LTT 12716::N30 2414::NAME Regulus::NLTT 23490::NSV  4750::PMC 90-93   274::PPM 127140::RAFGL 4771S::ROT  1536::SAO  98967::SKY# 19511::SRS  30380::SV* ZI   793::TD1 14585::UBV    9452::UBV M  15960::YPAC  43::[HFE83]  708::uvby98 100087901 A::2MASS J10082229+1158018::WDS J10084+1158A::2E 1005.5+1213::TYC  833-1381-1::PMSC 10030+1227A::** STF 5006A
1785786,2.53,168.52708926588556,20.523718139047475,* del Leo,HIP  54872::NAME Zosma::WEB  9902::PLX 2614::LSPM J1114+2031::ASCC  776748::USNO-B1.0 1105-00197091::* del Leo::*  68 Leo::AG+20 1243::BD+21  2298::BDS  5709 A::CCDM J11141+2032A::CSI+21  2298  1::CSV 101190::FK5  422::GC 15438::GCRV  6892::GEN# +1.00097603::GJ   419::HD  97603::HGAM    602::HIC  54872::HIP  54872::HR  4357::IDS 11088+2104 A::IRC +20226::JP11  2038::LTT 13027::N30 2637::NLTT 26691::NSV  5143::PMC 90-93   304::PPM 100996::ROT  1671::SAO  81727::SKY# 21407::SRS  30422::SV* ZI   877::TD1 15474::UBV   10242::UBV M  16901::YPAC  46::uvby98 100097603::2MASS J11140651+2031258::PLX 2614.00::WDS J11141+2031A::TYC 1439-2479-1::NAME Zosma
1863953,2.13,177.26490975591017,14.572058064829658,* bet Leo,HIP  57632::NAME Denebola::uvby98 100102647::WEB 10349::PLX 2738::LSPM J1149+1434::ASCC  952815::2MASS J11490366+1434197::USNO-B1.0 1045-00205720::* bet Leo::*  94 Leo::ADS  8314 A::AG+14 1239::BD+15  2383::CCDM J11490+1433A::CSI+15  2383  1::CSV 101225::Ci 20  663::FK5  444::GC 16189::GCRV  7151::GEN# +1.00102647::GJ   448.0::GJ   448::HD 102647::HGAM    606::HIC  57632::HIP  57632::HR  4534::IDS 11440+1508 A::IRAS 11464+1451::IRC +10247::JP11  2102::LFT  853::LHS  2462::LTT 13249::N30 2755::NAME Denebola::NLTT 28642::NSV  5349::PM 11465+1451::PMC 90-93   319::PPM 128576::ROT  1752::SAO  99809::SKY# 22318::SV* ZI   900::TD1 15885::UBV   10637::UBV M  17408::V* bet Leo::[HFE83]  827::PLX 2738.00::WDS J11491+1434A::TYC  870-988-1
1946342,2.94,187.46606318416664,-16.515431261666667,* del Crv,HIP  60965::NAME Algorab::WEB 10850::Gaia DR2 3520586071216143488::PLX 2880::* del Crv::*   7 Crv::ADS  8572 A::BD-15  3482::CCDM J12299-1631A::CEL   4116::CSV 101281::FK5  465::GC 17029::GCRV  7515::GEN# +1.00108767A::HD 108767::HIC  60965::HIP  60965::HR  4757::IDS 12247-1558 A::IRAS 12272-1614::IRAS F12272-1614::IRC -20238::JP11  2224::LTT  4742::N30 2888::NLTT 30918::NSV  5656::PMC 90-93   331::PPM 225920::ROT  1830::SACS 270::SAO 157323::SKY# 23365::SV* ZI   940::TD1 16305::UBV   11226::uvby98 100108767 A::2MASS J12295187-1630552::PLX 2880.00::WDS J12299-1631A::TYC 6103-2395-1::** SHJ  145A::NAME Algorab
2140887,0.97,201.2982473615632,-11.161319485111932,* alf Vir,HIP  65474::NAME Spica::uvby98 100116658::WEB 11556::PLX 3063::SBC9 766::IRAS 13225-1054::AKARI-IRC-V1 J1325115-110940::* alf Vir::*  67 Vir::2E  3039::2RE J132508-111117::2RE J1325-111::BD-10  3672::CCDM J13252-1109A::CSI-10  3672  1::FK5  498::GC 18144::GCRV  7963::GEN# +1.00116658::GSC 05547-01518::HD 116658::HGAM    623::HIC  65474::HIP  65474::HR  5056::IDS 13200-1038 A::IRC -10286::JP11  2392::MCW  553::N30 3066::NAME Spica::PMC 90-93   354::PPM 227262::RAFGL 1622::RBS  1263::RE J132512-110856::RE J1325-110::ROT  1963::SACS 290::SAO 157923::SBC7   487::SKY# 24751::TD1 16831::TYC 5547-1518-1::UBV   12103::UBV M  19362::V* alf Vir::2MASS J13251158-1109404::ALS 14813::1ES 1322-10.8::1RXS J132511.6-110932::2E 1322.5-1053::EUVE J1325-11.1::RX J1325.2-1109::WDS J13252-1110A::PMSC 13199-1038Aabcd
2252964,-0.05,213.915300294925,19.1824091615312,* alf Boo,HIP  69673::NAME Arcturus::WEB 12132::PLX 3242::LSPM J1415+1910::NLTT 36756::TYC 1472-1436-1::ASCC  870215::USNO-B1.0 1091-00221874::* alf Boo::*  16 Boo::AAVSO 1411+19::AG+19 1335::BD+19  2777::CSV 101433::Ci 20  843::FK5  526::GC 19242::GCRV  8341::GEN# +1.00124897::GJ   541::HD 124897::HIC  69673::HIP  69673::HR  5340::IRAS 14133+1925::IRC +20270::JP11  2486::LFT 1084::LHS    48::LTT 14184::N30 3229::NAME Arcturus::NSV  6603::PM 14134+1927::PM 14134-1927::PMC 90-93   376::PPM 130442::RAFGL 1693::ROT  2044::SAO 100944::SKY# 26028::SRS  30526::SV* ZI  1054::TD1 17351::UBV   12551::UBV M  20076::USNO 850::YPAC  52::[HFE83] 1018::uvby98 100124897::2MASS J14153968+1910558::PLX 3242.00::GAT 1341::** HDS 2003A::WDS J14157+1911A::CCDM J14157+1911A
2309078,2.75,222.7196378915803,-16.041776519834446,* alf02 Lib,HIP  72622::NAME Zubenelgenubi::WEB 12484::PLX 3351::*   9 Lib::* alf02 Lib::BD-15  3966::BDS  7018 A::CCDM J14508-1602A::FK5  548::GC 19975::GCRV  8623::GEN# +1.00130841::GJ   564.1::GJ  9499::GSC 06155-01210::HD 130841::HIC  72622::HIP  72622::HR  5531::IDS 14453-1537 A::IRAS 14481-1550::IRC -20271::JP11  2543::N30 3351::NSV  6827::PMC 90-93   389::PPM 229372::ROT  2118::SACS 320::SAO 158840::SKY# 26964::TYC 6155-1210-1::UBV   12928::UBV M  20396::uvby98 100130841::2MASS J14505274-1602302::PLX 3351.00::WDS J14509-1603A::Renson 37210::* alf Lib A::NAME Zubenelgenubi
2482381,2.32,240.08335534565887,-22.621706426005783,* del Sco,HIP  78401::NAME Dschubba::WEB 13251::SBC9 1837::*   7 Sco::* del Sco::2E  3547::AAVSO 1554-22::BD-22  4068::CD-22 11292::CEL   4410::CPD-22  6106::FK5  594::GC 21489::GCRV  9202::GEN# +1.00143275::GSC 06779-02194::HD 143275::HGAM   2047::HIC  78401::HIP  78401::HR  5953::IRAS 15573-2228::IRC -20303::JP11  2695::MCW  556::N30 3589::PMC 90-93   424::PPM 264979::ROT  2261::SAO 184014::SKY# 28887::SRS  30594::TD1 18743::TYC 6779-2194-1::UBV M  21080::UBV   13563::USco 45::[B10]  4066::[SC96] Oph  24::uvby98 100143275::2MASS J16002000-2237180::ALS 14815::1RXS J160018.3-223707::2E 1557.3-2228::EUVE J1600-22.6::RX J160022.9-223724::WDS J16003-2237AB::V* del Sco::** LAB    3::PMSC 15544-2220Aabc::CCDM J16003-2237AB::NAME Dschubba
2401703,0.91,247.3519154198264,-26.432002611950832,* alf Sco,HIP  80763::NAME Antares::PLX 3741::* alf Sco::*  21 Sco::CD-26 11359::CMC  184415::CPD-26  5648::CSI-26 11359 21::Elia 2-74::FK5  616::GC 22157::GCRV  9479::GEN# +1.00148478::GEN# +1.00148479J::GSC 06803-02158::HIC  80763::HIP  80763::HR  6134::IRAS 16262-2619::IRC -30265::N30 3686::NAME Antares::PMC 90-93   439::PPM 265579::RAFGL 1863::ROT  2345::SAO 184415::SKY# 29714::SRS  30616::UBV M  21449::CCDM J16294-2626AB::WDS J16294-2626AB::ADS 10074 AB::CSI-26 11359 23::IDS 16233-2613 AB::TD1 19208::UBV   21661::** GNT    1AB::2MASS J16292443-2625549::Ced 132::DG 141::LBN  1108::LBN 351.88+15.11::GN 16.26.3::VDB 107
2347504,1.62,263.40216718438023,-37.10382355111976,* lam Sco,HIP  85927::NAME Shaula::uvby98 100158926::WEB 14501::*  35 Sco::* lam Sco::CCDM J17336-3706A::CD-37 11673::CPC 18  8791::CPD-37  7265::CSI-37 11673 21::FK5  652::GC 23769::GCRV 10136::GEN# +1.00158926::GSC 07388-01093::HD 158926::HIC  85927::HIP  85927::HR  6527::IDS 17268-3702 A::IRAS 17302-3704::JP11  2862::N30 3905::NAME Shaula::PMC 90-93   462::PPM 296488::ROT  2459::SACS 383::SAO 208954::SKY# 31695::SRS  30652::TD1 20577::TYC 7388-1093-1::UBV M  22240::UBV   14937::V* lam Sco::[B10]  4439::[SC95] ZET 456::[SC96] Mis  521::[SC96] GC  99::2MASS J17333652-3706135::ALS 15082::1E 1730.2-3704::1RXS J173336.7-370604::EUVE J1733-37.1::WDS J17336-3706A::WDS J17336-3706Aa,Ab::** TNG    1::** SEE  334A::** DUN  218A::WD 1730-370
2371233,1.85,276.0429933505963,-34.38461648586744,* eps Sgr,HIP  90185::NAME Kaus Australis::WEB 15421::PLX 4222::* eps Sgr::*  20 Sgr::2E  4062::CCDM J18242-3423A::CD-34 12784::CPC 17  9906::CSI-34 12784 21::FK5  689::GC 25100::GCRV 10865::GEN# +1.00169022::GSC 07401-03471::HD 169022::HIC  90185::HIP  90185::HR  6879::IDS 18175-3427 A::JP11  2965::N30 4084::NAME Kaus Australis::PMC 90-93   491::PPM 297655::SAO 210091::SKY# 33590::SRS  30689::TYC 7401-3471-1::UBV M  22887::UBV   15626::[SC95] M 591::[SC96] GC 585::[SC96] Mis 1335::uvby98 100169022::ALS 15808::PLX 4222.00::2E 1820.8-3424::EUVE J1824-34.3::IRAS 18208-3424::** GOL    2::WDS J18242-3423AC::** SEE  351A::1RXS J182410.8-342259::2MASS J18241032-3423046
2900336,0.03,279.234734787025,38.783688956244,* alf Lyr,HIP  91262::NAME Vega::uvby98 100172167::WEB 15681::PLX 4293::LSPM J1836+3847::ASCC  507896::2MASS J18365633+3847012::USNO-B1.0 1287-00305764::* alf Lyr::*   3 Lyr::8pc 128.93::ADS 11510 A::AG+38 1711::BD+38  3238::CCDM J18369+3847A::CEL   4636::CSI+38  3238  1::CSV 101745::FK5  699::GC 25466::GCRV 11085::GEN# +1.00172167::GJ   721::HD 172167::HGAM    706::HIC  91262::HIP  91262::HR  7001::IDS 18336+3841 A::IRAS 18352+3844::IRC +40322::JP11  2999::LTT 15486::N30 4138::NAME Vega::NLTT 46746::NSV 11128::PMC 90-93   496::PPM  81558::RAFGL 2208::ROT  2633::SAO  67174::SKY# 34103::TD1 22883::UBV   15842::UBV M  23118::USNO 882::V* alf Lyr::Zkh 277::[HFE83] 1223::PLX 4293.00::1E 183515+3844.3::EUVE J1836+38.7::WDS J18369+3846A::TYC 3105-2070-1::GJ   721.0::GAT 1285::JCMTSF J183656.4+384709::JCMTSE J183656.4+384709::IRAS F18352+3844::AKARI-IRC-V1 J1836564+384703::WISE J183656.49+384703.9::EQ 183456.7+384615.4
2503532,2.067,283.81636040649323,-26.29672411476388,* sig Sgr,HIP  92855::NAME Nunki::WEB 16074::* sig Sgr::*  34 Sgr::CCDM J18552-2618A::CD-26 13595::CPD-26  6590::FK5  706::GC 25941::GCRV 11359::GEN# +1.00175191::GSC 06868-01829::HD 175191::HIC  92855::HIP  92855::HR  7121::IDS 18491-2625 A::IRAS 18521-2621::IRC -30396::JP11  3036::N30 4193::NAME Nunki::PMC 90-93   501::PPM 269078::ROT  2679::SAO 187448::SKY# 34848::SRS  30706::TD1 23447::TYC 6868-1829-1::UBV   16048::UBV M  23293::[B10]  4784::uvby98 100175191 A::2MASS J18551592-2617481::ALS 15063::PLX 4365.01::WDS J18553-2618Aa,Ab
2708379,0.76,297.69582729638694,8.868321196436963,* alf Aql,HIP  97649::NAME Altair::WEB 17173::PLX 4665::LSPM J1950+0852::ASCC 1075038::USNO-B1.0 0988-00511792::* alf Aql::*  53 Aql::2E  4294::8pc 194.44::ADS 13009 A::AG+08 2636::BD+08  4236::CCDM J19508+0852A::CSI+08  4236  1::Ci 20 1169::FK5  745::GAT  549::GC 27470::GCRV 12193::GEN# +1.00187642::GJ   768::HD 187642::HIC  97649::HIP  97649::HR  7557::IDS 19459+0836 A::IRAS 19483+0844::IRC +10441::JP11  3142::LFT 1499::LHS  3490::LTT 15795::N30 4388::NAME Altair::NLTT 48314::NSV 24910::PM 19484+0844::PMC 90-93   530::PPM 168779::RAFGL 2463::ROT  2857::SAO 125122::SKY# 37134::TD1 25537::UBV M  24205::UBV   16885::USNO 891::Zkh 297::uvby98 100187642::2MASS J19504698+0852060::PLX 4665.00::1ES 1948+08.7::2E 1948.3+0844::1RXS J195047.0+085159::WDS J19508+0852A::TYC 1058-3399-1::GSC 01058-03399::V* alf Aql::AKARI-FIS-V1 J1950472+085209::2XMMi J195047.1+085208
2775644,3.8,309.90953000375,15.91207326,* alf Del,HIP 101958::NAME Sualocin::NAME Svalocin::WEB 18427::Gaia DR2 1810711143450256128::PLX 4923::* alf Del::*   9 Del::AG+15 2267::BD+15  4222::CSI+15  4222  1::FK5  774::GC 28780::GCRV 12943::GEN# +1.00196867::GSC 01633-02442::HD 196867::HGAM    941::HIC 101958::HIP 101958::HR  7906::JP11  3262::N30 4569::PMC 90-93   545::PPM 138790::ROT  3015::SAO 106357::SKY# 39141::SRS  30774::TD1 27089::NAME Sualocin::TYC 1633-2442-1::UBV   17924::UBV M  25064::YZ  15  8312::ALS 15096::WDS J20396+1555Aa,Ab::** WCK    2::ADS 14121 AG::CCDM J20396+1555AG::IDS 20350+1534 AG::WDS J20396+1555A::** BU  298A::** HJ 1554A::AKARI-IRC-V1 J2039383+155443::IRAS 20373+1544::WISE J203938.34+155443.5::IRAS F20373+1544::2MASS J20393829+1554433::NAME Svalocin
1363564,3.834,335.4140599894978,-1.3873380586389,* gam Aqr,HIP 110395::NAME Sadachbia::WEB 19798::Gaia DR2 2677558895240612992::PLX 5407::* gam Aqr::*  48 Aqr::ADS 15864 A::AG-01 2732::BD-02  5741::CCDM J22217-0123A::CSI-02  5741  1::FK5  842::GC 31257::GCRV 14062::GEN# +1.00212061::GSC 05226-01606::HD 212061::HGAM   1061::HIC 110395::HIP 110395::HR  8518::IDS 22165-0153 A::JP11  3475::N30 4927::PMC 90-93   590::PPM 181446::ROT  3254::SAO 146044::SKY# 42583::TD1 29003::TYC 5226-1606-1::UBV   19127::UBV M  26339::YZ  91  7780::uvby98 100212061::2MASS J22213936-0123145::ALS 16209::PLX 5407.00::WDS J22217-0123A::GJ  9779::1RXS J222140.1-012310::NAME Sadachbia::IRAS 22190-0138::AKARI-IRC-V1 J2221394-012314
1447433,2.48,346.19022269142596,15.205267147927536,* alf Peg,HIP 113963::NAME Markab::WEB 20238::PLX 5587::* alf Peg::*  54 Peg::AAVSO 2259+14B::AG+14 2576::BD+14  4926::FK5  871::GC 32149::GCRV 14477::GEN# +1.00218045::HD 218045::HGAM   1114::HIC 113963::HIP 113963::HR  8781::IRAS 23022+1456::IRC +10526::JP11  3581::N30 5074::NAME Markab::PMC 90-93   614::PPM 142158::ROT  3360::SAO 108378::SKY# 43805::SRS  30871::TD1 29586::UBV   19775::UBV M  26811::uvby98 100218045::2MASS J23044565+1512191::ALS 16176::PLX 5587.00::TYC 1711-2475-1
