gname,nid,nnid,tag,sname,hip,naks,enaks,daivata,raJ2000,decJ2000,lonJ2000,latJ2000,hr_daynum_kuru,hr_jd_kuru,hr_utc_kuru,hr_az_kuru,hr_alt_kuru
ζ Leo,N10-Mag,10,rep,Adhafera,HIP 50335,मघा,Maghā,Pitṛ,154.17,23.42,147.57,11.86,182,1063805.49,-1800-07-01 23:50:51.703,53.65,7.55
α Leo,N10-Mag,10,other,Regulus,HIP 49669,मघा,Maghā,Pitṛ,152.09,11.97,149.83,0.46,190,1063813.50,-1800-07-09 23:54:49.780,66.67,7.18
γ Leo,N10-Mag,10,other,Algieba,HIP 50583,मघा,Maghā,Pitṛ,154.99,19.84,149.61,8.81,186,1063809.49,-1800-07-05 23:52:39.920,57.28,7.54
ε Leo,N10-Mag,10,other,Algenubi,HIP 47908,मघा,Maghā,Pitṛ,146.46,23.77,140.71,9.71,176,1063799.49,-1800-06-25 23:48:41.844,56.21,7.74
η Leo,N10-Mag,10,other,Al Jabah,HIP 49583,मघा,Maghā,Pitṛ,151.83,16.76,147.91,4.87,186,1063809.49,-1800-07-05 23:52:39.920,61.60,7.30
μ Leo,N10-Mag,10,other,Rasalas,HIP 48455,मघा,Maghā,Pitṛ,148.19,26.01,141.43,12.35,175,1063798.49,-1800-06-24 23:48:20.200,53.12,7.70
δ Leo,N11-PPal,11,rep,Zosma,HIP 54872,पूर्वफल्गुनी,P Phalgunī,Bhaga,168.53,20.52,161.32,14.33,196,1063819.50,-1800-07-15 23:58:26.212,52.16,7.39
θ Leo,N11-PPal,11,other,Chertan,HIP 54879,पूर्वफल्गुनी,P Phalgunī,Bhaga,168.56,15.43,163.42,9.67,200,1063823.50,-1800-07-20 00:00:57.715,57.70,7.10
β Leo,N12-UPal,12,rep,Denebola,HIP 57632,उत्तरफल्गुनी,U Phalgunī,Aryaman,177.26,14.57,171.62,12.27,208,1063831.50,-1800-07-28 00:06:22.365,56.54,7.09
* 93 Leo,N12-UPal,12,other,93Leo,HIP 57565,उत्तरफल्गुनी,U Phalgunī,Aryaman,177.00,20.22,168.97,17.31,204,1063827.50,-1800-07-24 00:03:29.218,50.53,7.73
δ Crv,N13-Has,13,rep,Algorab,HIP 60965,हस्त,Hasta,Savitṛ,187.47,-16.52,193.45,-12.20,236,1063859.52,-1800-08-25 00:26:12.745,90.27,7.44
α Crv,N13-Has,13,other,Alchiba,HIP 59199,हस्त,Hasta,Savitṛ,182.10,-24.73,192.24,-21.75,237,1063860.52,-1800-08-26 00:26:56.032,100.52,7.70
β Crv,N13-Has,13,other,Kraz,HIP 61359,हस्त,Hasta,Savitṛ,188.60,-23.40,197.36,-18.04,241,1063864.52,-1800-08-30 00:29:49.178,98.21,7.76
γ Crv,N13-Has,13,other,Gienah,HIP 59803,हस्त,Hasta,Savitṛ,183.95,-17.54,190.72,-14.50,234,1063857.52,-1800-08-23 00:24:46.172,91.94,7.56
ε Crv,N13-Has,13,other,Minkar,HIP 59316,हस्त,Hasta,Savitṛ,182.53,-22.62,191.66,-19.67,236,1063859.52,-1800-08-25 00:26:12.745,98.00,7.66
α Vir,N14-Chi,14,rep,Spica,HIP 65474,चित्रा,Citrā,Tvaṣṭṛ,201.30,-11.16,203.84,-2.05,245,1063868.52,-1800-09-03 00:32:20.681,83.47,7.95
α Boo,N15-Swa,15,rep,Arcturus,HIP 69673,स्वाती,Svātī,Vāyu,213.92,19.18,204.23,30.73,241,1063864.52,-1800-08-30 00:29:49.178,48.54,7.18
α2 Lib,N16-Vis,16,rep,Zubenelgenubi,HIP 72622,विशाखे,Viśākhā,Indrāgnī,222.72,-16.04,225.08,0.33,265,1063888.53,-1800-09-23 00:45:41.483,89.77,7.26
α1 Lib,N16-Vis,16,other,Zubenelgenubi II,HIP 72603,विशाखे,Viśākhā,Indrāgnī,222.67,-16.00,225.02,0.36,265,1063888.53,-1800-09-23 00:45:41.483,89.75,7.32
δ Sco,N17-Anu,17,rep,Dschubba,HIP 78401,अनूराधा,Anūrādhā,Mitra,240.08,-22.62,242.56,-1.99,283,1063906.54,-1800-10-11 00:57:57.355,100.58,7.81
β1 Sco,N17-Anu,17,other,Acrab,HIP 78820,अनूराधा,Anūrādhā,Mitra,241.36,-19.81,243.18,1.01,283,1063906.54,-1800-10-11 00:57:57.355,97.50,7.52
π Sco,N17-Anu,17,other,Fang,HIP 78265,अनूराधा,Anūrādhā,Mitra,239.71,-26.11,242.93,-5.48,283,1063906.54,-1800-10-11 00:57:57.355,104.03,7.03
ω1 Sco,N17-Anu,17,other,Jabhat Acrabi I,HIP 78933,अनूराधा,Anūrādhā,Mitra,241.70,-20.67,243.66,0.22,284,1063907.54,-1800-10-12 00:58:40.641,98.82,7.97
ε Sco,N18-Jye,18,rep,Larawag,HIP 82396,ज्येष्ठा,Jyeṣṭhā,Indra,252.54,-34.29,255.33,-11.74,297,1063920.55,-1800-10-25 01:08:46.653,116.96,7.52
α Sco,N18-Jye,18,other,Antares,HIP 80763,ज्येष्ठा,Jyeṣṭhā,Indra,247.35,-26.43,249.75,-4.57,290,1063913.54,-1800-10-18 01:03:22.004,106.43,7.40
σ Sco,N18-Jye,18,other,Alniyat,HIP 80112,ज्येष्ठा,Jyeṣṭhā,Indra,245.30,-25.59,247.79,-4.04,288,1063911.54,-1800-10-16 01:01:55.431,104.97,7.44
κ Sco,N19-Mul,19,rep,Mula,HIP 86670,मूल,Mūla, Nirṛti,265.62,-39.03,266.46,-15.64,310,1063933.56,-1800-11-07 01:19:57.595,126.79,7.73
ζ2 Sco,N19-Mul,19,other,zet2Sco,HIP 82729,मूल,Mūla, Nirṛti,253.65,-42.36,257.23,-19.64,301,1063924.55,-1800-10-29 01:12:01.443,126.95,7.62
θ Sco,N19-Mul,19,other,Sargas,HIP 86228,मूल,Mūla, Nirṛti,264.33,-43.00,265.59,-19.64,310,1063933.56,-1800-11-07 01:19:57.595,130.90,7.42
ι1 Sco,N19-Mul,19,other,Girtab,HIP 87073,मूल,Mūla, Nirṛti,266.90,-40.13,267.51,-16.71,311,1063934.56,-1800-11-08 01:20:40.882,128.19,7.28
λ Sco,N19-Mul,19,other,Shaula,HIP 85927,मूल,Mūla, Nirṛti,263.40,-37.10,264.58,-13.79,307,1063930.55,-1800-11-04 01:17:04.449,123.44,7.32
ν Sco,N19-Mul,19,other,Lesath,HIP 85696,मूल,Mūla, Nirṛti,262.69,-37.30,264.00,-14.01,307,1063930.55,-1800-11-04 01:17:04.449,123.79,7.81
λ Sgr,N20-PAsh,20,rep,Kaus Borealis,HIP 90496,पूर्वाषाढा,P Aṣāḍhā,Ap,276.99,-25.42,276.31,-2.14,316,1063939.56,-1800-11-13 01:25:00.601,114.92,7.35
γ Sgr,N20-PAsh,20,other,Alnasl,HIP 88635,पूर्वाषाढा,P Aṣāḍhā,Ap,271.45,-30.42,271.25,-6.99,312,1063935.56,-1800-11-09 01:21:24.168,118.39,7.17
δ Sgr,N20-PAsh,20,other,Kaus Media,HIP 89931,पूर्वाषाढा,P Aṣāḍhā,Ap,275.25,-29.83,274.57,-6.47,316,1063939.56,-1800-11-13 01:25:00.601,119.60,7.84
ε Sgr,N20-PAsh,20,other,Kaus Australis,HIP 90185,पूर्वाषाढा,P Aṣāḍhā,Ap,276.04,-34.38,275.07,-11.05,317,1063940.56,-1800-11-14 01:26:05.531,124.56,7.00
τ Sgr,N21-UAsh,21,rep,Namalsadirah II,HIP 93864,उत्तराषाढा,U Aṣāḍhā,Viśvedevā,286.74,-27.67,284.82,-5.09,326,1063949.57,-1800-11-23 01:34:01.683,121.64,7.72
ζ Sgr,N21-UAsh,21,other,Ascella,HIP 93506,उत्तराषाढा,U Aṣāḍhā,Viśvedevā,285.65,-29.88,283.63,-7.18,325,1063948.56,-1800-11-22 01:32:56.754,123.35,7.20
σ Sgr,N21-UAsh,21,other,Nunki,HIP 92855,उत्तराषाढा,U Aṣāḍhā,Viśvedevā,283.82,-26.30,282.38,-3.45,323,1063946.56,-1800-11-20 01:31:08.537,118.90,7.77
φ Sgr,N21-UAsh,21,other,Namalsadirah I,HIP 92041,उत्तराषाढा,U Aṣāḍhā,Viśvedevā,281.41,-26.99,280.17,-3.95,321,1063944.56,-1800-11-18 01:29:41.964,118.82,7.91
α Aql,N22-Shr,22,rep,Altair,HIP 97649,श्रवण,Śravaṇa,Viṣṇu,297.70,8.87,301.77,29.30,330,1063953.57,-1800-11-27 01:37:16.473,85.90,7.50
β Aql,N22-Shr,22,other,Alshain,HIP 98036,श्रवण,Śravaṇa,Viṣṇu,298.83,6.41,302.41,26.66,331,1063954.57,-1800-11-28 01:37:59.760,88.76,7.09
γ Aql,N22-Shr,22,other,Tarazed,HIP 97278,श्रवण,Śravaṇa,Viṣṇu,296.56,10.61,300.93,31.24,329,1063952.57,-1800-11-26 01:36:33.186,83.74,7.80
β Del,N23-Dha,23,rep,Rotanev,HIP 101769,धनिष्ठा,Dhaniṣṭhā,Vasu,309.39,14.60,316.33,31.92,340,1063963.57,-1800-12-07 01:45:12.625,84.24,7.25
α Del,N23-Dha,23,other,Sualocin,HIP 101958,धनिष्ठा,Dhaniṣṭhā,Vasu,309.91,15.91,317.37,33.02,341,1063964.57,-1800-12-08 01:45:55.912,83.40,7.95
