gname,nid,nnid,tag,sname,hip,naks,enaks,daivata,raJ2000,decJ2000,lonJ2000,latJ2000,hr_daynum_kuru,hr_jd_kuru,hr_utc_kuru,hr_az_kuru,hr_alt_kuru
β Ari,N01-Ash,1,rep,Sheratan,HIP 8903,अश्विनी,Aśvayuk,Aśvini,28.66,20.81,33.97,8.49,64,1100211.55,-1700-03-06 01:16:42.806,93.27,7.42
α Ari,N01-Ash,1,other,Hamal,HIP 9884,अश्विनी,Aśvayuk,Aśvini,31.79,23.46,37.66,9.97,66,1100213.55,-1700-03-08 01:14:11.303,90.12,7.46
γ Ari,N01-Ash,1,other,Mesarthim,HIP 8832,अश्विनी,Aśvayuk,Aśvini,28.38,19.29,33.18,7.16,65,1100212.55,-1700-03-07 01:15:37.876,95.07,7.50
* 41 Ari,N02-Bha,2,rep,Bharani,HIP 13209,भरणी,Bharaṇī,Yama,42.50,27.26,48.20,10.45,76,1100223.54,-1700-03-18 01:01:55.431,84.84,7.33
* 39 Ari,N02-Bha,2,other,39Ari,HIP 13061,भरणी,Bharaṇī,Yama,41.98,29.25,48.37,12.48,73,1100220.55,-1700-03-15 01:05:31.864,82.48,7.04
* 35 Ari,N02-Bha,2,other,Barani II,HIP 12719,भरणी,Bharaṇī,Yama,40.86,27.71,46.93,11.31,74,1100221.54,-1700-03-16 01:04:26.934,84.66,7.61
η Tau,N03-Kri,3,rep,Alcyone,HIP 17702,क्रित्तिका,Kṛttikā, Agni,56.87,24.11,59.99,4.05,97,1100244.52,-1700-04-08 00:35:13.828,86.16,7.33
* 17 Tau,N03-Kri,3,other,Electra,HIP 17499,क्रित्तिका,Kṛttikā, Agni,56.22,24.11,59.41,4.19,96,1100243.53,-1700-04-07 00:36:18.758,86.19,7.17
* 19 Tau,N03-Kri,3,other,Taygeta,HIP 17531,क्रित्तिका,Kṛttikā, Agni,56.30,24.47,59.57,4.52,96,1100243.53,-1700-04-07 00:36:18.758,85.87,7.34
* 20 Tau,N03-Kri,3,other,Maia,HIP 17573,क्रित्तिका,Kṛttikā, Agni,56.46,24.37,59.68,4.39,96,1100243.53,-1700-04-07 00:36:18.758,85.85,7.16
* 23 Tau,N03-Kri,3,other,Merope,HIP 17608,क्रित्तिका,Kṛttikā, Agni,56.58,23.95,59.70,3.96,97,1100244.52,-1700-04-08 00:35:13.828,86.45,7.44
* 27 Tau,N03-Kri,3,other,Atlas,HIP 17847,क्रित्तिका,Kṛttikā, Agni,57.29,24.05,60.36,3.92,98,1100245.52,-1700-04-09 00:33:47.255,86.25,7.54
α Tau,N04-Roh,4,rep,Aldebaran,HIP 21421,रोहिणी,Rohiṇī,Prajāpati,68.98,16.51,69.79,-5.47,119,1100266.51,-1700-04-30 00:09:58.798,91.77,7.26
γ Tau,N04-Roh,4,other,Prima Hyadum,HIP 20205,रोहिणी,Rohiṇī,Prajāpati,64.95,15.63,65.81,-5.73,115,1100262.51,-1700-04-26 00:14:18.517,93.68,7.02
δ Tau,N04-Roh,4,other,Secunda Hyadum,HIP 20455,रोहिणी,Rohiṇī,Prajāpati,65.73,17.54,66.87,-3.97,114,1100261.51,-1700-04-25 00:15:23.447,91.39,7.11
ε Tau,N04-Roh,4,other,Ain,HIP 20889,रोहिणी,Rohiṇī,Prajāpati,67.15,19.18,68.47,-2.57,114,1100261.51,-1700-04-25 00:15:23.447,89.26,7.21
θ2 Tau,N04-Roh,4,other,Chamukuy,HIP 20894,रोहिणी,Rohiṇī,Prajāpati,67.17,15.87,67.96,-5.84,118,1100265.51,-1700-04-29 00:11:03.727,93.09,7.48
λ Ori,N05-Mrg,5,rep,Meissa(Heka),HIP 26207,मृगशीर्ष,Mṛgaśira,Soma,83.78,9.93,83.71,-13.37,141,1100288.50,-1700-05-21 23:53:01.563,94.76,7.67
γ Ori,N05-Mrg,5,other,Bellatrix,HIP 25336,मृगशीर्ष,Mṛgaśira,Soma,81.28,6.35,80.95,-16.82,142,1100289.49,-1700-05-22 23:52:18.277,99.45,7.48
α Ori,N05-Mrg,5,other,Betelgeuse,HIP 27989,मृगशीर्ष,Mṛgaśira,Soma,88.79,7.41,88.76,-16.03,148,1100295.49,-1700-05-28 23:49:46.774,95.83,7.76
γ Gem,N06-Ard,6,rep,Alhena(Almeisan),HIP 31681,आर्द्रा,Ārdrā,Rudra,99.43,16.40,99.11,-6.74,148,1100295.49,-1700-05-28 23:49:46.774,81.97,7.33
β Gem,N07-Pun,7,rep,Pollux,HIP 37826,पुनर्वसू,Punarvasu,Aditi,116.33,28.03,113.22,6.68,150,1100297.49,-1700-05-30 23:49:03.487,63.20,7.42
α Gem,N07-Pun,7,other,Castor,HIP 36850,पुनर्वसू,Punarvasu,Aditi,113.65,31.89,110.24,10.10,143,1100290.49,-1700-05-23 23:51:56.633,60.00,7.12
δ Cnc,N08-Pus,8,rep,Asellus Australis,HIP 42911,पुष्य,Puṣya,Bṛhaspati,131.17,18.15,128.72,0.08,171,1100318.49,-1700-06-20 23:47:36.914,67.81,7.33
ζ Hya,N09-Asl,9,rep,Minazal V,HIP 43813,आश्लेषा,Āśleṣā,Sarpa,133.85,5.95,134.58,-10.97,183,1100330.49,-1700-07-02 23:51:34.990,79.83,7.32
δ Hya,N09-Asl,9,other,Minazal I,HIP 42313,आश्लेषा,Āśleṣā,Sarpa,129.41,5.70,130.31,-12.39,180,1100327.49,-1700-06-29 23:50:08.417,81.75,7.25
ε Hya,N09-Asl,9,other,Ashlesha,HIP 43109,आश्लेषा,Āśleṣā,Sarpa,131.69,6.42,132.35,-11.10,181,1100328.49,-1700-06-30 23:50:30.060,80.07,7.18
η Hya,N09-Asl,9,other,Minazal II,HIP 42799,आश्लेषा,Āśleṣā,Sarpa,130.81,3.40,132.31,-14.25,183,1100330.49,-1700-07-02 23:51:34.990,83.82,7.50
ρ Hya,N09-Asl,9,other,Minazal IV,HIP 43234,आश्लेषा,Āśleṣā,Sarpa,132.11,5.84,132.91,-11.55,182,1100329.49,-1700-07-01 23:50:51.703,80.65,7.40
σ Hya,N09-Asl,9,other,Minchir,HIP 42402,आश्लेषा,Āśleṣā,Sarpa,129.69,3.34,131.21,-14.60,182,1100329.49,-1700-07-01 23:50:51.703,84.15,7.19
ζ Leo,N10-Mag,10,rep,Adhafera,HIP 50335,मघा,Maghā,Pitṛ,154.17,23.42,147.57,11.86,183,1100330.49,-1700-07-02 23:51:34.990,53.40,7.00
α Leo,N10-Mag,10,other,Regulus,HIP 49669,मघा,Maghā,Pitṛ,152.09,11.97,149.83,0.46,192,1100339.50,-1700-07-11 23:55:54.709,66.96,7.55
γ Leo,N10-Mag,10,other,Algieba,HIP 50583,मघा,Maghā,Pitṛ,154.99,19.84,149.61,8.81,188,1100335.50,-1700-07-07 23:53:44.850,57.51,7.79
ε Leo,N10-Mag,10,other,Algenubi,HIP 47908,मघा,Maghā,Pitṛ,146.46,23.77,140.71,9.71,177,1100324.49,-1700-06-26 23:49:03.487,55.87,7.17
η Leo,N10-Mag,10,other,Al Jabah,HIP 49583,मघा,Maghā,Pitṛ,151.83,16.76,147.91,4.87,188,1100335.50,-1700-07-07 23:53:44.850,61.85,7.61
μ Leo,N10-Mag,10,other,Rasalas,HIP 48455,मघा,Maghā,Pitṛ,148.19,26.01,141.43,12.35,176,1100323.49,-1700-06-25 23:48:41.844,52.76,7.13
δ Leo,N11-PPal,11,rep,Zosma,HIP 54872,पूर्वफल्गुनी,P Phalgunī,Bhaga,168.53,20.52,161.32,14.33,198,1100345.50,-1700-07-17 23:59:31.142,52.49,7.52
θ Leo,N11-PPal,11,other,Chertan,HIP 54879,पूर्वफल्गुनी,P Phalgunī,Bhaga,168.56,15.43,163.42,9.67,202,1100349.50,-1700-07-22 00:02:02.645,58.09,7.30
β Leo,N12-UPal,12,rep,Denebola,HIP 57632,उत्तरफल्गुनी,U Phalgunī,Aryaman,177.26,14.57,171.62,12.27,210,1100357.51,-1700-07-30 00:07:48.938,57.05,7.33
* 93 Leo,N12-UPal,12,other,93Leo,HIP 57565,उत्तरफल्गुनी,U Phalgunī,Aryaman,177.00,20.22,168.97,17.31,205,1100352.50,-1700-07-25 00:04:12.505,50.51,7.10
δ Crv,N13-Has,13,rep,Algorab,HIP 60965,हस्त,Hasta,Savitṛ,187.47,-16.52,193.45,-12.20,238,1100385.52,-1700-08-27 00:27:17.675,91.00,7.87
α Crv,N13-Has,13,other,Alchiba,HIP 59199,हस्त,Hasta,Savitṛ,182.10,-24.73,192.24,-21.75,238,1100385.52,-1700-08-27 00:27:17.675,100.68,7.17
β Crv,N13-Has,13,other,Kraz,HIP 61359,हस्त,Hasta,Savitṛ,188.60,-23.40,197.36,-18.04,242,1100389.52,-1700-08-31 00:30:10.822,98.40,7.19
γ Crv,N13-Has,13,other,Gienah,HIP 59803,हस्त,Hasta,Savitṛ,183.95,-17.54,190.72,-14.50,235,1100382.52,-1700-08-24 00:25:29.459,92.13,7.06
ε Crv,N13-Has,13,other,Minkar,HIP 59316,हस्त,Hasta,Savitṛ,182.53,-22.62,191.66,-19.67,237,1100384.52,-1700-08-26 00:26:56.032,98.21,7.19
α Vir,N14-Chi,14,rep,Spica,HIP 65474,चित्रा,Citrā,Tvaṣṭṛ,201.30,-11.16,203.84,-2.05,246,1100393.52,-1700-09-04 00:32:42.325,83.70,7.30
α Boo,N15-Swa,15,rep,Arcturus,HIP 69673,स्वाती,Svātī,Vāyu,213.92,19.18,204.23,30.73,243,1100390.52,-1700-09-01 00:30:54.108,49.28,7.31
α2 Lib,N16-Vis,16,rep,Zubenelgenubi,HIP 72622,विशाखे,Viśākhā,Indrāgnī,222.72,-16.04,225.08,0.33,267,1100414.53,-1700-09-25 00:46:46.413,90.62,7.64
α1 Lib,N16-Vis,16,other,Zubenelgenubi II,HIP 72603,विशाखे,Viśākhā,Indrāgnī,222.67,-16.00,225.02,0.36,267,1100414.53,-1700-09-25 00:46:46.413,90.60,7.70
δ Sco,N17-Anu,17,rep,Dschubba,HIP 78401,अनूराधा,Anūrādhā,Mitra,240.08,-22.62,242.56,-1.99,284,1100431.54,-1700-10-12 00:58:18.998,100.85,7.16
β1 Sco,N17-Anu,17,other,Acrab,HIP 78820,अनूराधा,Anūrādhā,Mitra,241.36,-19.81,243.18,1.01,285,1100432.54,-1700-10-13 00:59:02.285,98.36,7.89
