nid	naks	gname	alt	az	lon	lat	salt	saz	slon	vis1	year	day	jd	dt	secs
N19-Mul	Mul	κ Sco	1.29	129.82	231.76	-15.29	-10.56	109.59	249.39	1	-0500	341	1538772.534	-0500-12-06T05:56:21	1004
N20-PAsh	PAsh	λ Sgr	-3.54	113.73	241.65	-1.66	-10.56	109.59	249.39	0	-0500	341	1538772.534	-0500-12-06T05:56:21	1004
N20-PAsh	PAsh	λ Sgr	1.24	116.65	241.65	-1.66	-10.5	110.42	254.49	1	-0500	346	1538777.537	-0500-12-11T06:00:26	1007
N21-UAsh	UAsh	τ Sgr	-8.17	116.34	250.21	-4.62	-10.5	110.42	254.49	0	-0500	346	1538777.537	-0500-12-11T06:00:26	1007
N20-PAsh	PAsh	λ Sgr	5.5	119.71	241.65	-1.66	-10.45	111.02	259.59	1	-0500	351	1538782.539	-0500-12-16T06:04:11	1010
N21-UAsh	UAsh	τ Sgr	-3.38	119.03	250.21	-4.62	-10.45	111.02	259.59	0	-0500	351	1538782.539	-0500-12-16T06:04:11	1010
N21-UAsh	UAsh	τ Sgr	1.03	121.84	250.21	-4.62	-10.42	111.39	264.69	1	-0500	356	1538787.542	-0500-12-21T06:07:31	1013
N21-UAsh	UAsh	τ Sgr	4.88	124.78	250.21	-4.62	-10.41	111.52	269.78	1	-0500	361	1538792.544	-0500-12-26T06:10:20	1015
N22-Shr	Shr	α Aql	6.56	87.13	266.66	29.41	-10.41	111.52	269.78	1	-0500	361	1538792.544	-0500-12-26T06:10:20	1016
N22-Shr	Shr	α Aql	11.26	89.85	266.66	29.41	-10.42	111.41	274.86	0	-0500	366	1538797.545	-0500-12-31T06:12:33	1018
