jd	date	yr	season	rtu	eqnx	sun_lon	sun_naks	moon_lon	moon_naks	moon_phase	moon_sun_diff	sun_न	moon_न	kv_pair	moon_lon_adj	sun_lon_adj	jd_diff	moon_lon_adj_packed	yr_grp	kv_adj
1431047.23	-795-12-21	-795	6	R6-śiśira	False	270.73	N22-Shr/β Aql	90.73	N08-Pus/δ Cnc	1	-180	N22-Shr	N08-Pus	False	90.73	270.73	914.78	90.73	0	
1431962.01	-792-06-23	-792	3	R3-varṣā	False	90.00	N08-Pus/δ Cnc	269.75	N22-Shr/β Aql	1	179	N08-Pus	N22-Shr	False	269.75	90.00	3101.20	134.75	0	
1435063.21	-784-12-19	-784	5	R5-hemanta	False	269.02	N22-Shr/β Aql	89.10	N08-Pus/δ Cnc	1	-179	N22-Shr	N08-Pus	False	89.10	269.02	915.45	89.10	0	
1435978.66	-781-06-23	-781	2	R2-grīṣma	False	89.04	N08-Pus/δ Cnc	268.87	N22-Shr/β Aql	1	179	N08-Pus	N22-Shr	False	268.87	89.04	2008.30	133.87	0	
1437986.96	-776-12-21	-776	6	R6-śiśira	False	270.85	N22-Shr/β Aql	91.27	N09-Asl/δ Hya	1	-179	N22-Shr	N09-Asl	False	91.27	270.85	915.08	91.27	0	
1438902.04	-773-06-24	-773	3	R3-varṣā	False	90.42	N08-Pus/δ Cnc	270.30	N22-Shr/β Aql	1	179	N08-Pus	N22-Shr	False	270.30	90.42	4016.26	135.30	0	
1442918.30	-762-06-22	-762	2	R2-grīṣma	False	89.08	N08-Pus/δ Cnc	268.99	N22-Shr/β Aql	1	179	N08-Pus	N22-Shr	False	268.99	89.08	2007.99	133.99	0	
1444926.29	-757-12-21	-757	6	R6-śiśira	False	270.57	N22-Shr/β Aql	90.46	N08-Pus/δ Cnc	1	-180	N22-Shr	N08-Pus	False	90.46	270.57	915.63	90.46	0	
1445841.92	-754-06-24	-754	3	R3-varṣā	False	90.70	N08-Pus/δ Cnc	270.95	N22-Shr/β Aql	1	180	N08-Pus	N22-Shr	False	270.95	90.70	6023.65	135.95	0	
1451865.57	-738-12-21	-738	6	R6-śiśira	False	270.23	N22-Shr/β Aql	89.64	N08-Pus/δ Cnc	1	-180	N22-Shr	N08-Pus	False	89.64	270.23	915.82	89.64	0	
1452781.39	-735-06-23	-735	3	R3-varṣā	False	90.58	N08-Pus/δ Cnc	270.28	N22-Shr/β Aql	1	179	N08-Pus	N22-Shr	False	270.28	90.58	6023.83	135.28	0	
1458805.22	-719-12-20	-719	6	R6-śiśira	False	270.27	N22-Shr/β Aql	90.28	N08-Pus/δ Cnc	1	-179	N22-Shr	N08-Pus	False	90.28	270.27	915.59	90.28	0	
1459720.81	-716-06-23	-716	3	R3-varṣā	False	90.42	N08-Pus/δ Cnc	271.42	N22-Shr/β Aql	1	181	N08-Pus	N22-Shr	False	271.42	90.42	3100.98	136.42	0	
1462821.79	-708-12-19	-708	5	R5-hemanta	False	269.15	N22-Shr/β Aql	88.67	N08-Pus/δ Cnc	1	-180	N22-Shr	N08-Pus	False	88.67	269.15	2923.33	88.67	0	
1465745.12	-700-12-21	-700	6	R6-śiśira	False	270.55	N22-Shr/β Aql	90.44	N08-Pus/δ Cnc	1	-180	N22-Shr	N08-Pus	False	90.44	270.55	915.05	90.44	0	
1466660.17	-697-06-24	-697	3	R3-varṣā	False	90.20	N08-Pus/δ Cnc	270.29	N22-Shr/β Aql	1	180	N08-Pus	N22-Shr	False	270.29	90.20	3101.63	135.29	0	
1469761.80	-689-12-21	-689	5	R5-hemanta	False	269.55	N22-Shr/β Aql	89.48	N08-Pus/δ Cnc	1	-180	N22-Shr	N08-Pus	False	89.48	269.55	914.84	89.48	0	
1470676.64	-686-06-23	-686	2	R2-grīṣma	False	89.06	N08-Pus/δ Cnc	269.47	N22-Shr/β Aql	1	180	N08-Pus	N22-Shr	False	269.47	89.06	2008.50	134.47	0	
1472685.14	-681-12-22	-681	6	R6-śiśira	False	270.97	N22-Shr/β Aql	90.87	N08-Pus/δ Cnc	1	-180	N22-Shr	N08-Pus	False	90.87	270.97	914.79	90.87	0	
1473599.93	-678-06-24	-678	3	R3-varṣā	False	90.36	N08-Pus/δ Cnc	270.27	N22-Shr/β Aql	1	179	N08-Pus	N22-Shr	False	270.27	90.36	3101.58	135.27	0	
1476701.51	-670-12-21	-670	5	R5-hemanta	False	269.65	N22-Shr/β Aql	89.27	N08-Pus/δ Cnc	1	-180	N22-Shr	N08-Pus	False	89.27	269.65	915.16	89.27	0	
1477616.67	-667-06-23	-667	2	R2-grīṣma	False	89.48	N08-Pus/δ Cnc	269.79	N22-Shr/β Aql	1	180	N08-Pus	N22-Shr	False	269.79	89.48	2923.24	134.79	0	
1480539.91	-659-06-24	-659	3	R3-varṣā	False	90.73	N08-Pus/δ Cnc	270.36	N22-Shr/β Aql	1	179	N08-Pus	N22-Shr	False	270.36	90.73	3101.10	135.36	0	
1483641.01	-651-12-20	-651	5	R5-hemanta	False	269.54	N22-Shr/β Aql	90.10	N08-Pus/δ Cnc	1	-179	N22-Shr	N08-Pus	False	90.10	269.54	915.50	90.10	0	
1484556.51	-648-06-23	-648	2	R2-grīṣma	False	89.72	N08-Pus/δ Cnc	269.56	N22-Shr/β Aql	1	179	N08-Pus	N22-Shr	False	269.56	89.72	6023.76	134.56	0	
1490580.27	-632-12-19	-632	5	R5-hemanta	False	269.18	N22-Shr/β Aql	89.14	N08-Pus/δ Cnc	1	-180	N22-Shr	N08-Pus	False	89.14	269.18	915.83	89.14	0	
1491496.10	-629-06-23	-629	2	R2-grīṣma	False	89.72	N08-Pus/δ Cnc	270.00	N22-Shr/β Aql	1	180	N08-Pus	N22-Shr	False	270.00	89.72	6023.75	135.00	0	
1497519.85	-613-12-20	-613	5	R5-hemanta	False	269.15	N22-Shr/β Aql	89.43	N08-Pus/δ Cnc	1	-179	N22-Shr	N08-Pus	False	89.43	269.15	915.51	89.43	0	
1498435.36	-610-06-22	-610	2	R2-grīṣma	False	89.40	N08-Pus/δ Cnc	269.16	N22-Shr/β Aql	1	179	N08-Pus	N22-Shr	False	269.16	89.40	2008.02	134.16	0	
1500443.38	-605-12-21	-605	6	R6-śiśira	False	270.76	N22-Shr/β Aql	90.54	N08-Pus/δ Cnc	1	-180	N22-Shr	N08-Pus	False	90.54	270.76		90.54	0	
