yr	jd	season	sun_lon	moon_lon	moon_naks	moon_phase	sun_न	moon_न	moon_lon_adj	sun_lon_adj	jd_diff	kv_pair	moon_lon_adj_packed	yr_grp	kv_adj
-2398	844924.01	1	0.28	180.06	N17-Anu/δ Sco	1	N04-Roh	N17-Anu	180.06	0.28	915.66	False	45.06	0	
-2396	845839.67	4	180.86	0.31	N04-Roh/γ Tau	1	N17-Anu	N04-Roh	0.31	180.86	176.69	False	0.31	0	
-2395	846016.36	1	357.06	177.00	N17-Anu/δ Sco	1	N03-Kri	N17-Anu	177.00	-2.94	1831.44	False	42.00	0	
-2390	847847.80	1	2.05	181.86	N17-Anu/δ Sco	1	N04-Roh	N17-Anu	181.86	2.05	915.40	False	46.86	0	
-2388	848763.20	4	182.47	2.47	N04-Roh/γ Tau	1	N17-Anu	N04-Roh	2.47	182.47	176.53	False	2.47	0	
-2387	848939.73	1	358.42	177.65	N17-Anu/δ Sco	1	N03-Kri	N17-Anu	177.65	-1.58	915.64	False	42.65	0	
-2385	849855.37	4	178.85	358.61	N03-Kri/* 17 Tau	1	N17-Anu	N03-Kri	-1.39	178.85	2007.97	False	-1.39	0	
-2379	851863.34	1	0.03	179.53	N17-Anu/δ Sco	1	N04-Roh	N17-Anu	179.53	0.03	915.82	False	44.53	0	
-2377	852779.16	4	180.73	0.48	N04-Roh/γ Tau	1	N17-Anu	N04-Roh	0.48	180.73	177.19	False	0.48	0	
-2376	852956.35	1	357.43	177.17	N17-Anu/δ Sco	1	N03-Kri	N17-Anu	177.17	-2.57	1830.75	False	42.17	0	
-2371	854787.10	1	1.75	181.57	N17-Anu/δ Sco	1	N04-Roh	N17-Anu	181.57	1.75	915.72	False	46.57	0	
-2369	855702.81	4	182.47	1.57	N04-Roh/γ Tau	1	N17-Anu	N04-Roh	1.57	182.47	176.83	False	1.57	0	
-2368	855879.65	1	358.73	178.55	N17-Anu/δ Sco	1	N03-Kri	N17-Anu	178.55	-1.27	915.10	False	43.55	0	
-2366	856794.75	4	178.61	358.20	N03-Kri/* 17 Tau	1	N17-Anu	N03-Kri	-1.80	178.61	2008.35	False	-1.80	0	
-2360	858803.10	1	0.18	181.13	N17-Anu/δ Sco	1	N03-Kri	N17-Anu	181.13	0.18	915.36	False	46.13	0	
-2358	859718.46	4	180.41	0.23	N03-Kri/* 27 Tau	1	N17-Anu	N03-Kri	0.23	180.41	177.91	False	0.23	0	
-2357	859896.37	1	357.84	177.86	N17-Anu/δ Sco	1	N03-Kri	N17-Anu	177.86	-2.16	914.77	False	42.86	0	
-2355	860811.14	4	177.30	357.08	N03-Kri/* 17 Tau	1	N17-Anu	N03-Kri	-2.92	177.30	915.38	False	-2.92	0	
-2352	861726.53	1	1.60	181.37	N17-Anu/δ Sco	1	N03-Kri	N17-Anu	181.37	1.60	915.72	False	46.37	0	
-2350	862642.24	4	182.28	2.02	N03-Kri/* 27 Tau	1	N17-Anu	N03-Kri	2.02	182.28	177.43	False	2.02	0	
-2349	862819.67	1	359.14	178.96	N17-Anu/δ Sco	1	N03-Kri	N17-Anu	178.96	-0.86	914.84	False	43.96	0	
