iter	fits	jd	sun_ra	sun_dec	sun_lon	sun_lat	moon_ra	moon_dec	moon_lon	moon_lat	phase	jd_diff	yr	stel_jd	sun_naks	moon_naks	eqnx_1_tol	eqnx_2_tol	eqnx_3_tol	eqnx_4_tol	sun_न	moon_न	moon_phase	_season	season
3	-01999-02-11T12:31:59.234	990982.022213357	16.793011031911053	7.284087589041685	322.874990446073	0.0067592937588266	198.67960203235825	-2.8835944503519326	142.89942539950314	4.7774547885792185	180.02602058365522	29.344332935172133	-1998	990965.0222106482	N27-Rev/ε Psc	N13-Has/β Crv	False	False	False	False	N27-Rev	N13-Has	1	0	0
2	-01999-03-12T20:47:49.600	991011.3665462922	44.065261964426576	17.16389707100036	351.25820195897023	0.0098247042770093	224.57509873509923	-12.172191855975358	170.2664982108007	4.908368299684471	179.01506978920352	29.523824985022657	-1998	990994.366539352	N02-Bha/* 35 Ari	N16-Vis/α2 Lib	False	False	False	False	N02-Bha	N16-Vis	1	1	1
3	-01999-04-11T09:22:08.078	991040.8903712772	73.49067622208347	23.089282260957127	19.464548858974084	0.0106560904827328	253.58284120620564	-19.319982350103203	199.1021786242028	3.743031871942442	179.6480719332399	29.50719066138845	-1998	991023.8903703704	N04-Roh/α Tau	N18-Jye/ε Sco	False	False	False	False	N04-Roh	N18-Jye	1	1	1
3	-01999-05-10T21:32:29.351	991070.3975619386	104.07557055990604	23.349532199249307	47.52171104726593	0.0091490843984465	283.0203615989127	-21.76577234606089	226.68960821051127	1.659624955942575	179.17941402928523	29.680326035479084	-1998	991053.3975578704	N06-Ard/γ Gem	N21-UAsh/σ Sgr	False	False	False	False	N06-Ard	N21-UAsh	1	2	2
4	-01999-06-09T13:52:09.521	991100.077887974	133.8194272340247	17.82288444929343	75.85596981293028	0.0056341940332974	313.8846566874535	-18.80776314916851	255.62872542330243	-0.9682783690556442	179.78270569473045	29.67517072777264	-1998	991083.0778819444	N09-Asl/σ Hya	N23-Dha/β Del	False	False	False	False	N09-Asl	N23-Dha	1	2	2
4	-01999-07-09T06:04:24.272	991129.753058702	161.53046785978557	8.06255919819435	104.52359377596184	0.0009116538115568	342.5984068005266	-11.202150229836365	284.2749165704009	-3.303673975766225	179.7572257669051	29.69603956129868	-1998	991112.7530555556	N11-PPal/δ Leo	N24-Sha/λ Aqr	False	False	False	False	N11-PPal	N24-Sha	1	3	3
4	-01999-08-07T22:46:42.090	991159.4490982632	188.32883189038927	-3.643747612447642	133.70412984672714	-0.0038721106708623	10.076415626506206	-0.7852905416313769	313.52433269030666	-4.754206239460882	179.82049045848362	29.62164497387129	-1998	991142.4490972222	N13-Has/γ Crv	N26-UBha/γ Peg	False	False	False	False	N13-Has	N26-UBha	1	3	3
3	-01999-09-06T13:41:52.216	991189.070743237	216.23793381007297	-14.700057506418093	163.34049666777858	-0.007460850999159	37.139041271706326	9.844096578297862	342.5908452370605	-4.870088823121582	179.2449163439283	29.67146230104845	-1998	991172.0707407407	N16-Vis/α1 Lib	N01-Ash/α Ari	False	False	False	False	N16-Vis	N01-Ash	1	4	4
3	-01999-10-06T05:48:46.558	991218.742205538	247.0422414125896	-22.259397876296788	193.4543450108037	-0.0089034216184889	67.34837924849214	18.7152292710361	13.186241980188376	-3.536152680840604	179.7220371230516	29.597783643868752	-1998	991201.742199074	N18-Jye/σ Sco	N04-Roh/ε Tau	False	False	False	False	N18-Jye	N04-Roh	1	4	4
3	-01999-11-04T20:09:35.065	991248.339989182	279.9212142001083	-23.668195897144805	223.6943833863938	-0.0078212624055416	99.84442456658708	22.551198823937813	43.71266825774755	-1.1114142975125014	180.00662431895904	29.518574533052742	-1998	991231.339988426	N21-UAsh/φ Sgr	N06-Ard/γ Gem	False	False	False	False	N21-UAsh	N06-Ard	1	5	5
2	-01999-12-04T08:36:19.905	991277.858563715	311.7101900817734	-18.39565377681299	253.76805249970408	-0.004375515935847	132.36208502880433	19.92116633312878	73.95661058961075	1.6397053427676744	180.1784176948051	29.40342437033541	-1998	991260.8585532408	N22-Shr/β Aql	N08-Pus/δ Cnc	False	False	False	False	N22-Shr	N08-Pus	1	5	5
3	-01998-01-02T18:17:15.771	991307.2619880852	340.464477147146	-8.499673235285126	283.3829212027265	0.0004201552381709	161.7669743149955	12.117581689022185	103.18066912249796	3.831687924920984	179.79164871187385	29.36121357837692	-1997	991290.2619791668	N24-Sha/λ Aqr	N11-PPal/δ Leo	False	False	False	False	N24-Sha	N11-PPal	1	0	0
3	-01998-02-01T02:57:24.624	991336.6232016636	7.182546156912033	3.1419122971114115	312.4614540758719	0.0052970912755154	188.89885423895169	1.4983702713863354	132.16237384178444	4.932451982482516	179.7003671946813	29.345737262279727	-1997	991319.6231944443	N26-UBha/γ Peg	N13-Has/γ Crv	False	False	False	False	N26-UBha	N13-Has	1	0	0
3	-01998-03-02T11:15:16.323	991365.968938926	33.95918701225921	13.922294991514004	341.01201997676964	0.0089666915826987	215.406781282512	-9.452220216565232	160.84521289053654	4.677180919033149	179.8382555648365	29.36001361894887	-1997	991348.9689351852	N01-Ash/α Ari	N16-Vis/α1 Lib	False	False	False	False	N01-Ash	N16-Vis	1	1	1
3	-01998-03-31T19:53:41.500	991395.328952545	62.47489255307706	21.512620675316008	9.167944905804868	0.0105935968504751	243.10870171764827	-18.378238477454687	189.15918851641976	3.1797152195412424	180.0006328293093	29.3965928608086	-1997	991378.3289467592	N04-Roh/γ Tau	N17-Anu/ω1 Sco	False	False	False	False	N04-Roh	N17-Anu	1	1	1
3	-01998-04-30T05:24:47.123	991424.7255454058	92.74542797543472	23.95982138822222	37.14254394066065	0.0099039169432279	272.65516392768643	-23.07632844615568	217.06456563630704	0.8749620160070098	179.93350377453874	29.4565073949052	-1997	991407.7255439817	N05-Mrg/α Ori	N20-PAsh/γ Sgr	False	False	False	False	N05-Mrg	N20-PAsh	1	2	2
3	-01998-05-29T16:22:09.362	991454.1820528008	122.87669208207652	20.50692501040524	65.19434684574506	0.0070829583498208	302.8400211049134	-22.18589062547575	244.7809748038109	-1.6375074723944774	179.59750622221603	29.53940763976425	-1997	991437.1820486112	N07-Pun/β Gem	N22-Shr/α Aql	False	False	False	False	N07-Pun	N22-Shr	1	2	2
3	-01998-06-28T05:18:54.182	991483.7214604404	151.1945787995006	12.134647423433435	93.58085016761513	0.0027308229403598	331.74716245900515	-15.931791715535336	272.7181499227468	-3.741401760633552	179.1450371512833	29.728719835402444	-1997	991466.7214583332	N10-Mag/γ Leo	N23-Dha/γ2 Del	False	False	False	False	N10-Mag	N23-Dha	1	3	3
4	-01998-07-27T22:48:15.576	991513.4501802758	178.152651187207	0.8652913655365196	122.59419990574638	-0.0021644122880266	359.9595453795143	-5.43466999025465	302.3807722393878	-4.9062717700735465	179.78909465547343	29.73708325228654	-1997	991496.450173611	N12-UPal/β Leo	N25-PBha/β Peg	False	False	False	False	N12-UPal	N25-PBha	1	3	3
4	-01998-08-26T16:29:39.569	991543.187263528	205.4670333858148	-10.79046664489555	152.14945794302307	-0.0063262228451464	26.964228500751684	6.364366999950031	331.91392419770165	-4.655008958688928	179.76107964617492	29.772061914787628	-1997	991526.1872569444	N15-Swa/α Boo	N01-Ash/γ Ari	False	False	False	False	N15-Swa	N01-Ash	1	4	4
4	-01998-09-25T11:01:25.718	991572.9593254428	235.2177048839242	-20.047893533034035	182.225679435077	-0.0086302114906434	55.76267214616037	17.05577150554302	2.0458218606784992	-3.022110582433722	179.8116568933531	29.68641028436832	-1997	991555.9593171296	N17-Anu/δ Sco	N03-Kri/* 17 Tau	False	False	True	True	N17-Anu	N03-Kri	1	4	4
3	-01998-10-25T03:29:51.567	991602.6457357272	267.6845124590509	-23.96191100734259	212.5138406878863	-0.0084263805706364	86.82664601615647	23.41857526575741	31.72873985456434	-0.5189334906289768	179.20360655174164	29.69882730056997	-1997	991585.6457291668	N19-Mul/ι1 Sco	N05-Mrg/α Ori	False	False	False	False	N19-Mul	N05-Mrg	1	5	5
3	-01998-11-23T20:16:10.246	991632.3445630278	300.4161111293694	-21.005948108613417	242.8363139703844	-0.0057494514097832	120.63802929046447	23.243398936236016	62.58799371299413	2.23755518803849	179.7406516926156	29.558875390794128	-1997	991615.3445601852	N22-Shr/α Aql	N07-Pun/β Gem	False	False	False	False	N22-Shr	N07-Pun	1	5	5
