local,jd,alt,az,raJ2000,decJ2000,lon,lat,year,month,daynum,daynum_utryn,daynum_dksyn
-1450-01-01T07:26:45.210,1191458.5810788244,-0.023033926575926438,116.83103759747756,331.73479394524855,-11.875445606767471,281.70096421266453,-0.0006106898507465816,-1450,1,1.0,13.0,193.0
-1450-01-02T07:27:06.854,1191459.5813293252,0.015333270578545,116.74468112189308,332.69307173188287,-11.515345898851317,282.7060946878761,-0.0005277416551922857,-1450,1,2.0,14.0,194.0
-1450-01-03T07:27:06.854,1191460.5813293252,-0.011379600233255825,116.60980799660538,333.6480613209571,-11.152441822740172,283.7103642794067,-0.00045098555699148217,-1450,1,3.0,15.0,195.0
-1450-01-04T07:27:06.854,1191461.5813293252,-0.032544213333014715,116.46976280594671,334.6000699667026,-10.786757370378446,284.71402619250233,-0.00037889627298583087,-1450,1,4.0,16.0,196.0
-1450-01-05T07:27:28.497,1191462.5815798263,0.022779306825726,116.36786868685313,335.5494083529876,-10.418310929579459,285.7173346691862,-0.0003094801291229082,-1450,1,5.0,17.0,197.0
-1450-01-06T07:27:28.497,1191463.5815798263,0.012918986603963742,116.21775753353933,336.4956810684212,-10.047395043257643,286.71979102277703,-0.00024041472925545184,-1450,1,6.0,18.0,198.0
-1450-01-07T07:27:28.497,1191464.5815798263,0.008710702396876732,116.06275888445663,337.4392127903898,-9.674022899005411,287.7216512854554,-0.00016913042043178786,-1450,1,7.0,19.0,199.0
-1450-01-08T07:27:28.497,1191465.5815798263,0.010176536659007186,115.90296100739282,338.3800953686357,-9.298297418218944,288.72292236949005,-9.313673054689094e-05,-1450,1,8.0,20.0,200.0
-1450-01-09T07:27:28.497,1191466.5815798263,0.01733487250833876,115.73844980139913,339.3184239036145,-8.920320339104004,289.72361532822623,-1.028121222410168e-05,-1450,1,9.0,21.0,201.0
-1450-01-10T07:27:28.497,1191467.5815798263,0.03020152023468225,115.5693107417561,340.25429432223575,-8.54019340347545,290.72374599833654,8.102035340850752e-05,-1450,1,10.0,22.0,202.0
-1450-01-11T07:27:06.854,1191468.5813293252,-0.022702933137717693,115.35239568021328,341.1875676263533,-8.15811537749968,291.7230828734923,0.0001816263657542838,-1450,1,11.0,23.0,203.0
-1450-01-12T07:27:06.854,1191469.5813293252,0.0015148038740961612,115.17425490995419,342.1188032108806,-7.773999243327657,292.72214502961464,0.0002917594133590393,-1450,1,12.0,24.0,204.0
-1450-01-13T07:27:06.854,1191470.5813293252,0.03147779081864886,114.99175960057984,343.0478552741667,-7.388046832717372,293.7206963484031,0.00041094045894219587,-1450,1,13.0,25.0,205.0
-1450-01-14T07:26:45.210,1191471.5810788244,-0.004646485512422152,114.76176884984342,343.9745769872436,-7.0004635125235275,294.7184953664104,0.0005381940696252529,-1450,1,14.0,26.0,206.0
-1450-01-15T07:26:23.567,1191472.5808283233,-0.035252824172251174,114.52762758989613,344.8992837550051,-6.611262121221676,295.715794594269,0.0006722663803845927,-1450,1,15.0,27.0,207.0
-1450-01-16T07:26:23.567,1191473.5808283233,0.011780073477329034,114.33264404476184,345.82228696309505,-6.220454816992435,296.71284055048636,0.0008116914723981757,-1450,1,16.0,28.0,208.0
-1450-01-17T07:26:01.924,1191474.5805778224,-0.007641484788525761,114.09049026650159,346.7432031607809,-5.8283482676358345,297.70912607247556,0.0009547675372908367,-1450,1,17.0,29.0,209.0
