local,jd,alt,az,raJ2000,decJ2000,lon,lat,year,month,daynum,daynum_utryn,daynum_dksyn
-1150-01-01T07:26:23.567,1301031.5808283233,-0.004603515094603944,116.78515985588396,327.9184272051969,-13.236358680499336,281.8659518357476,-0.0010358643058334881,-1150,1,1.0,13.0,193.0
-1150-01-02T07:26:45.210,1301032.5810788244,0.032726344254092474,116.69657605491048,328.8895203468431,-12.88927431925354,282.8736109870884,-0.0009186575503203326,-1150,1,2.0,14.0,194.0
-1150-01-03T07:26:45.210,1301033.5810788244,0.004824537633944196,116.55934639078934,329.8572496456814,-12.538862627782096,283.880588629055,-0.0008017052375194428,-1150,1,3.0,15.0,195.0
-1150-01-04T07:26:45.210,1301034.5810788244,-0.017643341576437904,116.41683246790318,330.8219069775939,-12.18515738112381,284.88712436842593,-0.0006865693798786642,-1150,1,4.0,16.0,196.0
-1150-01-05T07:26:45.210,1301035.5810788244,-0.0346227768018865,116.26913959618184,331.78354161045377,-11.82827908231524,285.8932027552405,-0.0005747244310966012,-1150,1,5.0,17.0,197.0
-1150-01-06T07:27:06.854,1301036.5813293252,0.024966073337564575,116.15960235887074,332.74244356923026,-11.468257852762852,286.8990577545204,-0.0004674673239232921,-1150,1,6.0,18.0,198.0
-1150-01-07T07:27:06.854,1301037.5813293252,0.019215300727347326,116.00187221805199,333.6981837794624,-11.10539476695888,287.9041655292118,-0.00036598759189951694,-1150,1,7.0,19.0,199.0
-1150-01-08T07:27:06.854,1301038.5813293252,0.019105406925658645,115.83929587621323,334.65105494225054,-10.739720721334185,288.9087563450927,-0.0002711671210496584,-1150,1,8.0,20.0,200.0
-1150-01-09T07:27:06.854,1301039.5813293252,0.02468138736092172,115.67198637453117,335.6011103250284,-10.371356211256451,289.9128075641479,-0.0001836470429750609,-1150,1,9.0,21.0,201.0
-1150-01-10T07:26:45.210,1301040.5810788244,-0.03544436577757699,115.45682903697616,336.5481674992479,-10.00051459511964,290.91604526363216,-0.00010377558214136283,-1150,1,10.0,22.0,202.0
-1150-01-11T07:26:45.210,1301041.5810788244,-0.018479479516723265,115.2803866689523,337.49275710304556,-9.627129551623794,291.91895067980715,-3.14904791308408e-05,-1150,1,11.0,23.0,203.0
-1150-01-12T07:26:45.210,1301042.5810788244,0.004285299634990007,115.09955069043686,338.4346994074385,-9.251412403906595,292.92125299308,3.358853953511706e-05,-1150,1,12.0,24.0,204.0
-1150-01-13T07:26:45.210,1301043.5810788244,0.0328805788129122,114.91443523426982,339.3740545962928,-8.873480793719205,293.92293582193224,9.225219341021475e-05,-1150,1,13.0,25.0,205.0
-1150-01-14T07:26:23.567,1301044.5808283233,-0.004557530305679269,114.68191147112022,340.3106512442994,-8.493546460372137,294.9237356201738,0.0001456603849447863,-1150,1,14.0,26.0,206.0
