padam,kaanda,varga,shloka,paada,cnt,linga
स्वर्,1,1,6,1,1,अव्य
स्वर्ग,1,1,6,1,2,पुं
नाक,1,1,6,1,3,पुं
त्रिदिव,1,1,6,1,4,पुं
त्रिदशालय,1,1,6,1,5,पुं
सुरलोक,1,1,6,2,1,पुं
द्यो,1,1,6,2,2,स्त्री
दिव्,1,1,6,2,3,स्त्री
त्रिविष्टप,1,1,6,2,4,नपुं
अमर,1,1,7,1,1,पुं
निर्जरस्,1,1,7,1,2,पुं
देव,1,1,7,1,3,पुं
त्रिदश,1,1,7,1,4,पुं
विबुध,1,1,7,1,5,पुं
सुर,1,1,7,1,6,पुं
सुपर्वन्,1,1,7,2,1,पुं
सुमनस्,1,1,7,2,2,पुं
त्रिदिवेश,1,1,7,2,3,पुं
दिवौकस्,1,1,7,2,4,पुं
आदितेय,1,1,8,1,1,पुं
दिविषद्,1,1,8,1,2,पुं
लेख,1,1,8,1,3,पुं
अदितिनन्दन,1,1,8,1,4,पुं
आदित्य,1,1,8,2,1,पुं
ऋभव,1,1,8,2,2,पुं
अस्वप्न,1,1,8,2,3,पुं
अमर्त्य,1,1,8,2,4,पुं
अमृतान्धस्,1,1,8,2,5,पुं
बर्हिर्मुख,1,1,9,1,1,पुं
क्रतुभुज्,1,1,9,1,2,पुं
गीर्वाण,1,1,9,1,3,पुं
दानवारि,1,1,9,1,4,पुं
वृन्दारक,1,1,9,2,1,पुं
दैवत,1,1,9,2,2,पुं-नपुं
देवता,1,1,9,2,3,स्त्री
आदित्य,1,1,10,1,1,पुं
विश्व,1,1,10,1,2,नपुं
वसु,1,1,10,1,3,पुं-बहु
तुषित,1,1,10,1,4,पुं-बहु
आभास्वर,1,1,10,1,5,पुं
अनिल,1,1,10,1,6,पुं
महाराजिक,1,1,10,2,1,पुं-बहु
साध्य,1,1,10,2,2,पुं-बहु
रुद्र,1,1,10,2,3,पुं
विद्याधर,1,1,11,1,1,पुं
अप्सरस्,1,1,11,1,2,स्त्री-बहु
यक्ष,1,1,11,1,3,पुं
रक्ष,1,1,11,1,4,पुं
गन्धर्व,1,1,11,1,5,पुं
किन्नर,1,1,11,1,6,पुं
पिशाच,1,1,11,2,1,पुं
गुह्यक,1,1,11,2,2,पुं
सिद्ध,1,1,11,2,3,पुं
भूत,1,1,11,2,4,नपुं
असुर,1,1,12,1,1,पुं
दैत्य,1,1,12,1,2,पुं
दैतेय,1,1,12,1,3,पुं
दनुज,1,1,12,1,4,पुं
इन्द्रारि,1,1,12,1,5,पुं
दानव,1,1,12,1,6,पुं
शुक्रशिष्य,1,1,12,2,1,पुं
दितिसुत,1,1,12,2,2,पुं
पूर्वदेव,1,1,12,2,3,पुं
सुरद्विष्,1,1,12,2,4,पुं
सर्वज्ञ,1,1,13,1,1,पुं
सुगत,1,1,13,1,2,पुं
बुद्ध,1,1,13,1,3,पुं
धर्मराज,1,1,13,1,4,पुं
तथागत,1,1,13,1,5,पुं
समन्तभद्र,1,1,13,2,1,पुं
भगवत्,1,1,13,2,2,पुं
मारजित्,1,1,13,2,3,पुं
लोकजित्,1,1,13,2,4,पुं
जिन,1,1,13,2,5,पुं
षडभिज्ञ,1,1,14,1,1,पुं
दशबल,1,1,14,1,2,पुं
अद्वयवादिन्,1,1,14,1,3,पुं
विनायक,1,1,14,1,4,पुं
मुनीन्द्र,1,1,14,2,1,पुं
श्रीघन,1,1,14,2,2,पुं
शास्तृ,1,1,14,2,3,पुं
मुनि,1,1,14,2,4,पुं
शाक्यमुनि,1,1,14,2,5,पुं
शाक्यसिंह,1,1,15,1,1,पुं
सर्वार्थसिद्ध,1,1,15,1,2,पुं
शौद्धोदनि,1,1,15,1,3,पुं
गौतम,1,1,15,2,1,पुं
अर्कबन्धु,1,1,15,2,2,पुं
मायादेवीसुत,1,1,15,2,3,पुं
ब्रह्मन्,1,1,16,1,1,पुं
आत्मभू,1,1,16,1,2,पुं
सुरज्येष्ठ,1,1,16,1,3,पुं
परमेष्ठिन्,1,1,16,1,4,पुं
पितामह,1,1,16,1,5,पुं
हिरण्यगर्भ,1,1,16,2,1,पुं
लोकेश,1,1,16,2,2,पुं
स्वयम्भू,1,1,16,2,3,पुं
चतुरानन,1,1,16,2,4,पुं
धातृ,1,1,17,1,1,पुं
अब्जयोनि,1,1,17,1,2,पुं
द्रुहिण,1,1,17,1,3,पुं
विरिञ्चि,1,1,17,1,4,पुं
कमलासन,1,1,17,1,5,पुं
स्रष्टृ,1,1,17,2,1,पुं
प्रजापति,1,1,17,2,2,पुं
वेधस्,1,1,17,2,3,पुं
विधातृ,1,1,17,2,4,पुं
विश्वसृज्,1,1,17,2,5,पुं
विधि,1,1,17,2,6,पुं
नाभिजन्मन्,1,1,17,3,1,पुं
अण्डज,1,1,17,3,2,पुं
पूर्व,1,1,17,3,3,पुं
निधन,1,1,17,3,4,पुं-नपुं
कमलोद्भव,1,1,17,3,5,पुं
सदानन्द,1,1,17,4,1,पुं
रजोमूर्तिन्,1,1,17,4,2,पुं
सत्यक,1,1,17,4,3,पुं
हंसवाहन,1,1,17,4,4,पुं
विष्णु,1,1,18,1,1,पुं
नारायण,1,1,18,1,2,पुं
कृष्ण,1,1,18,1,3,पुं
वैकुण्ठ,1,1,18,1,4,पुं
विष्टरश्रवस्,1,1,18,1,5,पुं
दामोदर,1,1,18,2,1,पुं
हृषीकेश,1,1,18,2,2,पुं
केशव,1,1,18,2,3,पुं
माधव,1,1,18,2,4,पुं
स्वभू,1,1,18,2,5,पुं
दैत्यारि,1,1,19,1,1,पुं
पुण्डरीकाक्ष,1,1,19,1,2,पुं
गोविन्द,1,1,19,1,3,पुं
गरुडध्वज,1,1,19,1,4,पुं
पीताम्बर,1,1,19,2,1,पुं
अच्युत,1,1,19,2,2,पुं
शार्ङ्गिन्,1,1,19,2,3,पुं
विष्वक्सेन,1,1,19,2,4,पुं
जनार्दन,1,1,19,2,5,पुं
उपेन्द्र,1,1,20,1,1,पुं
इन्द्रावरज,1,1,20,1,2,पुं
चक्रपाणि,1,1,20,1,3,पुं
चतुर्भुज,1,1,20,1,4,पुं
पद्मनाभ,1,1,20,2,1,पुं
मधुरिपु,1,1,20,2,2,पुं
वासुदेव,1,1,20,2,3,पुं
त्रिविक्रम,1,1,20,2,4,पुं
देवकीनन्दन,1,1,21,1,1,पुं
शौरि,1,1,21,1,2,पुं
श्रीपति,1,1,21,1,3,पुं
पुरुषोत्तम,1,1,21,1,4,पुं
वनमालिन्,1,1,21,2,1,पुं
बलिध्वंसिन्,1,1,21,2,2,पुं
कंसाराति,1,1,21,2,3,पुं
अधोक्षज,1,1,21,2,4,पुं
विश्वम्भर,1,1,22,1,1,पुं
कैटभजित्,1,1,22,1,2,पुं
विधु,1,1,22,1,3,पुं
श्रीवत्सलाञ्छन,1,1,22,1,4,पुं
पुराणपुरुष,1,1,22,2,1,पुं
यज्ञपुरुष,1,1,22,2,2,पुं
नरकान्तक,1,1,22,2,3,पुं
जलशायिन्,1,1,22,3,1,पुं
विश्वरूप,1,1,22,3,2,पुं
मुकुन्द,1,1,22,3,3,पुं
मुरमर्दन,1,1,22,3,4,पुं
वसुदेव,1,1,22,4,1,पुं
आनकदुन्दुभि,1,1,22,4,2,पुं
बलभद्र,1,1,23,1,1,पुं
प्रलम्बघ्न,1,1,23,1,2,पुं
बलदेव,1,1,23,1,3,पुं
अच्युताग्रज,1,1,23,1,4,पुं
रेवतीरमण,1,1,23,2,1,पुं
राम,1,1,23,2,2,पुं
कामपाल,1,1,23,2,3,पुं
हलायुध,1,1,23,2,4,पुं
नीलाम्बर,1,1,24,1,1,पुं
रौहिणेय,1,1,24,1,2,पुं
तालाङ्क,1,1,24,1,3,पुं
मुसलिन्,1,1,24,1,4,पुं
हलिन्,1,1,24,1,5,पुं
सङ्कर्षण,1,1,24,2,1,पुं
सीरपाणि,1,1,24,2,2,पुं
कालिन्दीभेदन,1,1,24,2,3,पुं
बल,1,1,24,2,4,पुं
मदन,1,1,25,1,1,पुं
मन्मथ,1,1,25,1,2,पुं
मार,1,1,25,1,3,पुं
प्रद्युम्न,1,1,25,1,4,पुं
मीनकेतन,1,1,25,1,5,पुं
कन्दर्प,1,1,25,2,1,पुं
दर्पक,1,1,25,2,2,पुं
अनङ्ग,1,1,25,2,3,पुं
काम,1,1,25,2,4,पुं
पञ्चशर,1,1,25,2,5,पुं
स्मर,1,1,25,2,6,पुं
शम्बरारि,1,1,26,1,1,पुं
मनसिज,1,1,26,1,2,पुं
कुसुमेषु,1,1,26,1,3,पुं
अनन्यज,1,1,26,1,4,पुं
पुष्पधन्वन्,1,1,26,2,1,पुं
रतिपति,1,1,26,2,2,पुं
मकरध्वज,1,1,26,2,3,पुं
आत्मभू,1,1,26,2,4,पुं
अरविन्द,1,1,26,3,1,नपुं
अशोक,1,1,26,3,2,नपुं
चूत,1,1,26,3,3,पुं
नवमल्लिका,1,1,26,3,4,स्त्री
नीलोत्पल,1,1,26,4,1,नपुं
पञ्चबाण,1,1,26,4,2,पुं
उन्मादन,1,1,26,5,1,नपुं
तापन,1,1,26,5,2,नपुं
शोषण,1,1,26,5,3,नपुं
स्तम्भन,1,1,26,5,4,नपुं
सम्मोहन,1,1,26,6,1,नपुं
काम,1,1,26,6,2,पुं
ब्रह्मसू,1,1,27,1,1,पुं
विश्वकेतु,1,1,27,1,2,पुं
अनिरुद्ध,1,1,27,1,3,पुं
उषापति,1,1,27,1,4,पुं
लक्ष्मी,1,1,27,2,1,स्त्री
पद्मालया,1,1,27,2,2,स्त्री
पद्मा,1,1,27,2,3,स्त्री
कमला,1,1,27,2,4,स्त्री
श्री,1,1,27,2,5,स्त्री
हरिप्रिया,1,1,27,2,6,स्त्री
इन्दिरा,1,1,27,3,1,स्त्री
लोकमातृ,1,1,27,3,2,स्त्री
मा,1,1,27,3,3,स्त्री
क्षीरोदतनया,1,1,27,3,4,स्त्री
रमा,1,1,27,3,5,स्त्री
भार्गवी,1,1,27,4,1,स्त्री
लोकजननी,1,1,27,4,2,स्त्री
क्षीरसागरकन्यका,1,1,27,4,3,स्त्री
लक्ष्मीपति,1,1,28,1,1,पुं
पाञ्चजन्य,1,1,28,1,2,पुं
सुदर्शन,1,1,28,1,3,पुं-नपुं
कौमोदकी,1,1,28,2,1,स्त्री
नन्दक,1,1,28,2,2,पुं
कौस्तुभ,1,1,28,2,3,पुं
शार्ङ्ग,1,1,28,3,1,पुं
मुरारि,1,1,28,3,2,पुं
श्रीवत्स,1,1,28,3,3,पुं
शैव्य,1,1,28,4,1,पुं
सुग्रीव,1,1,28,4,2,पुं
मेघपुष्प,1,1,28,4,3,नपुं
बलाहक,1,1,28,4,4,पुं
दारुक,1,1,28,5,1,पुं
उद्धव,1,1,28,5,2,पुं
गद,1,1,28,5,3,पुं
गरुत्मत्,1,1,29,1,1,पुं
गरुड,1,1,29,1,2,पुं
तार्क्ष्य,1,1,29,1,3,पुं
वैनतेय,1,1,29,1,4,पुं
खगेश्वर,1,1,29,1,5,पुं
नागान्तक,1,1,29,2,1,पुं
विष्णुरथ,1,1,29,2,2,पुं
सुपर्ण,1,1,29,2,3,पुं
पन्नगाशन,1,1,29,2,4,पुं
शम्भु,1,1,30,1,1,पुं
ईश,1,1,30,1,2,पुं
पशुपति,1,1,30,1,3,पुं
शिव,1,1,30,1,4,पुं
शूलिन्,1,1,30,1,5,पुं
महेश्वर,1,1,30,1,6,पुं
ईश्वर,1,1,30,2,1,पुं
शर्व,1,1,30,2,2,पुं
ईशान,1,1,30,2,3,पुं
शङ्कर,1,1,30,2,4,पुं
चन्द्रशेखर,1,1,30,2,5,पुं
भूतेश,1,1,31,1,1,पुं
खण्डपरशु,1,1,31,1,2,पुं
गिरीश,1,1,31,1,3,पुं
गिरिश,1,1,31,1,4,पुं
मृड,1,1,31,1,5,पुं
मृत्युञ्जय,1,1,31,2,1,पुं
कृत्तिवासस्,1,1,31,2,2,पुं
पिनाकिन्,1,1,31,2,3,पुं
प्रमथाधिप,1,1,31,2,4,पुं
उग्र,1,1,32,1,1,पुं
कपर्दिन्,1,1,32,1,2,पुं
श्रीकण्ठ,1,1,32,1,3,पुं
शितिकण्ठ,1,1,32,1,4,पुं
कपालभृत्,1,1,32,1,5,पुं
वामदेव,1,1,32,2,1,पुं
महादेव,1,1,32,2,2,पुं
विरूपाक्ष,1,1,32,2,3,पुं
त्रिलोचन,1,1,32,2,4,पुं
कृशानुरेतस्,1,1,33,1,1,पुं
सर्वज्ञ,1,1,33,1,2,पुं
धूर्जटि,1,1,33,1,3,पुं
नीललोहित,1,1,33,1,4,पुं
हर,1,1,33,2,1,पुं
स्मरहर,1,1,33,2,2,पुं
भर्ग,1,1,33,2,3,पुं
त्र्यम्बक,1,1,33,2,4,पुं
त्रिपुरान्तक,1,1,33,2,5,पुं
गङ्गाधर,1,1,34,1,1,पुं
अन्धकरिपु,1,1,34,1,2,पुं
क्रतुध्वंसिन्,1,1,34,1,3,पुं
वृषध्वज,1,1,34,1,4,पुं
व्योमकेश,1,1,34,2,1,पुं
भव,1,1,34,2,2,पुं
भीम,1,1,34,2,3,पुं
स्थाणु,1,1,34,2,4,पुं
रुद्र,1,1,34,2,5,पुं
उमापति,1,1,34,2,6,पुं
अहिर्बुध्न्य,1,1,34,3,1,पुं
अष्टमूर्ति,1,1,34,3,2,पुं
गजारि,1,1,34,3,3,पुं
महानट,1,1,34,3,4,पुं
कपर्द,1,1,35,1,1,पुं
जटाजूट,1,1,35,1,2,पुं
पिनाक,1,1,35,1,3,पुं
अजगव,1,1,35,1,4,नपुं
प्रमथ,1,1,35,2,1,पुं
पारिषद,1,1,35,2,2,पुं
ब्राह्मी,1,1,35,3,1,स्त्री
माहेश्वरी,1,1,35,3,2,स्त्री
कौमारी,1,1,35,3,3,स्त्री
वैष्णवी,1,1,35,3,4,स्त्री
वाराही,1,1,35,4,1,स्त्री
इन्द्राणी,1,1,35,4,2,स्त्री
चामुण्डा,1,1,35,4,3,स्त्री
विभूति,1,1,36,1,1,स्त्री
भूति,1,1,36,1,2,स्त्री
ऐश्वर्य,1,1,36,1,3,नपुं
अणिमन्,1,1,36,2,1,पुं
महिमन्,1,1,36,2,2,पुं
गरिमन्,1,1,36,2,3,पुं
लघिमन्,1,1,36,2,4,पुं
प्राप्ति,1,1,36,3,1,स्त्री
प्राकाम्य,1,1,36,3,2,नपुं
ईशित्व,1,1,36,3,3,नपुं
वशित्व,1,1,36,3,4,नपुं
उमा,1,1,36,4,1,स्त्री
कात्यायनी,1,1,36,4,2,स्त्री
गौरी,1,1,36,4,3,स्त्री
काली,1,1,36,4,4,स्त्री
हैमवती,1,1,36,4,5,स्त्री
ईश्वरी,1,1,36,4,6,स्त्री
शिवा,1,1,37,1,1,स्त्री
भवानी,1,1,37,1,2,स्त्री
रुद्राणी,1,1,37,1,3,स्त्री
शर्वाणी,1,1,37,1,4,स्त्री
सर्वमङ्गला,1,1,37,1,5,स्त्री
अपर्णा,1,1,37,2,1,स्त्री
पार्वती,1,1,37,2,2,स्त्री
दुर्गा,1,1,37,2,3,स्त्री
मृडानी,1,1,37,2,4,स्त्री
चण्डिका,1,1,37,2,5,स्त्री
अम्बिका,1,1,37,2,6,स्त्री
आर्या,1,1,37,3,1,स्त्री
दाक्षायणी,1,1,37,3,2,स्त्री
गिरिजा,1,1,37,3,3,स्त्री
मेनकात्मजा,1,1,37,3,4,स्त्री
विनायक,1,1,38,1,1,पुं
विघ्नराज,1,1,38,1,2,पुं
द्वैमातुर,1,1,38,1,3,पुं
गणाधिप,1,1,38,1,4,पुं
एकदन्त,1,1,38,2,1,पुं
हेरम्ब,1,1,38,2,2,पुं
लम्बोदर,1,1,38,2,3,पुं
गजानन,1,1,38,2,4,पुं
कार्तिकेय,1,1,39,1,1,पुं
महासेन,1,1,39,1,2,पुं
शरजन्मन्,1,1,39,1,3,पुं
षडानन,1,1,39,1,4,पुं
पार्वतीनन्दन,1,1,39,2,1,पुं
स्कन्द,1,1,39,2,2,पुं
सेनानी,1,1,39,2,3,पुं
अग्निभू,1,1,39,2,4,पुं
गुह,1,1,39,2,5,पुं
बाहुलेय,1,1,40,1,1,पुं
तारकजित्,1,1,40,1,2,पुं
विशाख,1,1,40,1,3,पुं
शिखिवाहन,1,1,40,1,4,पुं
षाण्मातुर,1,1,40,2,1,पुं
शक्तिधर,1,1,40,2,2,पुं
कुमार,1,1,40,2,3,पुं
क्रौञ्चदारण,1,1,40,2,4,पुं
शृङ्गिन्,1,1,40,3,1,पुं
भृङ्गिन्,1,1,40,3,2,पुं
रिटि,1,1,40,3,3,पुं
तुण्डिन्,1,1,40,3,4,पुं
नन्दिक,1,1,40,3,5,पुं
नन्दिकेश्वर,1,1,40,3,6,पुं
कर्ममोटी,1,1,40,4,1,स्त्री
चामुण्डा,1,1,40,4,2,स्त्री
चर्ममुण्डा,1,1,40,4,3,स्त्री
चर्चिका,1,1,40,4,4,स्त्री
इन्द्र,1,1,41,1,1,पुं
मरुत्वत्,1,1,41,1,2,पुं
मघवन्,1,1,41,1,3,पुं
बिडौजस्,1,1,41,1,4,पुं
पाकशासन,1,1,41,1,5,पुं
वृद्धश्रवस्,1,1,41,2,1,पुं
सुनासीर,1,1,41,2,2,पुं
पुरुहूत,1,1,41,2,3,पुं
पुरन्दर,1,1,41,2,4,पुं
जिष्णु,1,1,42,1,1,पुं
लेखर्षभ,1,1,42,1,2,पुं
शक्र,1,1,42,1,3,पुं
शतमन्यु,1,1,42,1,4,पुं
दिवस्पति,1,1,42,1,5,पुं
सुत्रामन्,1,1,42,2,1,पुं
गोत्रभिद्,1,1,42,2,2,पुं
वज्रिन्,1,1,42,2,3,पुं
वासव,1,1,42,2,4,पुं
वृत्रहन्,1,1,42,2,5,पुं
वृषन्,1,1,42,2,6,पुं
वास्तोष्पति,1,1,43,1,1,पुं
सुरपति,1,1,43,1,2,पुं
बलाराति,1,1,43,1,3,पुं
शचीपति,1,1,43,1,4,पुं
जम्भभेदिन्,1,1,43,2,1,पुं
हरिहय,1,1,43,2,2,पुं
स्वाराज्,1,1,43,2,3,पुं
नमुचिसूदन,1,1,43,2,4,पुं
सङ्क्रन्दन,1,1,44,1,1,पुं
दुश्च्यवन,1,1,44,1,2,पुं
तुराषा,1,1,44,1,3,पुं
मेघवाहन,1,1,44,1,4,पुं
आखण्डल,1,1,44,2,1,पुं
सहस्राक्ष,1,1,44,2,2,पुं
ऋभुक्षिन्,1,1,44,2,3,पुं
पुलोमजा,1,1,45,1,1,स्त्री
शची,1,1,45,1,2,स्त्री
इन्द्राणी,1,1,45,1,3,स्त्री
अमरावती,1,1,45,1,4,स्त्री
उच्चैःश्रवस्,1,1,45,2,1,पुं
मातलि,1,1,45,2,2,पुं
नन्दन,1,1,45,2,3,नपुं
वैजयन्त,1,1,46,1,1,पुं
जयन्त,1,1,46,1,2,पुं
पाकशासनि,1,1,46,1,3,पुं
ऐरावत,1,1,46,2,1,पुं
अभ्रमातङ्ग,1,1,46,2,2,पुं
ऐरावण,1,1,46,2,3,पुं
अभ्रमुवल्लभ,1,1,46,2,4,पुं
ह्रादिनी,1,1,47,1,1,स्त्री
वज्र,1,1,47,1,2,पुं-नपुं
कुलिश,1,1,47,1,3,पुं-नपुं
भिदुर,1,1,47,1,4,नपुं
पवि,1,1,47,1,5,पुं
शतकोटि,1,1,47,2,1,पुं
स्वरु,1,1,47,2,2,पुं
शम्ब,1,1,47,2,3,पुं
दम्भोलि,1,1,47,2,4,पुं
अशनि,1,1,47,2,5,स्त्री-पुं
व्योमयान,1,1,48,1,1,नपुं
विमान,1,1,48,1,2,पुं-नपुं
नारद,1,1,48,1,3,पुं
सुधर्मा,1,1,48,2,1,स्त्री
देवसभा,1,1,48,2,2,स्त्री
पीयूष,1,1,48,2,3,नपुं
अमृत,1,1,48,2,4,नपुं
सुधा,1,1,48,2,5,स्त्री
मन्दाकिनी,1,1,49,1,1,स्त्री
वियद्गङ्गा,1,1,49,1,2,स्त्री
स्वर्णदी,1,1,49,1,3,स्त्री
सुरदीर्घिका,1,1,49,1,4,स्त्री
मेरु,1,1,49,2,1,पुं
सुमेरु,1,1,49,2,2,पुं
हेमाद्रि,1,1,49,2,3,पुं
रत्नसानु,1,1,49,2,4,पुं
सुरालय,1,1,49,2,5,पुं
देवतरु,1,1,50,1,1,पुं
मन्दार,1,1,50,1,2,पुं
पारिजातक,1,1,50,1,3,पुं
सन्तान,1,1,50,2,1,पुं
कल्पवृक्ष,1,1,50,2,2,पुं
हरिचन्दन,1,1,50,2,3,पुं-नपुं
सनत्कुमार,1,1,51,1,1,पुं
वैधात्र,1,1,51,1,2,पुं
स्वर्वैद्य,1,1,51,1,3,पुं
अश्विनीसुत,1,1,51,1,4,पुं
नासत्यौ,1,1,51,2,1,पुं-द्वि
अश्विनौ,1,1,51,2,2,पुं-द्वि
दस्रौ,1,1,51,2,3,पुं-द्वि
आश्विनेयौ,1,1,51,2,4,पुं-द्वि
अप्सरस्,1,1,52,1,1,स्त्री-बहु
स्वर्वेश्या,1,1,52,1,2,स्त्री
घृताची,1,1,52,2,1,स्त्री
मेनका,1,1,52,2,2,स्त्री
रम्भा,1,1,52,2,3,स्त्री
उर्वशी,1,1,52,2,4,स्त्री
तिलोत्तमा,1,1,52,2,5,स्त्री
सुकेशी,1,1,52,3,1,स्त्री
मञ्जुघोषा,1,1,52,3,2,स्त्री
हाहा,1,1,52,4,1,पुं
हूहू,1,1,52,4,2,पुं
गन्धर्व,1,1,52,4,3,पुं
अग्नि,1,1,53,1,1,पुं
वैश्वानर,1,1,53,1,2,पुं
वह्नि,1,1,53,1,3,पुं
वीतिहोत्र,1,1,53,1,4,पुं
धन्ञ्जय,1,1,53,1,5,पुं
कृपीटयोनि,1,1,53,2,1,पुं
ज्वलन,1,1,53,2,2,पुं
जातवेदस्,1,1,53,2,3,पुं
तनूनपात्,1,1,53,2,4,पुं
बर्हि,1,1,54,1,1,पुं
शुष्मन्,1,1,54,1,2,पुं
कृष्णवर्त्मन्,1,1,54,1,3,पुं
शोचिष्केश,1,1,54,1,4,पुं
उषर्बुध,1,1,54,1,5,पुं
आश्रयाश,1,1,54,2,1,पुं
बृहद्भानु,1,1,54,2,2,पुं
कृशानु,1,1,54,2,3,पुं
पावक,1,1,54,2,4,पुं
अनल,1,1,54,2,5,पुं
रोहिताश्व,1,1,55,1,1,पुं
वायुसख,1,1,55,1,2,पुं
शिखावत्,1,1,55,1,3,पुं
आशुशुक्षणि,1,1,55,1,4,पुं
हिरण्यरेतस्,1,1,55,2,1,पुं
हुतभुज्,1,1,55,2,2,पुं
दहन,1,1,55,2,3,पुं
हव्यवाहन,1,1,55,2,4,पुं
सप्तार्चिस्,1,1,56,1,1,पुं
दमुनस्,1,1,56,1,2,पुं
शुक्र,1,1,56,1,3,पुं
चित्रभानु,1,1,56,1,4,पुं
विभावसु,1,1,56,1,5,पुं
शुचि,1,1,56,2,1,पुं
अप्पित्त,1,1,56,2,2,नपुं
और्व,1,1,56,2,3,पुं
वाडव,1,1,56,2,4,पुं
वडवानल,1,1,56,2,5,पुं
ज्वाला,1,1,57,1,1,स्त्री-पुं
कीला,1,1,57,1,2,स्त्री-पुं
अर्चिस्,1,1,57,1,3,स्त्री
हेति,1,1,57,1,4,स्त्री
शिखा,1,1,57,1,5,स्त्री
स्फुलिङ्ग,1,1,57,2,1,वि
अग्निकण,1,1,57,2,2,पुं
सन्ताप,1,1,57,2,3,पुं
सञ्ज्वर,1,1,57,2,4,पुं
उल्का,1,1,57,3,1,स्त्री
निर्गतज्वाला,1,1,57,3,2,स्त्री-पुं
भूति,1,1,57,3,3,स्त्री
भसित,1,1,57,3,4,नपुं
भस्मन्,1,1,57,3,5,नपुं
क्षार,1,1,57,4,1,पुं
रक्षा,1,1,57,4,2,स्त्री
दाव,1,1,57,4,3,पुं
दव,1,1,57,4,4,पुं
वनहुताशन,1,1,57,4,5,पुं
धर्मराज,1,1,58,1,1,पुं
पितृपति,1,1,58,1,2,पुं
समवर्तिन्,1,1,58,1,3,पुं
परेतराज्,1,1,58,1,4,पुं
कृतान्त,1,1,58,2,1,पुं
यमुनाभ्रातृ,1,1,58,2,2,पुं
शमन,1,1,58,2,3,पुं
यमराज्,1,1,58,2,4,पुं
यम,1,1,58,2,5,पुं
काल,1,1,59,1,1,पुं
दण्डधर,1,1,59,1,2,पुं
श्राद्धदेव,1,1,59,1,3,पुं
वैवस्वत,1,1,59,1,4,पुं
अन्तक,1,1,59,1,5,पुं
राक्षस,1,1,59,2,1,पुं
कौणप,1,1,59,2,2,पुं
क्रव्याद्,1,1,59,2,3,पुं
क्रव्याद,1,1,59,2,4,पुं
अस्रप,1,1,59,2,5,पुं
आशर,1,1,59,2,6,पुं
रात्रिञ्चर,1,1,60,1,1,पुं
रात्रिचर,1,1,60,1,2,पुं
कर्बुर,1,1,60,1,3,पुं
निकषात्मज,1,1,60,1,4,पुं
यातुधान,1,1,60,2,1,पुं
पुण्यजन,1,1,60,2,2,पुं
नैरृत,1,1,60,2,3,पुं
यातु,1,1,60,2,4,नपुं
रक्षस्,1,1,60,2,5,पुं
प्रचेतस्,1,1,61,1,1,पुं
वरुण,1,1,61,1,2,पुं
पाशिन्,1,1,61,1,3,पुं
यादसाम्पति,1,1,61,1,4,पुं
अप्पति,1,1,61,1,5,पुं
श्वसन,1,1,61,2,1,पुं
स्पर्शन,1,1,61,2,2,पुं
वायु,1,1,61,2,3,पुं
मातरिश्वन्,1,1,61,2,4,पुं
सदागति,1,1,61,2,5,पुं
पृषदश्व,1,1,62,1,1,पुं
गन्धवह,1,1,62,1,2,पुं
गन्धवाह,1,1,62,1,3,पुं
अनिल,1,1,62,1,4,पुं
आशुग,1,1,62,1,5,पुं
समीर,1,1,62,2,1,पुं
मारुत,1,1,62,2,2,पुं
मरुत्,1,1,62,2,3,पुं
जगत्प्राण,1,1,62,2,4,पुं
समीरण,1,1,62,2,5,पुं
नभस्वत्,1,1,63,1,1,पुं
वात,1,1,63,1,2,पुं
पवन,1,1,63,1,3,पुं
पवमान,1,1,63,1,4,पुं
प्रभञ्जन,1,1,63,1,5,पुं
प्रकम्पन,1,1,63,2,1,पुं
महावात,1,1,63,2,2,पुं
झञ्झावात,1,1,63,2,3,पुं
प्राण,1,1,63,3,1,पुं
अपान,1,1,63,3,2,पुं
समान,1,1,63,3,3,पुं
उदान,1,1,63,3,4,पुं
व्यान,1,1,63,3,5,पुं
रंहस्,1,1,64,1,1,नपुं
तरस्,1,1,64,1,2,नपुं
रय,1,1,64,1,3,पुं
स्यद,1,1,64,1,4,पुं
जव,1,1,64,2,1,पुं
शीघ्र,1,1,64,2,2,नपुं
त्वरित,1,1,64,2,3,नपुं
लघु,1,1,64,2,4,नपुं
क्षिप्र,1,1,64,2,5,नपुं
अर,1,1,64,2,6,नपुं
द्रुत,1,1,64,2,7,नपुं
सत्वर,1,1,65,1,1,नपुं
चपल,1,1,65,1,2,नपुं
तूर्ण,1,1,65,1,3,नपुं
अविलम्बित,1,1,65,1,4,नपुं
आशु,1,1,65,1,5,नपुं
सतत,1,1,65,2,1,नपुं
अनारत,1,1,65,2,2,नपुं
अश्रान्त,1,1,65,2,3,नपुं
सन्तत,1,1,65,2,4,नपुं
अविरत,1,1,65,2,5,नपुं
अनिश,1,1,65,2,6,नपुं
नित्य,1,1,66,1,1,नपुं
अनवरत,1,1,66,1,2,नपुं
अजस्र,1,1,66,1,3,नपुं
अतिशय,1,1,66,1,4,पुं
भर,1,1,66,1,5,पुं
अतिवेल,1,1,66,2,1,नपुं
भृश,1,1,66,2,2,नपुं
अत्यर्थ,1,1,66,2,3,नपुं
अतिमात्र,1,1,66,2,4,नपुं
उद्गाढ,1,1,66,2,5,नपुं
