Work,Cluster,Group,WorkUrl
sa_kAlidAsa-zyAmalAdaNDaka,0,Kavya,https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_kAlidAsa-zyAmalAdaNDaka.txt
sa_kSemendra-bhAratamaJjarI-6-19,3,Kavya,https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_kSemendra-bhAratamaJjarI-6-19.txt
sa_kSemendra-kalAvilAsa,0,Kavya,https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_kSemendra-kalAvilAsa.txt
sa_kSemendra-narmamAlA,0,Kavya,https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_kSemendra-narmamAlA.txt
sa_kulazekhara-mukundamAlA-eddurgaprasad,0,Kavya,https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_kulazekhara-mukundamAlA-eddurgaprasad.txt
sa_laGkezvara-zivastuti,0,Kavya,https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_laGkezvara-zivastuti.txt
sa_mAgha-zizupAlavadha,1,Kavya,https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_mAgha-zizupAlavadha.txt
sa_nArAyaNabhaTTa-nArAyaNIya,1,Kavya,https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_nArAyaNabhaTTa-nArAyaNIya.txt
sa_nIlakaNThadIkSita-kaliviDambana,0,Kavya,https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_nIlakaNThadIkSita-kaliviDambana.txt
sa_padmagupta-navasAhasAGkacarita,1,Kavya,https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_padmagupta-navasAhasAGkacarita.txt
sa_hetvAbhAsadazaka,0,Kavya,https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_hetvAbhAsadazaka.txt
sa_rAghavacaitanya-mahAgaNapatistotra-comm,0,Kavya,https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_rAghavacaitanya-mahAgaNapatistotra-comm.txt
sa_rAmodanta,0,Kavya,https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_rAmodanta.txt
sa_ravideva-rAkSasakAvyawithTIkA,0,Kavya,https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_ravideva-rAkSasakAvyawithTIkA.txt
sa_rudrabhaTTaH-zRGgAratilaka,0,Kavya,https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_rudrabhaTTaH-zRGgAratilaka.txt
sa_rUpagosvAmin-haMsadUta,0,Kavya,https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_rUpagosvAmin-haMsadUta.txt
sa_rUpagosvAmin-padyAvalI,0,Kavya,https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_rUpagosvAmin-padyAvalI.txt
sa_ruyyaka-sahRdayalIlA,0,Kavya,https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_ruyyaka-sahRdayalIlA.txt
sa_subandhu-vAsavadattA,0,Kavya,https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_subandhu-vAsavadattA.txt
sa_uddaNDa-kokilasaMdesa,0,Kavya,https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_uddaNDa-kokilasaMdesa.txt
