UTC_Date,EclType,PenMag,UmbralMag,PenEclipseBegins,Alt1,PartialEclipseBegins,Alt2,TotalEclipseBegins,Alt3,MidEclipse,Alt4,TotalEclipseEnds,Alt5,PartialEclipseEnds,Alt6,PenEclipseEnds,Alt7
b1926-06-29,N,0.686,-0.308,01:08,+37,-,-,-,-,02:58,+25,-,-,-,-,04:48,+06
b1926-12-24,P,2.006,0.935,04:29,+33,05:42,+18,-,-,07:22,-02,-,-,09:02,-19,10:15,-30
b1925-06-18,T,2.106,1.156,14:49,-53,15:45,-41,16:55,-27,17:23,-21,17:52,-16,19:01,-02,19:58,+08
b1925-12-13,T,2.536,1.431,04:53,+26,06:06,+11,07:15,-02,08:01,-11,08:48,-19,09:56,-29,11:09,-37
b1924-12-01,P,1.297,0.211,05:05,+22,06:45,+02,-,-,07:39,-09,-,-,08:33,-18,10:13,-33
b1923-05-28,N,0.790,-0.190,00:00,+42,-,-,-,-,01:55,+35,-,-,-,-,03:51,+18
b1923-10-21,N,0.486,-0.515,22:30,+54,-,-,-,-,00:03,+65,-,-,-,-,01:35,+60
b1922-04-17,P,1.444,0.387,19:25,+12,20:53,+30,-,-,22:05,+43,-,-,23:17,+53,00:45,+56
b1921-04-06,T,2.838,1.768,19:40,+16,20:49,+31,21:53,+43,22:47,+52,23:40,+59,00:44,+61,01:54,+55
b1921-10-01,T,2.714,1.730,03:36,+31,04:32,+20,05:30,+08,06:18,-02,07:07,-13,08:05,-25,09:01,-36
b1920-03-25,P,1.546,0.511,23:05,+59,00:24,+65,-,-,01:43,+59,-,-,03:02,+46,04:21,+30
b1920-09-19,P,1.400,0.367,15:32,-40,16:55,-23,-,-,18:02,-08,-,-,19:09,+06,20:31,+23
b1919-02-14,N,0.664,-0.305,00:45,+81,-,-,-,-,02:29,+64,-,-,-,-,04:13,+42
b1919-08-10,N,0.363,-0.722,04:11,+14,-,-,-,-,05:42,-02,-,-,-,-,07:14,-21
b1919-09-08,N,0.031,-1.051,22:18,+40,-,-,-,-,22:45,+44,-,-,-,-,23:12,+47
b1918-02-03,P,1.953,0.994,16:13,-18,17:11,-08,-,-,18:44,+10,-,-,20:17,+29,21:16,+41
b1918-07-30,P,1.698,0.632,03:13,+22,04:33,+09,-,-,06:01,-08,-,-,07:29,-25,08:49,-42
b1917-01-24,T,2.449,1.456,07:05,+03,08:04,-08,09:06,-19,09:50,-26,10:34,-32,11:36,-38,12:34,-40
b1916-01-13,P,1.094,0.041,16:59,-08,18:56,+15,-,-,19:19,+20,-,-,19:43,+25,21:40,+49
b1916-07-07,P,1.276,0.316,22:42,+33,23:58,+37,-,-,00:57,+36,-,-,01:57,+32,03:13,+23
b1916-12-03,N,0.470,-0.636,00:38,+80,-,-,-,-,02:21,+60,-,-,-,-,04:04,+38
b1915-11-22,P,1.743,0.670,00:20,+78,01:38,+66,-,-,03:06,+48,-,-,04:35,+29,05:53,+13
b1914-05-18,T,2.464,1.469,22:08,+37,23:08,+43,00:11,+46,00:57,+44,01:43,+40,02:46,+32,03:46,+22
b1913-05-08,P,1.813,0.765,05:22,+04,06:37,-11,-,-,08:11,-31,-,-,09:46,-51,11:01,-65
b1913-10-31,P,1.470,0.494,22:12,+55,23:21,+66,-,-,00:33,+69,-,-,01:44,+61,02:53,+48
b1912-03-27,N,0.159,-0.907,17:36,-11,-,-,-,-,18:37,+02,-,-,-,-,19:38,+15
b1912-09-21,N,0.482,-0.512,03:31,+31,-,-,-,-,05:03,+13,-,-,-,-,06:35,-06
b1911-03-16,P,1.599,0.578,20:37,+31,21:52,+46,-,-,23:14,+61,-,-,00:35,+68,01:51,+62
b1910-08-30,T,2.768,1.680,14:48,-54,15:59,-39,17:04,-25,17:56,-14,18:48,-03,19:53,+10,21:03,+23
b1909-02-24,P,1.384,0.432,00:47,+77,01:56,+68,-,-,03:04,+54,-,-,04:11,+40,05:20,+25
b1909-08-19,P,1.460,0.380,14:55,-54,16:25,-35,-,-,17:37,-20,-,-,18:49,-05,20:19,+12
b1908-01-15,N,0.719,-0.293,06:19,+12,-,-,-,-,08:11,-10,-,-,-,-,10:04,-28
b1908-02-13,N,0.073,-0.904,18:28,+06,-,-,-,-,19:04,+13,-,-,-,-,19:41,+21
b1908-08-07,N,0.190,-0.841,20:36,+14,-,-,-,-,21:39,+24,-,-,-,-,22:41,+32
b1907-01-03,P,1.979,0.908,12:36,-39,13:50,-35,-,-,15:30,-23,-,-,17:09,-06,18:23,+08
b1907-06-28,T,1.981,1.032,22:27,+32,23:24,+37,00:46,+37,00:59,+36,01:12,+36,02:34,+28,03:32,+20
b1907-12-23,T,2.555,1.452,12:52,-38,14:05,-33,15:13,-24,16:00,-17,16:47,-09,17:56,+04,19:08,+18
b1906-06-18,T,2.334,1.388,15:32,-44,16:26,-33,17:27,-20,18:09,-12,18:50,-04,19:51,+07,20:46,+17
b1906-12-12,P,1.309,0.226,13:18,-38,14:56,-27,-,-,15:52,-18,-,-,16:48,-08,18:26,+11
b1905-12-01,N,0.129,-0.899,21:01,+46,-,-,-,-,21:52,+57,-,-,-,-,22:43,+67
b1904-04-28,P,1.287,0.229,02:04,+45,03:42,+29,-,-,04:38,+17,-,-,05:35,+05,07:12,-15
b1904-10-21,P,1.741,0.770,21:14,+41,22:16,+53,-,-,23:41,+64,-,-,01:06,+64,02:08,+55
b1903-04-17,T,2.683,1.617,02:12,+48,03:21,+35,04:26,+22,05:18,+11,06:09,+00,07:15,-14,08:24,-28
b1902-04-06,P,1.682,0.653,06:00,+04,07:14,-12,-,-,08:41,-30,-,-,10:08,-47,11:23,-58
b1902-09-30,P,1.425,0.386,23:49,+57,01:12,+55,-,-,02:20,+46,-,-,03:29,+34,04:51,+18
b1901-03-26,N,0.357,-0.619,17:49,-08,-,-,-,-,19:09,+09,-,-,-,-,20:29,+26
b1901-09-20,N,0.073,-1.014,05:50,+02,-,-,-,-,06:31,-07,-,-,-,-,07:13,-15
b1900-02-15,P,1.883,0.927,00:30,+80,01:29,+75,-,-,03:00,+56,-,-,04:31,+37,05:30,+24

